i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,10,5,4,2,2,29,52,1024,1.26155686378479,0.0017025470733642578,0.28926777839660645
1,10,5,3,2,2,30,60,1024,1.3219728469848633,0.0021486282348632812,0.9477930068969727
2,10,5,4,2,2,39,70,1536,1.4043848514556885,0.001932382583618164,0.5832235813140869
2,10,5,3,2,2,40,80,1024,1.8342840671539307,0.003906965255737305,1.9098238945007324
3,10,5,4,2,2,29,26,2,1.2042171955108643,0.0018520355224609375,0.0025424957275390625
3,10,5,3,2,2,30,30,1,1.2424633502960205,0.002074718475341797,0.0041332244873046875
4,10,5,4,2,2,19,16,0,1.4639830589294434,0.0016856193542480469,0.0005102157592773438
4,10,5,3,2,2,20,20,1,1.0856897830963135,0.0022237300872802734,0.0024144649505615234
1,11,5,4,2,2,21,18,0,1.1790111064910889,0.002389192581176758,0.0006248950958251953
1,11,5,3,2,2,22,22,1,1.2196898460388184,0.002332925796508789,0.0024919509887695312
2,11,5,4,2,2,21,19,1,1.2258667945861816,0.0019044876098632812,0.0015711784362792969
2,11,5,3,2,2,22,22,1,1.2009155750274658,0.002196788787841797,0.002290487289428711
3,11,5,4,2,2,21,19,1,0.9135935306549072,0.0025517940521240234,0.0017132759094238281
3,11,5,3,2,2,22,22,1,0.9091992378234863,0.002293825149536133,0.002574443817138672
4,11,5,4,2,2,32,58,2048,1.3400099277496338,0.0022122859954833984,0.6375057697296143
4,11,5,3,2,2,33,66,2048,1.3887124061584473,0.0039844512939453125,2.050374984741211
1,12,5,4,2,2,23,21,1,1.3213844299316406,0.0021638870239257812,0.0015537738800048828
1,12,5,3,2,2,24,24,1,1.3536653518676758,0.002688884735107422,0.003136157989501953
2,12,5,4,2,2,36,33,3,1.405057668685913,0.0021886825561523438,0.004454135894775391
2,12,5,3,2,2,36,36,1,1.4088613986968994,0.002713441848754883,0.005682468414306641
3,12,5,4,2,2,35,64,4096,1.4728116989135742,0.002444028854370117,1.3914883136749268
3,12,5,3,2,2,36,72,4096,1.5383613109588623,0.002426624298095703,4.503270864486694
4,12,5,4,2,2,58,114,4096,1.9196596145629883,0.002261638641357422,2.511016607284546
4,12,5,3,2,2,60,132,4097,1.9140324592590332,0.0029506683349609375,16.30504846572876
