i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,11,5,4,2,2,32,29,2,0.864948034286499,0.0003972053527832031,0.0004792213439941406
2,11,5,4,2,2,32,58,2048,0.9753222465515137,0.00047850608825683594,0.08937668800354004
3,11,5,4,2,2,21,19,1,0.8212544918060303,0.0005834102630615234,0.0004761219024658203
4,11,5,4,2,2,32,38,2,0.946211576461792,0.00041794776916503906,0.0006017684936523438
5,11,5,4,2,2,23,21,3,0.8640315532684326,0.00048542022705078125,0.0006194114685058594
6,11,5,4,2,2,42,76,2048,1.121161699295044,0.0004057884216308594,0.11080241203308105
7,11,5,4,2,2,43,117,177147,1.11268949508667,0.0004780292510986328,7.148416996002197
8,11,5,4,2,2,32,19,1,0.9636683464050293,0.0003731250762939453,0.00026035308837890625
9,11,5,4,2,2,21,19,1,0.8524956703186035,0.00041961669921875,0.00032401084899902344
10,11,5,4,2,2,32,58,2048,1.2076363563537598,0.00035309791564941406,0.08597016334533691
