i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,11,5,3,2,2,22,22,1,0.9077677726745605,0.0004146099090576172,0.0004367828369140625
2,11,5,3,2,2,22,22,1,0.8397712707519531,0.0004761219024658203,0.00045418739318847656
3,11,5,3,2,2,22,22,1,0.997067928314209,0.00042819976806640625,0.00038170814514160156
4,11,5,3,2,2,22,22,1,0.9270462989807129,0.0004935264587402344,0.00040650367736816406
5,11,5,3,2,2,22,22,1,0.8828732967376709,0.0004696846008300781,0.00042438507080078125
6,11,5,3,2,2,22,22,1,0.9226999282836914,0.0004744529724121094,0.00042700767517089844
7,11,5,3,2,2,33,66,2048,1.3361003398895264,0.00044989585876464844,0.2584962844848633
8,11,5,3,2,2,22,22,1,0.9587299823760986,0.0003826618194580078,0.00032830238342285156
9,11,5,3,2,2,44,99,2048,1.295243263244629,0.00040221214294433594,0.6230089664459229
10,11,5,3,2,2,44,88,2048,1.2616689205169678,0.0004191398620605469,0.4552271366119385
11,11,5,3,2,2,22,22,1,0.8973207473754883,0.00054931640625,0.0004978179931640625
12,11,5,3,2,2,55,110,2048,1.5080606937408447,0.0004971027374267578,0.7045586109161377
13,11,5,3,2,2,33,33,1,1.0862674713134766,0.0004620552062988281,0.0007028579711914062
14,11,5,3,2,2,33,33,2,1.1156013011932373,0.0004603862762451172,0.0007677078247070312
15,11,5,3,2,2,44,88,2048,1.2992875576019287,0.0005042552947998047,0.45481371879577637
16,11,5,3,2,2,33,33,1,1.0906617641448975,0.0003902912139892578,0.0005834102630615234
17,11,5,3,2,2,33,66,2048,1.0516822338104248,0.00043487548828125,0.2569108009338379
18,11,5,3,2,2,33,33,1,1.0168397426605225,0.00038552284240722656,0.0005660057067871094
19,11,5,3,2,2,33,66,2048,1.2933096885681152,0.0005276203155517578,0.25987982749938965
20,11,5,3,2,2,22,22,1,0.9618809223175049,0.00048279762268066406,0.0004181861877441406
21,11,5,3,2,2,33,66,2048,0.9516348838806152,0.0005922317504882812,0.26116085052490234
22,11,5,3,2,2,22,22,1,0.989729642868042,0.0003676414489746094,0.0003268718719482422
23,11,5,3,2,2,33,66,2048,1.053314447402954,0.0005700588226318359,0.2633843421936035
24,11,5,3,2,2,22,22,1,0.9680323600769043,0.0003685951232910156,0.0003294944763183594
25,11,5,3,2,2,22,22,1,0.8999090194702148,0.0004978179931640625,0.0004360675811767578
26,11,5,3,2,2,22,22,1,0.7762386798858643,0.0006582736968994141,0.0005743503570556641
27,11,5,3,2,2,33,33,1,1.0713517665863037,0.00042700767517089844,0.0006253719329833984
28,11,5,3,2,2,22,22,1,0.8886194229125977,0.0004131793975830078,0.00036144256591796875
29,11,5,3,2,2,22,22,1,1.379204273223877,0.0004634857177734375,0.0004017353057861328
30,11,5,3,2,2,44,88,2048,1.1227846145629883,0.0006580352783203125,0.4570479393005371
31,11,5,3,2,2,44,88,2048,1.2843549251556396,0.00038695335388183594,0.455275297164917
32,11,5,3,2,2,22,22,1,0.9061574935913086,0.0006015300750732422,0.0005197525024414062
33,11,5,3,2,2,33,66,2048,1.1724655628204346,0.00054168701171875,0.261669397354126
34,11,5,3,2,2,22,22,1,0.9434702396392822,0.0003857612609863281,0.0003459453582763672
35,11,5,3,2,2,33,66,2048,1.0512378215789795,0.0005125999450683594,0.26245737075805664
36,11,5,3,2,2,33,66,2048,1.0469870567321777,0.00046372413635253906,0.26031494140625
37,11,5,3,2,2,22,22,1,0.9217495918273926,0.0003924369812011719,0.00032806396484375
38,11,5,3,2,2,22,22,1,1.0312769412994385,0.0004913806915283203,0.00042724609375
39,11,5,3,2,2,44,88,2049,1.2690377235412598,0.00046062469482421875,0.5128843784332275
40,11,5,3,2,2,33,33,1,1.081289529800415,0.0004546642303466797,0.0006961822509765625
41,11,5,3,2,2,44,88,2048,1.2631490230560303,0.0006859302520751953,0.4521796703338623
42,11,5,3,2,2,44,88,2048,1.207139015197754,0.0004055500030517578,0.45174431800842285
43,11,5,3,2,2,22,22,1,1.0903291702270508,0.00047397613525390625,0.00042748451232910156
