i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,5,5,4,2,2,16,17,8,0.24362468719482422,7.2479248046875e-05,0.0001850128173828125
1,5,10,4,2,2,27,56,180,0.4002492427825928,0.00012803077697753906,0.00565338134765625
1,5,15,4,2,2,28,77,192,0.8550951480865479,8.273124694824219e-05,0.0049440860748291016
1,5,20,4,2,2,67,260,9520,2.483043670654297,8.916854858398438e-05,0.16683411598205566
1,5,25,4,2,2,68,368,2160,4.641006946563721,8.988380432128906e-05,0.03643345832824707
1,5,30,4,2,2,76,348,18816,6.678179740905762,9.799003601074219e-05,0.9007854461669922
2,5,5,4,2,2,28,41,50,0.4869241714477539,8.7738037109375e-05,0.0007998943328857422
2,5,10,4,2,2,32,65,151,0.6311612129211426,9.608268737792969e-05,0.0036695003509521484
2,5,15,4,2,2,49,198,1001,1.5997421741485596,8.273124694824219e-05,0.06255316734313965
2,5,20,4,2,2,60,183,2336,2.557415723800659,9.107589721679688e-05,0.0818026065826416
2,5,25,4,2,2,74,459,3740,5.1299614906311035,9.632110595703125e-05,0.39778947830200195
2,5,30,4,2,2,61,243,1708,5.585761785507202,8.940696716308594e-05,0.08063936233520508
3,5,5,4,2,2,24,35,72,0.23752808570861816,0.00010061264038085938,0.0008900165557861328
3,5,10,4,2,2,40,72,440,0.7509200572967529,8.20159912109375e-05,0.004864215850830078
3,5,15,4,2,2,37,129,360,0.9916563034057617,0.00011396408081054688,0.010783195495605469
3,5,20,4,2,2,80,369,8092,3.4437332153320312,0.00010156631469726562,0.42820286750793457
3,5,25,4,2,2,74,333,6410,5.01255202293396,9.894371032714844e-05,0.24448418617248535
3,5,30,4,2,2,34,59,171,2.772874116897583,8.916854858398438e-05,0.002405881881713867
4,5,5,4,2,2,23,35,24,0.22213172912597656,7.534027099609375e-05,0.0007121562957763672
4,5,10,4,2,2,57,181,984,1.2035841941833496,0.00012683868408203125,0.06766581535339355
4,5,15,4,2,2,43,140,1260,1.2210345268249512,8.797645568847656e-05,0.028910398483276367
4,5,20,4,2,2,37,91,900,1.4421143531799316,9.226799011230469e-05,0.020473957061767578
4,5,25,4,2,2,35,92,420,1.6313185691833496,7.843971252441406e-05,0.013064146041870117
4,5,30,4,2,2,288,976,22200,708.90389585495,0.00019502639770507812,1.4370734691619873
5,5,5,4,2,2,28,60,102,0.28000545501708984,0.0001266002655029297,0.004269599914550781
5,5,10,4,2,2,41,106,700,0.7921245098114014,0.00010228157043457031,0.015016555786132812
5,5,15,4,2,2,38,124,263,0.8993322849273682,9.036064147949219e-05,0.008619546890258789
5,5,20,4,2,2,47,103,75,3.038236618041992,7.843971252441406e-05,0.003895282745361328
5,5,25,4,2,2,73,314,5284,3.6733458042144775,0.00011181831359863281,0.2945077419281006
5,5,30,4,2,2,73,354,12180,4.586841821670532,0.00010395050048828125,0.87335205078125
