i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,5,5,3,2,2,25,60,36,0.23173260688781738,7.891654968261719e-05,0.003440380096435547
1,5,10,3,2,2,46,148,264,0.6979866027832031,0.00013136863708496094,0.046921730041503906
1,5,15,3,2,2,57,203,347,1.3309969902038574,0.00012922286987304688,0.06324958801269531
1,5,20,3,2,2,128,1666,7290,10.377238035202026,0.00033783912658691406,6.697958946228027
1,5,25,3,2,2,84,613,3938,4.085984706878662,0.0001595020294189453,0.6961729526519775
1,5,30,3,2,2,120,742,13600,11.914475917816162,0.00015163421630859375,7.495896816253662
2,5,5,3,2,2,27,71,53,0.26018452644348145,8.916854858398438e-05,0.005011081695556641
2,5,10,3,2,2,33,90,168,0.526970624923706,8.58306884765625e-05,0.015478849411010742
2,5,15,3,2,2,39,107,207,0.8729331493377686,7.963180541992188e-05,0.02905559539794922
2,5,20,3,2,2,29,81,156,0.8941380977630615,7.939338684082031e-05,0.008882522583007812
2,5,25,3,2,2,93,738,30744,3.3885066509246826,0.0001595020294189453,32.374582290649414
2,5,30,3,2,2,81,546,13412,4.987649202346802,0.00012755393981933594,7.6318933963775635
