i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,10,5,4,2,2,38,68,1024,1.4313974380493164,0.002321481704711914,0.4132218360900879
1,10,5,3,2,2,40,80,1024,1.5260682106018066,0.0023314952850341797,1.766878604888916
2,10,5,4,2,2,19,17,1,1.5126848220825195,0.0017244815826416016,0.001275777816772461
2,10,5,3,2,2,20,20,1,1.5338530540466309,0.0019495487213134766,0.0020661354064941406
3,10,5,4,2,2,58,104,2048,1.8551411628723145,0.0018110275268554688,1.1801908016204834
3,10,5,3,2,2,60,120,1024,1.9287476539611816,0.002337932586669922,4.068471908569336
4,10,5,4,2,2,57,153,59049,1.6786861419677734,0.0017652511596679688,26.58221125602722
4,10,5,3,2,2,60,180,59049,1.82619047164917,0.002552032470703125,172.48464608192444
5,10,5,4,2,2,38,68,1024,1.4493680000305176,0.0018086433410644531,0.4044673442840576
5,10,5,3,2,2,40,80,1024,1.5825226306915283,0.0022068023681640625,1.723966360092163
6,10,5,4,2,2,38,68,1024,1.7159390449523926,0.0017070770263671875,0.3919484615325928
6,10,5,3,2,2,40,80,1024,1.8086013793945312,0.0020856857299804688,1.7239990234375
7,10,5,4,2,2,38,68,1024,1.4791364669799805,0.001975536346435547,0.3903844356536865
7,10,5,3,2,2,40,80,1024,1.6075756549835205,0.0022742748260498047,1.7052102088928223
8,10,5,4,2,2,48,129,59049,1.7416608333587646,0.0017452239990234375,22.12996530532837
8,10,5,3,2,2,50,150,59049,1.836167573928833,0.0021216869354248047,119.99149441719055
9,10,5,4,2,2,19,17,1,1.4584698677062988,0.0020020008087158203,0.0014986991882324219
9,10,5,3,2,2,20,20,1,1.5328648090362549,0.0022296905517578125,0.0025701522827148438
10,10,5,4,2,2,28,50,512,1.5513603687286377,0.002020597457885742,0.1502366065979004
10,10,5,3,2,2,30,60,1024,1.5916543006896973,0.00530552864074707,0.9704225063323975
1,11,5,4,2,2,21,19,1,0.9172134399414062,0.0024285316467285156,0.0017850399017333984
1,11,5,3,2,2,22,22,1,1.0109148025512695,0.0027201175689697266,0.002882242202758789
2,11,5,4,2,2,43,19,1,2.139848470687866,0.002035856246948242,0.0013689994812011719
2,11,5,3,2,2,44,22,1,1.8121726512908936,0.0025517940521240234,0.002694368362426758
3,11,5,4,2,2,21,19,1,1.702237606048584,0.0030269622802734375,0.0019414424896240234
3,11,5,3,2,2,22,22,1,1.749805212020874,0.0022385120391845703,0.0024106502532958984
4,11,5,4,2,2,42,76,2048,1.5916593074798584,0.0022127628326416016,0.8517494201660156
4,11,5,3,2,2,44,88,2048,1.6912603378295898,0.0024619102478027344,3.7216603755950928
5,11,5,4,2,2,22,9,0,1.2435190677642822,0.0020644664764404297,0.0006201267242431641
5,11,5,3,2,2,22,11,1,1.2853143215179443,0.002707242965698242,0.0012707710266113281
6,11,5,4,2,2,31,56,1024,1.3995404243469238,0.002353191375732422,0.326526403427124
6,11,5,3,2,2,33,66,2048,1.4993104934692383,0.0025594234466552734,2.107048749923706
7,11,5,4,2,2,32,29,2,1.8135976791381836,0.001983642578125,0.0032646656036376953
7,11,5,3,2,2,33,33,1,1.9038329124450684,0.002530813217163086,0.005125761032104492
8,11,5,4,2,2,21,19,1,0.9377872943878174,0.002445697784423828,0.0016105175018310547
8,11,5,3,2,2,22,22,1,0.9541332721710205,0.0023033618927001953,0.0024292469024658203
9,11,5,4,2,2,32,58,2048,1.3727052211761475,0.0020456314086914062,0.6487386226654053
9,11,5,3,2,2,33,66,2048,2.252509355545044,0.0024814605712890625,2.0909152030944824
10,11,5,4,2,2,21,19,1,1.200021505355835,0.0019290447235107422,0.001310586929321289
10,11,5,3,2,2,22,22,1,1.2805230617523193,0.0021660327911376953,0.0029726028442382812
1,12,5,4,2,2,23,21,1,1.7381696701049805,0.002732515335083008,0.0017561912536621094
1,12,5,3,2,2,24,24,1,1.8021280765533447,0.002599477767944336,0.002762317657470703
2,12,5,4,2,2,23,21,1,1.3163347244262695,0.0027327537536621094,0.0017905235290527344
2,12,5,3,2,2,24,24,1,1.366791009902954,0.0024690628051757812,0.003249645233154297
3,12,5,4,2,2,35,31,1,1.6469831466674805,0.0023314952850341797,0.0019266605377197266
3,12,5,3,2,2,36,36,1,1.6815814971923828,0.0026009082794189453,0.00519251823425293
4,12,5,4,2,2,46,62,2,1.8755345344543457,0.0025968551635742188,0.006315469741821289
4,12,5,3,2,2,48,72,1,2.0230045318603516,0.003076791763305664,0.01893925666809082
5,12,5,4,2,2,23,21,1,1.0122721195220947,0.002341032028198242,0.0016095638275146484
5,12,5,3,2,2,24,24,1,1.0544347763061523,0.002819538116455078,0.0032584667205810547
6,12,5,4,2,2,58,159,531441,2.2180614471435547,0.002652883529663086,233.7431366443634
6,12,5,3,2,2,60,180,531441,2.274064540863037,0.002958059310913086,1260.3821744918823
7,12,5,4,2,2,23,21,1,1.0391159057617188,0.0030455589294433594,0.0019369125366210938
7,12,5,3,2,2,24,24,1,1.1122233867645264,0.0028526782989501953,0.0035865306854248047
8,12,5,4,2,2,60,220,20971520,2.6991195678710938,0.0024869441986083984,8325.77776503563
8,12,5,3,2,2,60,240,16777216,2.213078022003174,0.0027654170989990234,35759.27602005005
9,12,5,4,2,2,23,21,1,1.2798476219177246,0.0026938915252685547,0.0017158985137939453
9,12,5,3,2,2,24,24,1,1.281041145324707,0.0026307106018066406,0.002817869186401367
10,12,5,4,2,2,23,21,1,1.5350544452667236,0.0025975704193115234,0.0018553733825683594
10,12,5,3,2,2,24,24,1,1.8955037593841553,0.0024497509002685547,0.0030727386474609375
