,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
0,1,10,5,4,2,2,29,26,2,0.6739518642425537,0.00032520294189453125,0.00031065940856933594
1,1,10,5,3,2,2,30,30,1,1.3600313663482666,0.0003745555877685547,0.0005285739898681641
2,2,10,5,4,2,2,29,26,2,1.0355408191680908,0.00032830238342285156,0.00032210350036621094
3,2,10,5,3,2,2,30,30,1,0.7041990756988525,0.00028634071350097656,0.00036978721618652344
4,3,10,5,4,2,2,19,17,1,0.5101785659790039,0.0003230571746826172,0.00016617774963378906
5,3,10,5,3,2,2,20,20,1,0.5969173908233643,0.0003719329833984375,0.00030159950256347656
6,4,10,5,4,2,2,19,17,1,0.5644500255584717,0.00028514862060546875,0.00015664100646972656
7,4,10,5,3,2,2,20,20,1,0.6265699863433838,0.0003516674041748047,0.0003368854522705078
8,5,10,5,4,2,2,19,17,1,0.5619611740112305,0.00032591819763183594,0.00017523765563964844
9,5,10,5,3,2,2,20,20,1,0.5502901077270508,0.0003001689910888672,0.00023937225341796875
10,6,10,5,4,2,2,48,102,1536,0.8694710731506348,0.00042939186096191406,0.05913114547729492
11,6,10,5,3,2,2,50,120,1024,0.9873402118682861,0.00035500526428222656,0.26331472396850586
12,7,10,5,4,2,2,19,17,1,0.6160995960235596,0.0003070831298828125,0.00017762184143066406
13,7,10,5,3,2,2,20,20,1,0.6420013904571533,0.00040793418884277344,0.0002906322479248047
14,8,10,5,4,2,2,47,84,1024,0.803602933883667,0.0002129077911376953,0.031685590744018555
15,8,10,5,3,2,2,50,100,1024,0.9744126796722412,0.00030517578125,0.17291760444641113
16,9,10,5,4,2,2,28,25,1,0.6606981754302979,0.0004124641418457031,0.0002536773681640625
17,9,10,5,3,2,2,30,30,1,0.6425957679748535,0.0003273487091064453,0.0004260540008544922
18,10,10,5,4,2,2,19,17,1,0.5985660552978516,0.00031495094299316406,0.00017786026000976562
19,10,10,5,3,2,2,20,20,1,0.5916016101837158,0.0002751350402832031,0.00026607513427734375
20,11,10,5,4,2,2,19,17,1,0.5823040008544922,0.00030684471130371094,0.0001468658447265625
21,11,10,5,3,2,2,20,20,1,0.5940494537353516,0.000217437744140625,0.0001575946807861328
22,12,10,5,4,2,2,29,52,1024,0.7071864604949951,0.0003261566162109375,0.024210691452026367
23,12,10,5,3,2,2,30,60,1024,0.7393639087677002,0.0003502368927001953,0.0659182071685791
24,13,10,5,4,2,2,19,17,1,0.5729696750640869,0.0003769397735595703,0.00020694732666015625
25,13,10,5,3,2,2,20,20,1,0.9232838153839111,0.00023221969604492188,0.0001709461212158203
26,14,10,5,4,2,2,38,68,1024,0.734224796295166,0.00024962425231933594,0.0277707576751709
27,14,10,5,3,2,2,40,80,1024,0.8804659843444824,0.0005145072937011719,0.11471271514892578
28,15,10,5,4,2,2,30,27,3,0.6591217517852783,0.0003387928009033203,0.0004010200500488281
29,15,10,5,3,2,2,30,30,1,0.7028663158416748,0.00035953521728515625,0.0005280971527099609
30,16,10,5,4,2,2,19,17,1,0.5563504695892334,0.0002856254577636719,0.00015997886657714844
31,16,10,5,3,2,2,20,20,1,1.165825366973877,0.0003116130828857422,0.0002491474151611328
32,17,10,5,4,2,2,58,208,1048576,1.7860212326049805,0.0003113746643066406,30.451709508895874
