i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,6,5,4,2,2,11,9,1,0.1535637378692627,7.295608520507812e-05,4.935264587402344e-05
1,6,5,3,2,2,12,12,1,0.2482149600982666,0.000102996826171875,9.059906005859375e-05
2,6,5,4,2,2,11,9,1,0.3331303596496582,0.00013709068298339844,8.797645568847656e-05
2,6,5,3,2,2,12,12,1,0.3920004367828369,0.0001423358917236328,0.000133514404296875
3,6,5,4,2,2,11,9,1,0.3822438716888428,0.00011968612670898438,8.845329284667969e-05
3,6,5,3,2,2,12,12,1,0.22942733764648438,0.00011682510375976562,9.822845458984375e-05
4,6,5,4,2,2,17,18,2,0.18400907516479492,0.0001361370086669922,0.000194549560546875
4,6,5,3,2,2,18,24,1,0.20838284492492676,8.320808410644531e-05,0.00019884109497070312
5,6,5,4,2,2,11,9,1,0.22166800498962402,7.2479248046875e-05,4.76837158203125e-05
5,6,5,3,2,2,12,12,1,0.2378396987915039,9.202957153320312e-05,8.368492126464844e-05
6,6,5,4,2,2,27,66,486,0.21538257598876953,8.130073547363281e-05,0.0070648193359375
6,6,5,3,2,2,30,90,729,0.24275612831115723,0.00011515617370605469,0.06844091415405273
7,6,5,4,2,2,11,9,1,0.1847972869873047,7.271766662597656e-05,4.744529724121094e-05
7,6,5,3,2,2,12,12,1,0.18504691123962402,9.059906005859375e-05,8.0108642578125e-05
8,6,5,4,2,2,11,9,1,0.16826677322387695,6.914138793945312e-05,4.839897155761719e-05
8,6,5,3,2,2,12,12,1,0.20164966583251953,0.00010991096496582031,0.00010347366333007812
9,6,5,4,2,2,11,9,1,0.16768574714660645,7.605552673339844e-05,4.9114227294921875e-05
9,6,5,3,2,2,12,12,1,0.18182754516601562,8.344650268554688e-05,7.271766662597656e-05
10,6,5,4,2,2,11,9,1,0.14973974227905273,8.559226989746094e-05,5.459785461425781e-05
10,6,5,3,2,2,12,12,1,0.1565854549407959,7.939338684082031e-05,7.367134094238281e-05
11,6,5,4,2,2,17,14,2,0.2290496826171875,7.534027099609375e-05,7.486343383789062e-05
11,6,5,3,2,2,18,18,1,0.25778627395629883,0.00011157989501953125,0.000156402587890625
12,6,5,4,2,2,11,9,1,0.16529202461242676,7.939338684082031e-05,5.1021575927734375e-05
12,6,5,3,2,2,12,12,1,0.19186973571777344,8.749961853027344e-05,7.748603820800781e-05
13,6,5,4,2,2,17,14,2,0.28304457664489746,9.202957153320312e-05,9.393692016601562e-05
13,6,5,3,2,2,18,18,1,0.31157708168029785,9.703636169433594e-05,0.0001304149627685547
14,6,5,4,2,2,11,9,1,0.1701817512512207,7.05718994140625e-05,4.6253204345703125e-05
14,6,5,3,2,2,12,12,1,0.19128155708312988,8.893013000488281e-05,8.0108642578125e-05
15,6,5,4,2,2,27,57,233,0.2851436138153076,0.000171661376953125,0.008327484130859375
15,6,5,3,2,2,30,78,322,0.31058549880981445,9.298324584960938e-05,0.027370452880859375
16,6,5,4,2,2,11,9,1,0.16451025009155273,8.225440979003906e-05,5.316734313964844e-05
16,6,5,3,2,2,12,12,1,0.20291829109191895,9.72747802734375e-05,8.392333984375e-05
17,6,5,4,2,2,11,9,1,0.1997525691986084,8.96453857421875e-05,5.91278076171875e-05
17,6,5,3,2,2,12,12,1,0.17746448516845703,8.702278137207031e-05,7.915496826171875e-05
18,6,5,4,2,2,11,9,1,0.1679542064666748,8.58306884765625e-05,5.745887756347656e-05
18,6,5,3,2,2,12,12,1,0.17642831802368164,8.416175842285156e-05,7.605552673339844e-05
19,6,5,4,2,2,22,36,64,0.24764466285705566,7.677078247070312e-05,0.0008947849273681641
19,6,5,3,2,2,24,48,64,0.2232651710510254,8.845329284667969e-05,0.005158901214599609
20,6,5,4,2,2,27,66,486,0.20972132682800293,8.273124694824219e-05,0.010683774948120117
20,6,5,3,2,2,30,90,729,0.2304682731628418,0.00010085105895996094,0.05837750434875488
21,6,5,4,2,2,11,9,1,0.16350626945495605,7.677078247070312e-05,7.915496826171875e-05
21,6,5,3,2,2,12,12,1,0.17767882347106934,8.20159912109375e-05,7.700920104980469e-05
22,6,5,4,2,2,11,9,1,0.16485929489135742,7.677078247070312e-05,4.76837158203125e-05
22,6,5,3,2,2,12,12,1,0.17591190338134766,0.00011587142944335938,0.00010251998901367188
23,6,5,4,2,2,11,9,1,0.1652524471282959,7.987022399902344e-05,5.3882598876953125e-05
23,6,5,3,2,2,12,12,1,0.17609262466430664,8.034706115722656e-05,7.295608520507812e-05
24,6,5,4,2,2,11,9,1,0.1659848690032959,9.846687316894531e-05,6.341934204101562e-05
24,6,5,3,2,2,12,12,1,0.16936087608337402,8.177757263183594e-05,7.319450378417969e-05
25,6,5,4,2,2,27,45,80,0.24815154075622559,0.00014090538024902344,0.0022363662719726562
25,6,5,3,2,2,30,60,64,0.2998507022857666,0.00010538101196289062,0.0064580440521240234
26,6,5,4,2,2,24,22,6,0.3071272373199463,9.751319885253906e-05,0.0002486705780029297
