i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,6,5,4,2,2,11,9,1,0.1456587314605713,8.535385131835938e-05,6.341934204101562e-05
1,6,5,3,2,2,12,12,1,0.16191720962524414,0.00010371208190917969,9.679794311523438e-05
2,6,5,4,2,2,11,9,1,0.17432236671447754,8.678436279296875e-05,6.246566772460938e-05
2,6,5,3,2,2,12,12,1,0.18968462944030762,9.846687316894531e-05,9.608268737792969e-05
3,6,5,4,2,2,17,28,96,0.22147655487060547,9.226799011230469e-05,0.0015170574188232422
3,6,5,3,2,2,18,36,64,0.19821977615356445,0.00011992454528808594,0.002924203872680664
4,6,5,4,2,2,17,19,8,0.19263052940368652,9.703636169433594e-05,0.00026726722717285156
4,6,5,3,2,2,18,24,2,0.20658063888549805,0.00013113021850585938,0.0004527568817138672
5,6,5,4,2,2,16,26,32,0.21473383903503418,9.489059448242188e-05,0.0005166530609130859
5,6,5,3,2,2,18,36,64,0.2309861183166504,0.00010061264038085938,0.0029325485229492188
6,6,5,4,2,2,28,46,160,0.2730216979980469,0.00011396408081054688,0.004500865936279297
6,6,5,3,2,2,30,60,64,0.284282922744751,0.00011467933654785156,0.008286714553833008
7,6,5,4,2,2,11,9,1,0.1836531162261963,0.0001087188720703125,8.0108642578125e-05
7,6,5,3,2,2,12,12,1,0.19367527961730957,9.822845458984375e-05,9.441375732421875e-05
8,6,5,4,2,2,11,9,1,0.16707205772399902,0.00012063980102539062,8.630752563476562e-05
8,6,5,3,2,2,12,12,1,0.23999500274658203,9.489059448242188e-05,9.1552734375e-05
9,6,5,4,2,2,11,9,1,0.17055249214172363,9.012222290039062e-05,6.341934204101562e-05
9,6,5,3,2,2,12,12,1,0.20845913887023926,0.00010204315185546875,0.00011301040649414062
10,6,5,4,2,2,16,24,0,0.2261791229248047,0.0001125335693359375,4.553794860839844e-05
10,6,5,3,2,2,18,36,64,0.22659730911254883,0.0001308917999267578,0.004023075103759766
11,6,5,4,2,2,17,14,3,0.231827974319458,8.535385131835938e-05,0.00011277198791503906
11,6,5,3,2,2,18,18,1,0.2224564552307129,9.942054748535156e-05,0.0001480579376220703
12,6,5,4,2,2,11,9,1,0.15310931205749512,9.34600830078125e-05,6.4849853515625e-05
12,6,5,3,2,2,12,12,1,0.1636800765991211,0.00010609626770019531,0.0001010894775390625
13,6,5,4,2,2,17,28,96,0.2025742530822754,8.988380432128906e-05,0.0013475418090820312
13,6,5,3,2,2,18,36,64,0.2140653133392334,9.679794311523438e-05,0.003072023391723633
14,6,5,4,2,2,17,14,3,0.2073829174041748,0.0001652240753173828,0.0002601146697998047
14,6,5,3,2,2,18,18,1,0.2581946849822998,9.942054748535156e-05,0.000148773193359375
15,6,5,4,2,2,45,185,27500,0.2856614589691162,0.0001475811004638672,0.700293779373169
15,6,5,3,2,2,48,240,15625,0.3214735984802246,0.00012731552124023438,3.274735927581787
16,6,5,4,2,2,16,13,1,0.24330472946166992,8.606910705566406e-05,7.224082946777344e-05
16,6,5,3,2,2,18,18,1,0.20636916160583496,0.00010657310485839844,0.00015687942504882812
17,6,5,4,2,2,11,9,1,0.17111778259277344,0.000148773193359375,7.62939453125e-05
17,6,5,3,2,2,12,12,1,0.18934011459350586,0.00010228157043457031,9.632110595703125e-05
