i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,4,2,2,8,4,2,0.2125389575958252,8.630752563476562e-05,6.818771362304688e-05
1,4,5,4,2,2,11,6,2,0.22907280921936035,8.7738037109375e-05,6.985664367675781e-05
1,5,5,4,2,2,14,8,2,0.27677154541015625,9.226799011230469e-05,7.033348083496094e-05
1,6,5,4,2,2,17,10,2,0.3346695899963379,0.00026297569274902344,0.00021076202392578125
1,7,5,4,2,2,20,12,2,0.4603121280670166,0.00012826919555664062,0.00013208389282226562
1,8,5,4,2,2,23,14,2,0.5674817562103271,0.00013685226440429688,0.00011086463928222656
1,9,5,4,2,2,26,16,2,0.5871932506561279,0.0001728534698486328,0.00012731552124023438
1,3,5,3,2,2,9,6,1,0.20295047760009766,7.2479248046875e-05,6.961822509765625e-05
1,4,5,3,2,2,12,8,1,0.2805171012878418,0.00010561943054199219,8.320808410644531e-05
1,5,5,3,2,2,15,10,1,0.37065744400024414,0.00014257431030273438,0.00010752677917480469
1,6,5,3,2,2,18,12,1,0.42591023445129395,0.0002396106719970703,0.0001735687255859375
1,7,5,3,2,2,21,14,1,0.5000123977661133,0.0002772808074951172,0.00019025802612304688
1,8,5,3,2,2,24,16,1,0.5842764377593994,0.0002307891845703125,0.0001811981201171875
1,9,5,3,2,2,27,18,1,0.6771841049194336,0.00016808509826660156,0.00012969970703125
1,3,5,2,2,2,9,6,2,0.21765828132629395,7.748603820800781e-05,6.794929504394531e-05
1,4,5,2,2,2,12,8,2,0.36960625648498535,0.00023055076599121094,0.00016880035400390625
1,5,5,2,2,2,15,10,4,0.3592958450317383,0.00010514259338378906,0.00013113021850585938
1,6,5,2,2,2,18,12,4,0.4139285087585449,0.0001838207244873047,0.00023794174194335938
1,7,5,2,2,2,25,28,8,0.583967924118042,0.0001652240753173828,0.0006794929504394531
1,8,5,2,2,2,31,46,8,0.7323017120361328,0.00024127960205078125,0.0030934810638427734
1,9,5,2,2,2,31,28,8,0.7687215805053711,0.0002903938293457031,0.0018203258514404297
2,3,5,4,2,2,7,4,1,0.2133476734161377,7.295608520507812e-05,8.130073547363281e-05
2,4,5,4,2,2,10,7,1,0.3238070011138916,0.00011277198791503906,8.106231689453125e-05
2,5,5,4,2,2,13,10,1,0.4205930233001709,9.632110595703125e-05,6.723403930664062e-05
2,6,5,4,2,2,16,13,1,0.5148317813873291,0.00011754035949707031,7.82012939453125e-05
2,7,5,4,2,2,19,16,1,0.5534913539886475,0.00013971328735351562,9.226799011230469e-05
2,8,5,4,2,2,22,19,1,0.7271487712860107,0.0002701282501220703,0.00017380714416503906
2,9,5,4,2,2,25,22,1,0.7624926567077637,0.00019431114196777344,0.00012111663818359375
2,3,5,3,2,2,9,9,1,0.27209019660949707,9.942054748535156e-05,0.0001049041748046875
2,4,5,3,2,2,12,12,1,0.4614737033843994,0.00017118453979492188,0.00018095970153808594
2,5,5,3,2,2,15,15,1,0.45420026779174805,0.00029087066650390625,0.00030493736267089844
2,6,5,3,2,2,18,18,1,0.5696969032287598,0.00013017654418945312,0.00014925003051757812
2,7,5,3,2,2,21,21,1,0.5948560237884521,0.00037288665771484375,0.0004057884216308594
2,8,5,3,2,2,24,24,1,0.755990743637085,0.00023508071899414062,0.00023794174194335938
2,9,5,3,2,2,27,27,1,0.9057130813598633,0.0003917217254638672,0.00047087669372558594
2,3,5,2,2,2,9,9,1,0.3385598659515381,0.0001513957977294922,0.00013446807861328125
2,4,5,2,2,2,12,14,1,0.43108391761779785,0.00012922286987304688,0.00011110305786132812
2,5,5,2,2,2,17,34,1,0.6366896629333496,0.00014066696166992188,0.00020575523376464844
2,6,5,2,2,2,20,31,1,0.6033213138580322,0.00015664100646972656,0.0001838207244873047
2,7,5,2,2,2,23,36,1,0.7380862236022949,0.0004241466522216797,0.00029349327087402344
2,8,5,2,2,2,26,39,1,0.9119093418121338,0.00019550323486328125,0.0003390312194824219
