i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,2,2,2,3,18,66,65,0.33674001693725586,0.0001239776611328125,0.005612611770629883
1,4,5,2,2,2,4,30,154,256,0.3833942413330078,0.00020360946655273438,0.048748016357421875
1,5,5,2,2,2,5,42,274,1024,0.6246447563171387,0.0002570152282714844,0.12417221069335938
1,6,5,2,2,2,6,42,198,4352,0.5943188667297363,0.0001468658447265625,0.3104889392852783
2,3,5,2,2,2,3,12,21,12,0.22266387939453125,9.1552734375e-05,0.0001857280731201172
2,4,5,2,2,2,4,16,28,24,0.2995760440826416,8.368492126464844e-05,0.0008447170257568359
2,5,5,2,2,2,5,25,67,80,0.7954535484313965,0.0001647472381591797,0.014598608016967773
2,6,5,2,2,2,6,29,74,160,0.7536699771881104,0.00011897087097167969,0.019273042678833008
3,3,5,2,2,2,3,12,36,27,0.28327274322509766,0.000110626220703125,0.0013303756713867188
3,4,5,2,2,2,4,16,48,81,0.3377504348754883,0.00015592575073242188,0.005881547927856445
3,5,5,2,2,2,5,25,78,243,0.5342843532562256,0.00013780593872070312,0.025410175323486328
3,6,5,2,2,2,6,34,144,729,0.74259352684021,0.00017380714416503906,0.24852633476257324
4,3,5,2,2,2,3,9,12,1,0.224900484085083,7.152557373046875e-05,0.00010275840759277344
4,4,5,2,2,2,4,16,28,2,1.6779561042785645,9.989738464355469e-05,0.00029969215393066406
4,5,5,2,2,2,5,19,32,2,1.5518627166748047,0.0001163482666015625,0.0004260540008544922
4,6,5,2,2,2,6,22,36,4,1.7750709056854248,0.0003306865692138672,0.0013947486877441406
5,3,5,2,2,2,3,12,20,8,0.9879276752471924,8.249282836914062e-05,0.0002090930938720703
5,4,5,2,2,2,4,15,32,16,0.4284634590148926,0.00012254714965820312,0.001169443130493164
5,5,5,2,2,2,5,15,20,32,0.6138131618499756,0.00012373924255371094,0.0007207393646240234
5,6,5,2,2,2,6,22,44,64,0.7785947322845459,0.0002727508544921875,0.0049474239349365234
6,3,5,2,2,2,3,12,20,8,0.3268868923187256,0.0001838207244873047,0.0004429817199707031
6,4,5,2,2,2,4,15,24,16,0.3322932720184326,0.00010991096496582031,0.0005366802215576172
6,5,5,2,2,2,5,18,28,32,0.39963769912719727,0.00011563301086425781,0.0006031990051269531
6,6,5,2,2,2,6,25,68,64,0.5214111804962158,0.00026988983154296875,0.005957603454589844
7,3,5,2,2,2,3,17,36,12,0.6780178546905518,9.632110595703125e-05,0.0006794929504394531
7,4,5,2,2,2,4,16,36,24,0.34054064750671387,9.393692016601562e-05,0.0012650489807128906
7,5,5,2,2,2,5,25,57,48,0.987760066986084,0.00011515617370605469,0.0068204402923583984
7,6,5,2,2,2,6,29,87,144,0.7563121318817139,0.00020575523376464844,0.028478145599365234
8,3,5,2,2,2,3,19,41,12,0.3173189163208008,0.00015211105346679688,0.001123666763305664
8,4,5,2,2,2,4,24,52,24,0.4314439296722412,0.00010538101196289062,0.0018596649169921875
8,5,5,2,2,2,5,29,74,60,0.7458515167236328,0.00012969970703125,0.005219936370849609
8,6,5,2,2,2,6,34,121,156,0.6077077388763428,0.0003628730773925781,0.014146089553833008
9,3,5,2,2,2,3,7,7,1,0.2534921169281006,0.00013446807861328125,0.00012373924255371094
9,4,5,2,2,2,4,9,10,1,0.28031182289123535,0.00010991096496582031,8.487701416015625e-05
9,5,5,2,2,2,5,11,11,1,0.33173179626464844,0.00021719932556152344,0.00019407272338867188
9,6,5,2,2,2,6,14,14,1,0.5313074588775635,0.00021386146545410156,0.00018024444580078125
10,3,5,2,2,2,3,9,9,3,0.23381876945495605,9.34600830078125e-05,8.821487426757812e-05
10,4,5,2,2,2,4,16,31,3,0.4995124340057373,0.00011706352233886719,0.0002589225769042969
10,5,5,2,2,2,5,19,26,3,0.4634828567504883,0.00014138221740722656,0.0003936290740966797
10,6,5,2,2,2,6,22,29,3,0.6397151947021484,0.0002193450927734375,0.0006492137908935547
11,3,5,2,2,2,3,6,3,0,0.22417354583740234,8.344650268554688e-05,5.817413330078125e-05
11,4,5,2,2,2,4,9,5,0,0.3848385810852051,0.00010561943054199219,5.3882598876953125e-05
11,5,5,2,2,2,5,12,8,0,0.6626873016357422,0.0002143383026123047,0.00011491775512695312
11,6,5,2,2,2,6,15,8,0,0.6443462371826172,0.0003020763397216797,0.00010561943054199219
12,3,5,2,2,2,3,12,27,27,0.2669954299926758,0.00018143653869628906,0.0012505054473876953
12,4,5,2,2,2,4,16,36,81,0.39995551109313965,0.0001480579376220703,0.002501964569091797
12,5,5,2,2,2,5,25,81,243,0.5848081111907959,0.00012755393981933594,0.003192901611328125
12,6,5,2,2,2,6,24,54,729,0.5859744548797607,0.00022459030151367188,0.017802953720092773
13,3,5,2,2,2,3,7,7,1,0.32523441314697266,9.918212890625e-05,9.083747863769531e-05
13,4,5,2,2,2,4,9,10,1,0.32846999168395996,9.584426879882812e-05,8.487701416015625e-05
13,5,5,2,2,2,5,11,13,1,0.4409608840942383,0.00014472007751464844,0.0001518726348876953
13,6,5,2,2,2,6,13,16,1,0.5297226905822754,0.0001952648162841797,0.000232696533203125
14,3,5,2,2,2,3,9,4,0,0.48839521408081055,0.00012564659118652344,7.319450378417969e-05
14,4,5,2,2,2,4,12,8,0,0.3422551155090332,0.00014281272888183594,0.00010943412780761719
14,5,5,2,2,2,5,15,8,0,0.5874068737030029,0.00014972686767578125,8.082389831542969e-05
14,6,5,2,2,2,6,18,10,0,0.7064037322998047,0.00020074844360351562,0.00010132789611816406
15,3,5,2,2,2,3,9,2,0,0.4017612934112549,8.511543273925781e-05,4.76837158203125e-05
15,4,5,2,2,2,4,12,4,0,0.42694902420043945,0.00011920928955078125,5.841255187988281e-05
15,5,5,2,2,2,5,15,5,0,0.5704398155212402,0.00013899803161621094,5.173683166503906e-05
15,6,5,2,2,2,6,18,7,0,0.7034029960632324,0.0001614093780517578,8.082389831542969e-05
16,3,5,2,2,2,3,12,12,2,0.33059239387512207,9.298324584960938e-05,0.00012731552124023438
16,4,5,2,2,2,4,16,16,1,0.3513624668121338,9.059906005859375e-05,0.00013399124145507812
16,5,5,2,2,2,5,22,30,1,0.8233466148376465,0.00011777877807617188,0.0002646446228027344
16,6,5,2,2,2,6,28,40,2,0.49002695083618164,0.0001392364501953125,0.00034809112548828125
17,3,5,2,2,2,3,17,28,7,0.5108499526977539,0.00010633468627929688,0.00044226646423339844
17,4,5,2,2,2,4,21,34,10,0.5718910694122314,0.00012040138244628906,0.0007412433624267578
17,5,5,2,2,2,5,25,41,15,0.6614432334899902,0.00011754035949707031,0.0011053085327148438
17,6,5,2,2,2,6,24,30,13,0.9069623947143555,0.00019598007202148438,0.0017004013061523438
18,3,5,2,2,2,3,12,23,8,0.31818532943725586,0.00013971328735351562,0.00052642822265625
18,4,5,2,2,2,4,15,36,16,0.38605475425720215,0.00012493133544921875,0.0010962486267089844
18,5,5,2,2,2,5,18,42,32,0.3249084949493408,0.0002396106719970703,0.002675294876098633
18,6,5,2,2,2,6,18,30,65,1.0644831657409668,0.0001537799835205078,0.0012350082397460938
19,3,5,2,2,2,3,8,12,2,0.27603745460510254,0.00011587142944335938,0.0001342296600341797
19,4,5,2,2,2,4,10,14,2,0.4710872173309326,0.0001285076141357422,0.00016641616821289062
19,5,5,2,2,2,5,12,20,1,0.5787160396575928,0.00019431114196777344,0.00028824806213378906
19,6,5,2,2,2,6,16,32,1,0.7234463691711426,0.0003414154052734375,0.0005855560302734375
20,3,5,2,2,2,3,6,6,1,0.2595682144165039,8.320808410644531e-05,7.700920104980469e-05
20,4,5,2,2,2,4,10,18,1,1.0983664989471436,0.00021958351135253906,0.00021123886108398438
20,5,5,2,2,2,5,12,18,1,1.454679250717163,0.0003485679626464844,0.00046133995056152344
20,6,5,2,2,2,6,16,34,1,1.8788316249847412,0.00018930435180664062,0.0002181529998779297
21,3,5,2,2,2,3,19,30,12,0.407106876373291,0.00012755393981933594,0.0005376338958740234
21,4,5,2,2,2,4,24,36,24,0.5149350166320801,0.0001537799835205078,0.0025246143341064453
21,5,5,2,2,2,5,29,66,48,0.6370763778686523,0.0002014636993408203,0.009608983993530273
21,6,5,2,2,2,6,36,66,96,0.7219681739807129,0.0001614093780517578,0.008063316345214844
22,3,5,2,2,2,3,9,18,8,0.6337614059448242,0.0001342296600341797,0.0002498626708984375
