i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,2,2,2,3,12,18,8,0.10019063949584961,3.7670135498046875e-05,0.00013709068298339844
1,4,5,2,2,2,4,18,24,8,0.11947464942932129,4.7206878662109375e-05,0.0003974437713623047
1,5,5,2,2,2,5,22,26,16,0.15296292304992676,5.0067901611328125e-05,0.0003879070281982422
1,6,5,2,2,2,6,26,40,32,0.18795990943908691,5.817413330078125e-05,0.0018968582153320312
1,7,5,2,2,2,7,30,42,64,0.21446895599365234,9.059906005859375e-05,0.004300832748413086
1,8,5,2,2,2,8,34,48,128,0.24399518966674805,8.726119995117188e-05,0.007887125015258789
1,9,5,2,2,2,9,38,50,256,0.2983424663543701,9.250640869140625e-05,0.01188969612121582
2,3,5,2,2,2,3,12,21,13,0.13936138153076172,3.361701965332031e-05,0.00023055076599121094
2,4,5,2,2,2,4,21,41,36,0.29194188117980957,4.38690185546875e-05,0.0007817745208740234
2,5,5,2,2,2,5,20,35,73,0.2568359375,4.57763671875e-05,0.0019638538360595703
2,6,5,2,2,2,6,24,42,325,0.2911834716796875,5.5789947509765625e-05,0.0075376033782958984
2,7,5,2,2,2,7,33,73,432,0.453357458114624,0.00010013580322265625,0.06819653511047363
2,8,5,2,2,2,8,37,80,864,0.4998447895050049,8.368492126464844e-05,0.019337892532348633
2,9,5,2,2,2,9,41,79,3888,0.5528011322021484,9.369850158691406e-05,0.5582113265991211
3,3,5,2,2,2,3,17,49,27,0.11017203330993652,4.029273986816406e-05,0.0013349056243896484
3,4,5,2,2,2,4,21,77,81,0.14492416381835938,5.125999450683594e-05,0.007920980453491211
3,5,5,2,2,2,5,20,50,244,0.17487645149230957,5.054473876953125e-05,0.005450725555419922
3,6,5,2,2,2,6,24,60,730,0.16965794563293457,5.745887756347656e-05,0.00780034065246582
3,7,5,2,2,2,7,33,89,2187,0.2376413345336914,7.414817810058594e-05,0.2306513786315918
3,8,5,2,2,2,8,37,102,6561,0.2732052803039551,8.940696716308594e-05,0.8192670345306396
3,9,5,2,2,2,9,41,112,19683,0.29329657554626465,9.918212890625e-05,2.9580304622650146
4,3,5,2,2,2,3,21,63,27,0.136549711227417,4.100799560546875e-05,0.002053499221801758
4,4,5,2,2,2,4,24,72,81,0.17103147506713867,4.3392181396484375e-05,0.004955291748046875
4,5,5,2,2,2,5,33,99,243,0.21210861206054688,5.8650970458984375e-05,0.0110626220703125
4,6,5,2,2,2,6,36,108,729,0.22028708457946777,6.389617919921875e-05,0.06575775146484375
4,7,5,2,2,2,7,45,153,2187,0.2975921630859375,8.821487426757812e-05,0.42100977897644043
4,8,5,2,2,2,8,51,198,6561,0.3619394302368164,9.226799011230469e-05,1.2590463161468506
4,9,5,2,2,2,9,57,162,19683,0.33794260025024414,0.00010013580322265625,4.083399772644043
5,3,5,2,2,2,3,7,7,1,0.1405947208404541,8.225440979003906e-05,4.2438507080078125e-05
5,4,5,2,2,2,4,8,8,1,0.1182866096496582,5.173683166503906e-05,4.2438507080078125e-05
5,5,5,2,2,2,5,11,17,1,0.16374969482421875,6.270408630371094e-05,6.365776062011719e-05
5,6,5,2,2,2,6,12,12,1,0.16701221466064453,5.650520324707031e-05,5.14984130859375e-05
5,7,5,2,2,2,7,15,16,1,0.2195131778717041,8.7738037109375e-05,8.296966552734375e-05
5,8,5,2,2,2,8,17,19,1,0.25206494331359863,9.441375732421875e-05,7.82012939453125e-05
5,9,5,2,2,2,9,19,18,1,0.3087911605834961,9.322166442871094e-05,8.869171142578125e-05
6,3,5,2,2,2,3,7,0,0,0.09303641319274902,3.7670135498046875e-05,1.430511474609375e-05
6,4,5,2,2,2,4,9,0,0,0.11976909637451172,4.124641418457031e-05,1.33514404296875e-05
6,5,5,2,2,2,5,11,0,0,0.1396346092224121,5.555152893066406e-05,1.5497207641601562e-05
6,6,5,2,2,2,6,13,0,0,0.19242596626281738,0.00010442733764648438,2.2172927856445312e-05
6,7,5,2,2,2,7,15,0,0,0.23851299285888672,6.961822509765625e-05,1.5974044799804688e-05
6,8,5,2,2,2,8,17,0,0,0.20029664039611816,8.0108642578125e-05,1.71661376953125e-05
6,9,5,2,2,2,9,19,0,0,0.22217488288879395,0.00016641616821289062,3.457069396972656e-05
7,3,5,2,2,2,3,6,6,1,0.07033491134643555,4.363059997558594e-05,2.9802322387695312e-05
7,4,5,2,2,2,4,8,8,1,0.09727168083190918,3.910064697265625e-05,3.4809112548828125e-05
7,5,5,2,2,2,5,11,10,1,0.13083624839782715,8.440017700195312e-05,7.05718994140625e-05
7,6,5,2,2,2,6,13,14,1,0.1563706398010254,6.580352783203125e-05,6.198883056640625e-05
7,7,5,2,2,2,7,15,14,1,0.18337321281433105,7.152557373046875e-05,6.723403930664062e-05
7,8,5,2,2,2,8,16,16,1,0.19288301467895508,9.560585021972656e-05,7.843971252441406e-05
7,9,5,2,2,2,9,19,16,1,0.25137996673583984,0.0001513957977294922,0.00014138221740722656
8,3,5,2,2,2,3,12,23,8,0.09556722640991211,3.695487976074219e-05,0.00024437904357910156
8,4,5,2,2,2,4,15,28,16,0.1125643253326416,5.984306335449219e-05,0.0006248950958251953
8,5,5,2,2,2,5,18,31,32,0.1333317756652832,5.1975250244140625e-05,0.0013573169708251953
8,6,5,2,2,2,6,18,30,65,0.1358509063720703,5.817413330078125e-05,0.0008122920989990234
8,7,5,2,2,2,7,21,35,129,0.1560652256011963,7.224082946777344e-05,0.0019404888153076172
8,8,5,2,2,2,8,27,63,256,0.20241999626159668,0.0001289844512939453,0.010552406311035156
8,9,5,2,2,2,9,30,59,512,0.2222597599029541,9.72747802734375e-05,0.013603925704956055
9,3,5,2,2,2,3,15,30,10,0.10419225692749023,3.4809112548828125e-05,0.0004916191101074219
9,4,5,2,2,2,4,24,43,28,0.1687934398651123,4.8160552978515625e-05,0.0024895668029785156
9,5,5,2,2,2,5,29,79,40,0.20877504348754883,5.984306335449219e-05,0.005228519439697266
9,6,5,2,2,2,6,34,79,110,0.2625107765197754,7.152557373046875e-05,0.015684843063354492
9,7,5,2,2,2,7,39,88,338,0.2763936519622803,7.486343383789062e-05,0.05987405776977539
9,8,5,2,2,2,8,44,73,935,0.32642388343811035,0.0001049041748046875,0.07244086265563965
9,9,5,2,2,2,9,49,99,1775,0.3473353385925293,9.918212890625e-05,0.13808798789978027
10,3,5,2,2,2,3,9,5,0,0.0923154354095459,3.62396240234375e-05,1.3589859008789062e-05
10,4,5,2,2,2,4,12,8,0,0.11565566062927246,4.506111145019531e-05,1.430511474609375e-05
10,5,5,2,2,2,5,15,8,0,0.1913905143737793,7.510185241699219e-05,1.5497207641601562e-05
10,6,5,2,2,2,6,18,13,0,0.1900649070739746,8.225440979003906e-05,3.6716461181640625e-05
10,7,5,2,2,2,7,21,21,9,0.19301199913024902,6.461143493652344e-05,0.00020503997802734375
10,8,5,2,2,2,8,24,19,0,0.23118019104003906,0.00012874603271484375,4.482269287109375e-05
10,9,5,2,2,2,9,27,16,0,0.2634305953979492,9.799003601074219e-05,1.7881393432617188e-05
