i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,3,2,2,6,3,1,0.08153057098388672,3.457069396972656e-05,3.1948089599609375e-05
1,4,5,3,2,2,8,4,1,0.08119034767150879,4.1484832763671875e-05,2.9087066650390625e-05
1,5,5,3,2,2,10,5,1,0.10052800178527832,4.887580871582031e-05,3.314018249511719e-05
1,6,5,3,2,2,12,6,1,0.11276078224182129,8.058547973632812e-05,4.220008850097656e-05
1,7,5,3,2,2,14,7,1,0.1496572494506836,6.270408630371094e-05,4.124641418457031e-05
1,8,5,3,2,2,16,8,1,0.16480159759521484,0.00010657310485839844,6.008148193359375e-05
1,9,5,3,2,2,18,9,1,0.16747307777404785,9.655952453613281e-05,5.340576171875e-05
2,3,5,3,2,2,6,6,1,0.06192755699157715,3.266334533691406e-05,3.24249267578125e-05
2,4,5,3,2,2,8,8,1,0.0796205997467041,4.410743713378906e-05,4.2438507080078125e-05
2,5,5,3,2,2,10,10,1,0.11219406127929688,4.649162292480469e-05,4.9591064453125e-05
2,6,5,3,2,2,12,12,1,0.12401533126831055,8.273124694824219e-05,8.845329284667969e-05
2,7,5,3,2,2,14,14,1,0.14458847045898438,6.318092346191406e-05,6.866455078125e-05
2,8,5,3,2,2,16,16,1,0.1666734218597412,7.82012939453125e-05,0.00012636184692382812
2,9,5,3,2,2,18,18,1,0.19039297103881836,8.630752563476562e-05,9.441375732421875e-05
3,3,5,3,2,2,6,6,1,0.05792570114135742,5.173683166503906e-05,5.054473876953125e-05
3,4,5,3,2,2,8,8,1,0.08049798011779785,3.981590270996094e-05,4.029273986816406e-05
3,5,5,3,2,2,10,10,1,0.08704018592834473,8.916854858398438e-05,7.200241088867188e-05
3,6,5,3,2,2,12,12,1,0.11828207969665527,5.626678466796875e-05,5.8650970458984375e-05
3,7,5,3,2,2,14,14,1,0.12568259239196777,7.224082946777344e-05,7.152557373046875e-05
3,8,5,3,2,2,16,16,1,0.14730620384216309,7.390975952148438e-05,8.082389831542969e-05
3,9,5,3,2,2,18,18,1,0.1893908977508545,8.320808410644531e-05,9.441375732421875e-05
4,3,5,3,2,2,6,6,1,0.05120110511779785,3.4809112548828125e-05,3.24249267578125e-05
4,4,5,3,2,2,8,8,1,0.08013677597045898,4.1484832763671875e-05,4.1484832763671875e-05
4,5,5,3,2,2,10,10,1,0.08993339538574219,4.553794860839844e-05,4.863739013671875e-05
4,6,5,3,2,2,12,12,1,0.11540913581848145,5.91278076171875e-05,6.151199340820312e-05
4,7,5,3,2,2,14,14,1,0.12978315353393555,6.699562072753906e-05,7.2479248046875e-05
4,8,5,3,2,2,16,16,1,0.13707375526428223,8.630752563476562e-05,8.082389831542969e-05
4,9,5,3,2,2,18,18,1,0.16153788566589355,8.702278137207031e-05,0.00010442733764648438
5,3,5,3,2,2,9,9,1,0.06455874443054199,3.504753112792969e-05,4.601478576660156e-05
5,4,5,3,2,2,12,12,1,0.10193967819213867,4.00543212890625e-05,5.7220458984375e-05
5,5,5,3,2,2,15,15,1,0.12166833877563477,5.1021575927734375e-05,7.772445678710938e-05
5,6,5,3,2,2,18,18,1,0.15450072288513184,5.507469177246094e-05,9.250640869140625e-05
5,7,5,3,2,2,21,21,1,0.18111968040466309,6.532669067382812e-05,0.00011372566223144531
5,8,5,3,2,2,24,24,1,0.20091938972473145,7.462501525878906e-05,0.00013828277587890625
5,9,5,3,2,2,27,27,1,0.2190110683441162,8.845329284667969e-05,0.00016546249389648438
6,3,5,3,2,2,9,9,1,0.068572998046875,5.817413330078125e-05,6.794929504394531e-05
6,4,5,3,2,2,12,12,1,0.09106564521789551,3.8623809814453125e-05,5.555152893066406e-05
6,5,5,3,2,2,15,15,1,0.11335253715515137,4.9114227294921875e-05,7.748603820800781e-05
6,6,5,3,2,2,18,18,1,0.14361953735351562,0.00011467933654785156,0.0001723766326904297
