i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,2,2,2,3,6,6,1,0.2370316982269287,0.00011610984802246094,9.441375732421875e-05
1,3,5,2,2,2,4,8,16,1,0.2601945400238037,0.00017499923706054688,0.00019860267639160156
1,3,5,2,2,2,5,10,28,1,0.3885471820831299,0.00018596649169921875,0.0004487037658691406
1,3,5,2,2,2,6,12,48,1,0.46988582611083984,0.0002117156982421875,0.001004934310913086
1,4,5,2,2,2,4,8,8,1,0.30722618103027344,0.00014090538024902344,0.00011992454528808594
1,4,5,2,2,2,5,10,16,1,0.3580622673034668,0.0002484321594238281,0.00031304359436035156
1,4,5,2,2,2,6,12,30,1,0.4526815414428711,0.00020432472229003906,0.0005180835723876953
1,4,5,2,2,2,7,14,44,1,0.5727784633636475,0.0003056526184082031,0.0014123916625976562
1,4,5,2,2,2,8,16,64,1,0.7121636867523193,0.00030303001403808594,0.0025663375854492188
1,5,5,2,2,2,5,11,10,1,0.4362456798553467,0.0001895427703857422,0.00015115737915039062
1,5,5,2,2,2,6,13,25,1,0.599069356918335,0.000247955322265625,0.0003745555877685547
1,5,5,2,2,2,7,15,34,1,0.6204745769500732,0.0002868175506591797,0.0007503032684326172
1,5,5,2,2,2,8,16,44,1,0.6605281829833984,0.00032806396484375,0.0013244152069091797
1,5,5,2,2,2,9,18,52,1,0.7052922248840332,0.0003228187561035156,0.0029811859130859375
1,5,5,2,2,2,10,20,80,1,0.7299685478210449,0.00038886070251464844,0.0070362091064453125
1,6,5,2,2,2,6,13,21,1,0.5065798759460449,0.0002338886260986328,0.00023055076599121094
1,6,5,2,2,2,7,14,24,1,0.5572695732116699,0.0002567768096923828,0.0002963542938232422
1,6,5,2,2,2,8,16,32,1,0.6998918056488037,0.0003104209899902344,0.0004570484161376953
1,6,5,2,2,2,9,18,40,1,0.766533613204956,0.0003151893615722656,0.0006237030029296875
1,6,5,2,2,2,10,20,56,1,0.79022216796875,0.0003409385681152344,0.0011696815490722656
1,6,5,2,2,2,11,22,72,1,0.8437812328338623,0.0003764629364013672,0.0024492740631103516
1,6,5,2,2,2,12,24,96,1,1.0127358436584473,0.00041604042053222656,0.005692958831787109
2,3,5,2,2,2,3,48,336,416,0.9706013202667236,0.0002143383026123047,0.3800373077392578
2,3,5,2,2,2,4,52,464,336,1.0529463291168213,0.0002155303955078125,0.6056966781616211
2,3,5,2,2,2,5,68,1304,392,1.2040724754333496,0.00044727325439453125,4.530033588409424
2,3,5,2,2,2,6,84,2400,452,1.6439499855041504,0.0006928443908691406,15.03033971786499
2,4,5,2,2,2,4,60,536,2656,1.1830878257751465,0.00022792816162109375,3.1447579860687256
2,4,5,2,2,2,5,76,1264,3136,1.4694230556488037,0.0003495216369628906,16.739110708236694
2,4,5,2,2,2,6,80,1488,2596,1.7027077674865723,0.0005784034729003906,25.0293447971344
2,4,5,2,2,2,7,96,2104,2976,2.071678638458252,0.0006442070007324219,42.05450510978699
2,4,5,2,2,2,8,112,3200,3456,2.4514870643615723,0.001088857650756836,134.9986584186554
2,5,5,2,2,2,5,72,464,21440,1.579092025756836,0.0002429485321044922,27.57390284538269
2,5,5,2,2,2,6,88,1040,22912,1.8505020141601562,0.00042557716369628906,124.89036965370178
2,5,5,2,2,2,7,92,1320,18592,1.999969244003296,0.0004279613494873047,169.21782279014587
2,5,5,2,2,2,8,108,2176,21952,2.399491310119629,0.0006997585296630859,626.9970235824585
2,5,5,2,2,2,9,124,2664,24384,2.7805538177490234,0.0007917881011962891,1444.740139245987
2,5,5,2,2,2,10,140,4000,28224,3.1359035968780518,0.001378774642944336,4230.949375629425
2,6,5,2,2,2,6,84,560,168448,1.9155137538909912,0.00028204917907714844,208.47764778137207
2,6,5,2,2,2,7,100,896,165632,2.243762731552124,0.0005078315734863281,685.5159182548523
2,6,5,2,2,2,8,116,1360,169152,2.6523146629333496,0.00047850608825683594,1217.5943117141724
2,6,5,2,2,2,9,120,1640,154272,2.7431206703186035,0.0007517337799072266,1860.9265389442444
2,6,5,2,2,2,10,136,2608,178592,3.1770031452178955,0.0007877349853515625,5850.29930472374
2,6,5,2,2,2,11,152,3944,187984,3.640856981277466,0.0013883113861083984,18225.118771076202
2,6,5,2,2,2,12,168,4800,207504,4.041954278945923,0.0016281604766845703,41999.59335255623
3,3,5,2,2,2,3,12,24,8,0.6733565330505371,0.0001373291015625,0.0007028579711914062
3,3,5,2,2,2,4,13,36,8,0.8440837860107422,0.0001652240753173828,0.0012974739074707031
3,3,5,2,2,2,5,17,94,8,0.9375832080841064,0.0001881122589111328,0.005591392517089844
3,3,5,2,2,2,6,21,168,8,1.077040433883667,0.0002675056457519531,0.025187253952026367
3,4,5,2,2,2,4,12,24,16,0.6004612445831299,0.000244140625,0.0009150505065917969
3,4,5,2,2,2,5,16,50,16,0.8137452602386475,0.00019240379333496094,0.0030028820037841797
3,4,5,2,2,2,6,20,92,16,1.1198363304138184,0.0002570152282714844,0.013469934463500977
3,4,5,2,2,2,7,24,134,16,1.361884593963623,0.0002446174621582031,0.03265976905822754
3,4,5,2,2,2,8,28,224,16,1.4798593521118164,0.0002880096435546875,0.07366633415222168
3,5,5,2,2,2,5,15,30,32,0.6875321865081787,0.00017142295837402344,0.0021080970764160156
3,5,5,2,2,2,6,19,64,32,1.0193238258361816,0.0002741813659667969,0.01100921630859375
3,5,5,2,2,2,7,23,98,32,1.0940117835998535,0.00024318695068359375,0.024950027465820312
3,5,5,2,2,2,8,27,132,32,1.3104445934295654,0.0002956390380859375,0.06480097770690918
3,5,5,2,2,2,9,31,206,32,1.5412027835845947,0.00033926963806152344,0.16758084297180176
3,5,5,2,2,2,10,35,280,32,1.6567168235778809,0.0005333423614501953,0.3251044750213623
3,6,5,2,2,2,6,18,36,64,0.8244636058807373,0.00024509429931640625,0.0029549598693847656
3,6,5,2,2,2,7,22,62,64,1.0661392211914062,0.00025343894958496094,0.01684856414794922
3,6,5,2,2,2,8,26,88,64,1.2263984680175781,0.0003986358642578125,0.035688161849975586
3,6,5,2,2,2,9,30,122,64,1.453887701034546,0.0003154277801513672,0.09678244590759277
3,6,5,2,2,2,10,34,188,64,1.5914390087127686,0.0005812644958496094,0.20544743537902832
3,6,5,2,2,2,11,38,262,64,1.8749840259552002,0.00046563148498535156,0.9065756797790527
3,6,5,2,2,2,12,42,336,64,1.9989748001098633,0.0005121231079101562,2.1806640625
4,3,5,2,2,2,3,12,18,2,0.5041975975036621,0.00013756752014160156,0.00026726722717285156
4,3,5,2,2,2,4,16,44,1,0.7740795612335205,0.00020241737365722656,0.0010159015655517578
4,3,5,2,2,2,5,20,74,1,0.9476993083953857,0.000186920166015625,0.00258636474609375
4,3,5,2,2,2,6,24,120,1,1.17464017868042,0.0002913475036621094,0.009490489959716797
4,4,5,2,2,2,4,18,24,2,0.8705580234527588,0.0002276897430419922,0.0007355213165283203
4,4,5,2,2,2,5,20,42,2,0.9271626472473145,0.00021576881408691406,0.0019981861114501953
4,4,5,2,2,2,6,24,72,2,1.125063419342041,0.00030231475830078125,0.004853487014770508
4,4,5,2,2,2,7,28,114,2,1.3865034580230713,0.0002512931823730469,0.015540122985839844
4,4,5,2,2,2,8,32,160,1,1.5652928352355957,0.00031280517578125,0.03916001319885254
4,5,5,2,2,2,5,22,38,4,1.0259311199188232,0.00022292137145996094,0.0006494522094726562
4,5,5,2,2,2,6,24,56,2,1.0505475997924805,0.00028014183044433594,0.002305746078491211
4,5,5,2,2,2,7,28,78,2,1.262441635131836,0.00024628639221191406,0.003563404083251953
4,5,5,2,2,2,8,32,108,2,1.4402413368225098,0.00029778480529785156,0.004134178161621094
4,5,5,2,2,2,9,36,154,2,1.624441385269165,0.0003676414489746094,0.013351678848266602
4,5,5,2,2,2,10,40,200,2,2.019947052001953,0.00047469139099121094,0.04914498329162598
4,6,5,2,2,2,6,26,28,8,1.1824355125427246,0.00027823448181152344,0.003588438034057617
4,6,5,2,2,2,7,30,46,4,1.4506616592407227,0.00033020973205566406,0.009510517120361328
4,6,5,2,2,2,8,32,80,4,1.4902057647705078,0.0002987384796142578,0.025620698928833008
4,6,5,2,2,2,9,36,106,2,1.7394518852233887,0.0004048347473144531,0.0507199764251709
4,6,5,2,2,2,10,40,136,2,1.9360532760620117,0.00043010711669921875,0.09379792213439941
4,6,5,2,2,2,11,44,178,2,2.1741998195648193,0.00044465065002441406,0.22710466384887695
4,6,5,2,2,2,12,48,240,2,2.3981339931488037,0.0005521774291992188,0.541874885559082
5,3,5,2,2,2,3,6,3,1,0.3736763000488281,0.00016355514526367188,0.00010800361633300781
5,3,5,2,2,2,4,8,8,1,0.5385689735412598,0.0001919269561767578,0.0001418590545654297
5,3,5,2,2,2,5,10,19,1,0.6992371082305908,0.00020313262939453125,0.0002639293670654297
5,3,5,2,2,2,6,12,36,1,0.9077861309051514,0.00024366378784179688,0.0007483959197998047
5,4,5,2,2,2,4,9,6,1,0.6157557964324951,0.00022268295288085938,0.00014448165893554688
5,4,5,2,2,2,5,11,11,1,0.8411750793457031,0.00021314620971679688,0.0002079010009765625
5,4,5,2,2,2,6,12,12,1,0.839740514755249,0.00024056434631347656,0.00021719932556152344
5,4,5,2,2,2,7,14,31,1,0.9988117218017578,0.00029277801513671875,0.0006041526794433594
5,4,5,2,2,2,8,16,48,1,1.2098534107208252,0.0002880096435546875,0.0015156269073486328
5,5,5,2,2,2,5,11,7,1,0.7459957599639893,0.00018095970153808594,0.0001583099365234375
5,5,5,2,2,2,6,12,8,1,0.8760523796081543,0.00023674964904785156,0.00015234947204589844
5,5,5,2,2,2,7,14,17,1,0.9691698551177979,0.000286102294921875,0.00027489662170410156
5,5,5,2,2,2,8,16,32,1,1.1175282001495361,0.0002772808074951172,0.0008389949798583984
5,5,5,2,2,2,9,18,43,1,1.3198325634002686,0.000354766845703125,0.0015044212341308594
5,5,5,2,2,2,10,20,60,1,1.4729228019714355,0.0003387928009033203,0.0036897659301757812
5,6,5,2,2,2,6,12,6,1,0.7859845161437988,0.0002491474151611328,0.00014853477478027344
5,6,5,2,2,2,7,14,11,1,0.928342342376709,0.0003116130828857422,0.00020933151245117188
5,6,5,2,2,2,8,16,20,1,1.1287784576416016,0.00035071372985839844,0.0003399848937988281
5,6,5,2,2,2,9,18,31,1,1.2626066207885742,0.0003573894500732422,0.0005519390106201172
5,6,5,2,2,2,10,20,46,1,1.4238026142120361,0.0003600120544433594,0.001287221908569336
5,6,5,2,2,2,11,22,59,1,1.5728721618652344,0.00045490264892578125,0.004769563674926758
