i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,7,5,2,2,2,7,42,92,128,1.1098451614379883,0.0003495216369628906,0.11147642135620117
1,7,5,2,2,2,8,46,132,128,1.352440595626831,0.00032401084899902344,0.27187371253967285
1,7,5,2,2,2,9,50,172,128,1.178271770477295,0.0003542900085449219,0.5755569934844971
1,7,5,2,2,2,10,54,244,128,1.32948899269104,0.0005211830139160156,0.9567539691925049
1,8,5,2,2,2,8,48,116,256,1.0232388973236084,0.00031948089599609375,0.0843505859375
1,8,5,2,2,2,9,52,148,256,1.0796940326690674,0.0003333091735839844,0.0988762378692627
1,8,5,2,2,2,10,56,204,256,1.286339521408081,0.00038361549377441406,0.2243516445159912
1,8,5,2,2,2,11,60,264,3840,1.458362102508545,0.0004031658172607422,2.124537467956543
1,8,5,2,2,2,12,64,304,3840,1.3303828239440918,0.00045800209045410156,3.1238536834716797
2,7,5,2,2,2,7,24,50,128,1.0527851581573486,0.0006282329559326172,0.01362156867980957
2,7,5,2,2,2,8,28,76,128,0.9557104110717773,0.0004878044128417969,0.02978801727294922
2,7,5,2,2,2,9,29,94,128,1.1366584300994873,0.0004165172576904297,0.05028486251831055
2,7,5,2,2,2,10,33,136,128,1.1523394584655762,0.00047087669372558594,0.13998913764953613
2,8,5,2,2,2,8,27,86,256,0.9266567230224609,0.0003838539123535156,0.022232770919799805
2,8,5,2,2,2,9,31,112,256,1.1054508686065674,0.00043082237243652344,0.06962227821350098
2,8,5,2,2,2,10,35,138,256,1.3204975128173828,0.0004830360412597656,0.1595454216003418
2,8,5,2,2,2,11,36,158,256,1.369279146194458,0.0005309581756591797,0.2344801425933838
2,8,5,2,2,2,12,40,192,256,1.502798080444336,0.0006754398345947266,0.45635342597961426
3,7,5,2,2,2,7,36,70,4,1.1786904335021973,0.00037217140197753906,0.0065631866455078125
3,7,5,2,2,2,8,40,86,4,1.3317053318023682,0.00031566619873046875,0.01264333724975586
3,7,5,2,2,2,9,44,114,2,1.5814526081085205,0.0004856586456298828,0.023858308792114258
3,7,5,2,2,2,10,48,134,2,1.6913866996765137,0.00037598609924316406,0.03357815742492676
3,8,5,2,2,2,8,41,68,16,1.3152508735656738,0.00030875205993652344,0.01937556266784668
3,8,5,2,2,2,9,45,80,16,1.5376176834106445,0.00034165382385253906,0.033091068267822266
3,8,5,2,2,2,10,49,122,8,1.6963067054748535,0.0003829002380371094,0.056976318359375
3,8,5,2,2,2,11,53,156,4,1.85213303565979,0.00043010711669921875,0.09737157821655273
3,8,5,2,2,2,12,57,176,4,2.04488205909729,0.00047087669372558594,0.2216038703918457
4,7,5,2,2,2,7,57,247,78125,1.3056116104125977,0.00030422210693359375,7.188676834106445
4,7,5,2,2,2,8,67,346,78125,1.5378913879394531,0.0003292560577392578,17.73641538619995
4,7,5,2,2,2,9,69,451,78253,1.5408787727355957,0.0004296302795410156,24.594839334487915
4,7,5,2,2,2,10,79,850,78253,1.8109416961669922,0.0007975101470947266,68.5288314819336
4,8,5,2,2,2,8,64,286,390625,1.4278583526611328,0.00042700767517089844,52.656644105911255
4,8,5,2,2,2,9,66,381,390881,1.5906782150268555,0.0006361007690429688,309.6662075519562
4,8,5,2,2,2,10,76,480,390881,1.8060929775238037,0.0006508827209472656,390.3332769870758
4,8,5,2,2,2,11,86,879,390881,1.9335453510284424,0.0005717277526855469,3128.2182359695435
4,8,5,2,2,2,12,96,1028,390881,2.272587776184082,0.00092315673828125,5915.183879375458
5,7,5,2,2,2,7,33,102,2187,1.1460134983062744,0.0003514289855957031,0.1694197654724121
5,7,5,2,2,2,8,39,174,2187,1.3715002536773682,0.00037217140197753906,1.2904953956604004
5,7,5,2,2,2,9,40,192,2187,1.486001968383789,0.0004048347473144531,1.776386022567749
5,7,5,2,2,2,10,46,264,2187,1.607884407043457,0.0004601478576660156,4.309808254241943
5,8,5,2,2,2,8,37,126,6561,1.2403995990753174,0.00040435791015625,0.2613084316253662
5,8,5,2,2,2,9,43,198,6561,1.543727159500122,0.0003676414489746094,0.8515548706054688
5,8,5,2,2,2,10,44,240,6561,1.5713095664978027,0.00040459632873535156,1.5844612121582031
5,8,5,2,2,2,11,50,276,6561,1.7362704277038574,0.0004527568817138672,3.2156753540039062
5,8,5,2,2,2,12,56,366,6561,1.9487519264221191,0.00048279762268066406,7.209872722625732
6,7,5,2,2,2,7,21,7,1,0.6833648681640625,0.00028514862060546875,0.00017786026000976562
6,7,5,2,2,2,8,23,10,1,0.7905983924865723,0.00034499168395996094,0.00017786026000976562
6,7,5,2,2,2,9,25,23,1,0.9053616523742676,0.0005519390106201172,0.0005362033843994141
6,7,5,2,2,2,10,27,36,1,1.0164189338684082,0.0003693103790283203,0.0006597042083740234
6,8,5,2,2,2,8,24,10,1,0.8291459083557129,0.000347137451171875,0.000171661376953125
6,8,5,2,2,2,9,26,13,1,0.9224746227264404,0.00043463706970214844,0.00024437904357910156
6,8,5,2,2,2,10,28,20,1,1.0030570030212402,0.000453948974609375,0.00033974647521972656
6,8,5,2,2,2,11,30,23,1,1.1223740577697754,0.0005621910095214844,0.0005338191986083984
6,8,5,2,2,2,12,32,34,1,1.2077035903930664,0.0004334449768066406,0.0007894039154052734
7,7,5,2,2,2,7,21,14,1,0.6907241344451904,0.0002880096435546875,0.0002040863037109375
7,7,5,2,2,2,8,25,26,1,0.8173894882202148,0.0003693103790283203,0.0004756450653076172
7,7,5,2,2,2,9,29,42,1,0.9082109928131104,0.00040531158447265625,0.0011632442474365234
7,7,5,2,2,2,10,33,58,1,1.0560126304626465,0.0004096031188964844,0.002255678176879883
7,8,5,2,2,2,8,27,20,1,0.9376914501190186,0.0003457069396972656,0.0002853870391845703
7,8,5,2,2,2,9,28,28,1,0.8905746936798096,0.00038433074951171875,0.00033855438232421875
7,8,5,2,2,2,10,32,50,1,0.8751776218414307,0.0004432201385498047,0.0005738735198974609
7,8,5,2,2,2,11,36,64,1,1.1354682445526123,0.0004782676696777344,0.0007953643798828125
7,8,5,2,2,2,12,40,98,1,1.2393741607666016,0.0005247592926025391,0.0017023086547851562
8,7,5,2,2,2,7,14,14,1,0.6168920993804932,0.0003368854522705078,0.0003209114074707031
8,7,5,2,2,2,8,16,22,1,0.6559581756591797,0.00039887428283691406,0.0007004737854003906
8,7,5,2,2,2,9,18,36,1,0.7289364337921143,0.0004324913024902344,0.0017249584197998047
8,7,5,2,2,2,10,20,46,1,0.8078532218933105,0.00047898292541503906,0.002954244613647461
8,8,5,2,2,2,8,18,22,2,0.7633645534515381,0.0002810955047607422,0.0003185272216796875
8,8,5,2,2,2,9,20,32,2,0.8061530590057373,0.0003800392150878906,0.0006742477416992188
8,8,5,2,2,2,10,22,44,2,0.9566535949707031,0.00042366981506347656,0.001405954360961914
8,8,5,2,2,2,11,24,58,2,0.9779396057128906,0.0004210472106933594,0.003058910369873047
8,8,5,2,2,2,12,26,76,2,1.0598323345184326,0.0004286766052246094,0.006021976470947266
9,7,5,2,2,2,7,21,11,1,0.8208587169647217,0.0002951622009277344,0.00022268295288085938
9,7,5,2,2,2,8,23,12,1,0.7953009605407715,0.00035881996154785156,0.00024056434631347656
9,7,5,2,2,2,9,25,19,1,0.9019851684570312,0.0003266334533691406,0.0003685951232910156
9,7,5,2,2,2,10,27,32,1,1.0099549293518066,0.0003561973571777344,0.0007920265197753906
9,8,5,2,2,2,8,24,10,1,0.8813228607177734,0.0003008842468261719,0.0001575946807861328
9,8,5,2,2,2,9,26,19,1,0.8633780479431152,0.0004477500915527344,0.0003364086151123047
9,8,5,2,2,2,10,28,20,1,1.0082292556762695,0.0005080699920654297,0.00039887428283691406
9,8,5,2,2,2,11,30,31,1,1.1115143299102783,0.0005061626434326172,0.0006215572357177734
9,8,5,2,2,2,12,32,44,1,1.2490079402923584,0.0005745887756347656,0.001584768295288086
10,7,5,2,2,2,7,27,59,122,0.7150442600250244,0.0004968643188476562,0.025047779083251953
10,7,5,2,2,2,8,31,90,138,0.858799934387207,0.00042819976806640625,0.06692099571228027
10,7,5,2,2,2,9,35,115,174,0.9988415241241455,0.0004246234893798828,0.15728306770324707
10,7,5,2,2,2,10,39,152,198,1.1238353252410889,0.0003604888916015625,0.38330626487731934
10,8,5,2,2,2,8,30,74,208,0.7886192798614502,0.0002841949462890625,0.022945404052734375
10,8,5,2,2,2,9,34,91,244,0.9284288883209229,0.0003376007080078125,0.07005929946899414
10,8,5,2,2,2,10,38,130,292,1.0570766925811768,0.0004773139953613281,0.2006072998046875
10,8,5,2,2,2,11,42,161,340,1.1540944576263428,0.0004429817199707031,0.5243332386016846
10,8,5,2,2,2,12,46,238,345,1.2893617153167725,0.0007305145263671875,1.5323028564453125
11,7,5,2,2,2,7,33,135,2187,1.1050889492034912,0.00043654441833496094,0.13330364227294922
11,7,5,2,2,2,8,39,165,2187,1.3293912410736084,0.00033783912658691406,0.3236563205718994
11,7,5,2,2,2,9,45,219,2187,1.512678623199463,0.00040531158447265625,0.7800343036651611
11,7,5,2,2,2,10,46,246,2187,1.6265792846679688,0.0004227161407470703,1.016852617263794
11,8,5,2,2,2,8,37,111,6561,1.2437658309936523,0.0004456043243408203,1.2608404159545898
11,8,5,2,2,2,9,43,198,6561,1.39805006980896,0.0004031658172607422,4.095936059951782
11,8,5,2,2,2,10,44,240,6561,1.4330158233642578,0.0005135536193847656,6.823625564575195
11,8,5,2,2,2,11,50,330,6561,1.699152946472168,0.00044989585876464844,15.315513849258423
11,8,5,2,2,2,12,56,438,6561,1.8906159400939941,0.0005340576171875,34.101829290390015
