i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,7,5,2,2,2,7,15,16,1,0.7066688537597656,0.00033164024353027344,0.0005095005035400391
1,7,5,2,2,2,8,17,25,1,0.8235387802124023,0.0002856254577636719,0.0005497932434082031
1,7,5,2,2,2,9,19,39,1,0.8260018825531006,0.0003998279571533203,0.0013270378112792969
1,7,5,2,2,2,10,21,53,1,1.0749826431274414,0.0004143714904785156,0.0013110637664794922
1,8,5,2,2,2,8,16,16,1,0.7088756561279297,0.0002868175506591797,0.0002593994140625
1,8,5,2,2,2,9,18,22,1,0.8054003715515137,0.00040984153747558594,0.0004496574401855469
1,8,5,2,2,2,10,20,36,1,0.9563205242156982,0.0003535747528076172,0.0010104179382324219
1,8,5,2,2,2,11,22,50,1,1.1371045112609863,0.00043702125549316406,0.0026597976684570312
1,8,5,2,2,2,12,24,62,1,1.0864431858062744,0.0004241466522216797,0.004596710205078125
2,7,5,2,2,2,7,24,70,128,0.5530874729156494,0.00030732154846191406,0.005745887756347656
2,7,5,2,2,2,8,28,96,128,0.6519174575805664,0.00033473968505859375,0.013254880905151367
2,7,5,2,2,2,9,32,112,128,0.9101576805114746,0.00037789344787597656,0.03462481498718262
2,7,5,2,2,2,10,36,134,128,0.8464059829711914,0.00039386749267578125,0.0429384708404541
2,8,5,2,2,2,8,27,48,256,0.6188132762908936,0.00030922889709472656,0.007081508636474609
2,8,5,2,2,2,9,31,66,256,0.6885929107666016,0.000347137451171875,0.013133049011230469
2,8,5,2,2,2,10,35,80,256,0.8939380645751953,0.0005083084106445312,0.048151254653930664
2,8,5,2,2,2,11,39,112,256,1.018052101135254,0.00043773651123046875,0.08997464179992676
2,8,5,2,2,2,12,40,144,256,0.9825737476348877,0.0004923343658447266,0.14560532569885254
3,7,5,2,2,2,7,21,20,1,0.7164115905761719,0.0004200935363769531,0.0002911090850830078
3,7,5,2,2,2,8,23,24,1,0.6723272800445557,0.00029659271240234375,0.0003228187561035156
3,7,5,2,2,2,9,25,38,1,0.7261457443237305,0.00035834312438964844,0.0004603862762451172
3,7,5,2,2,2,10,27,44,1,0.8841872215270996,0.0004165172576904297,0.0008842945098876953
3,8,5,2,2,2,8,24,21,1,0.7116353511810303,0.00029277801513671875,0.00026035308837890625
3,8,5,2,2,2,9,26,26,1,1.102684497833252,0.0005502700805664062,0.0004589557647705078
3,8,5,2,2,2,10,28,38,1,1.4737799167633057,0.0006232261657714844,0.0010039806365966797
3,8,5,2,2,2,11,30,48,1,0.9379329681396484,0.0004253387451171875,0.001020669937133789
3,8,5,2,2,2,12,32,64,1,1.0254948139190674,0.00044083595275878906,0.002190828323364258
4,7,5,2,2,2,7,15,9,1,0.7932853698730469,0.00024318695068359375,0.00013327598571777344
