i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,5,5,2,2,2,5,15,16,0,0.3902735710144043,0.00012826919555664062,0.00024127960205078125
1,5,10,2,2,2,5,36,112,1024,1.0361700057983398,0.00012421607971191406,0.0383000373840332
1,5,15,2,2,2,5,18,12,0,2.470618486404419,0.0003299713134765625,0.0002505779266357422
1,5,20,2,2,2,5,33,117,243,2.6187777519226074,0.0002219676971435547,0.027233362197875977
1,5,25,2,2,2,5,139,429,1053,12.897020816802979,0.0005204677581787109,1.2437987327575684
1,5,30,2,2,2,5,138,2156,473912,25.2597873210907,0.0003447532653808594,149.05517554283142
2,5,5,2,2,2,5,18,34,32,0.6108953952789307,0.00012040138244628906,0.0008864402770996094
2,5,10,2,2,2,5,24,28,16,1.2334544658660889,0.00013446807861328125,0.0005474090576171875
2,5,15,2,2,2,5,87,612,46656,5.9255595207214355,0.0006353855133056641,3.333005666732788
2,5,20,2,2,2,5,40,124,1024,3.4896180629730225,0.0003838539123535156,0.04118657112121582
2,5,25,2,2,2,5,47,185,2000,14.03859567642212,0.0001621246337890625,0.0770254135131836
2,5,30,2,2,2,5,11,7,1,7.145042657852173,0.000209808349609375,0.00012373924255371094
3,5,5,2,2,2,5,10,0,0,0.41277027130126953,0.00019502639770507812,8.106231689453125e-05
3,5,10,2,2,2,5,20,60,243,0.6950316429138184,0.0002510547637939453,0.024226903915405273
3,5,15,2,2,2,5,10,10,1,0.8305068016052246,0.00019216537475585938,0.00014019012451171875
3,5,20,2,2,2,5,10,10,1,1.3388361930847168,0.0001404285430908203,0.00011110305786132812
3,5,25,2,2,2,5,15,15,1,2.17470383644104,0.00033545494079589844,0.0004324913024902344
3,5,30,2,2,2,5,165,2255,1839541,35.313469648361206,0.0003082752227783203,2408.658257484436
4,5,5,2,2,2,5,18,42,32,0.7298779487609863,0.0002849102020263672,0.002133607864379883
4,5,10,2,2,2,5,72,644,27840,2.816359758377075,0.0003829002380371094,1.235527753829956
4,5,15,2,2,2,5,40,180,1024,1.584707498550415,0.0004048347473144531,0.0424649715423584
4,5,20,2,2,2,5,30,60,32,3.7559380531311035,0.0004050731658935547,0.0053212642669677734
4,5,25,2,2,2,5,109,54,0,18.194617986679077,0.0002613067626953125,0.0015802383422851562
4,5,30,2,2,2,5,55,90,200,9.14740538597107,0.00022029876708984375,0.0056149959564208984
5,5,5,2,2,2,5,11,4,0,0.6390244960784912,0.00023818016052246094,0.00010561943054199219
5,5,10,2,2,2,5,45,153,243,1.745241641998291,0.0003814697265625,0.06820821762084961
5,5,15,2,2,2,5,15,15,1,1.1096885204315186,0.0001823902130126953,0.00022363662719726562
