i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,8,5,4,2,2,32,56,512,0.622786283493042,0.0008325576782226562,0.12771844863891602
1,8,5,3,2,2,32,64,256,0.6227090358734131,0.0010573863983154297,0.28194403648376465
2,8,5,4,2,2,15,13,1,0.4303877353668213,0.0008902549743652344,0.0005445480346679688
2,8,5,3,2,2,16,16,1,0.48687100410461426,0.0010325908660888672,0.0009624958038330078
3,8,5,4,2,2,15,13,1,0.5322070121765137,0.0008463859558105469,0.0005879402160644531
3,8,5,3,2,2,16,16,1,0.5005557537078857,0.0009510517120361328,0.0010137557983398438
4,8,5,4,2,2,15,13,1,0.5787961483001709,0.0008683204650878906,0.0005595684051513672
4,8,5,3,2,2,16,16,1,0.6337487697601318,0.0009763240814208984,0.0012218952178955078
5,8,5,4,2,2,15,13,1,0.5030295848846436,0.0013096332550048828,0.0009121894836425781
5,8,5,3,2,2,16,16,1,0.5062727928161621,0.0009572505950927734,0.0010826587677001953
6,8,5,4,2,2,23,20,2,0.5397257804870605,0.0008001327514648438,0.001220703125
6,8,5,3,2,2,24,24,1,0.5754795074462891,0.0009667873382568359,0.0018994808197021484
7,8,5,4,2,2,23,40,256,0.4802706241607666,0.0008170604705810547,0.04665231704711914
7,8,5,3,2,2,24,48,256,0.5226020812988281,0.0014376640319824219,0.16723251342773438
8,8,5,4,2,2,15,13,1,0.4814779758453369,0.0013751983642578125,0.0009002685546875
8,8,5,3,2,2,16,16,1,0.5061445236206055,0.0010104179382324219,0.0010128021240234375
9,8,5,4,2,2,24,40,256,0.5108118057250977,0.0009715557098388672,0.04895591735839844
9,8,5,3,2,2,24,48,256,0.5028235912322998,0.0009541511535644531,0.17841196060180664
10,8,5,4,2,2,23,40,256,0.5633597373962402,0.0008494853973388672,0.04690289497375488
10,8,5,3,2,2,24,48,256,0.6152172088623047,0.0009984970092773438,0.15574383735656738
11,8,5,4,2,2,15,13,1,0.5768225193023682,0.0013172626495361328,0.0005469322204589844
11,8,5,3,2,2,16,16,1,0.6130251884460449,0.0009329319000244141,0.000989675521850586
12,8,5,4,2,2,15,6,0,0.6629037857055664,0.0008382797241210938,0.0002574920654296875
12,8,5,3,2,2,16,8,0,0.7578842639923096,0.0010454654693603516,0.0002617835998535156
13,8,5,4,2,2,15,13,1,0.4540102481842041,0.0008370876312255859,0.0005342960357666016
13,8,5,3,2,2,16,16,1,0.4880344867706299,0.0009768009185791016,0.001071929931640625
14,8,5,4,2,2,15,13,1,0.6394672393798828,0.0007936954498291016,0.0006401538848876953
14,8,5,3,2,2,16,16,1,0.7119035720825195,0.0010066032409667969,0.0011513233184814453
15,8,5,4,2,2,15,13,1,0.48210573196411133,0.000812530517578125,0.0005557537078857422
15,8,5,3,2,2,16,16,1,0.5113139152526855,0.0009999275207519531,0.0009429454803466797
16,8,5,4,2,2,15,6,0,0.6642704010009766,0.0008208751678466797,0.00021505355834960938
16,8,5,3,2,2,16,8,0,0.7071120738983154,0.0009405612945556641,0.00025582313537597656
17,8,5,4,2,2,22,38,128,0.5656297206878662,0.0008349418640136719,0.021982192993164062
17,8,5,3,2,2,24,48,256,0.9467401504516602,0.0019273757934570312,0.16841459274291992
18,8,5,4,2,2,15,13,1,0.6676092147827148,0.0008733272552490234,0.0005495548248291016
18,8,5,3,2,2,16,16,1,0.5136537551879883,0.002263307571411133,0.0022039413452148438
19,8,5,4,2,2,16,13,1,0.44329094886779785,0.0008053779602050781,0.00061798095703125
19,8,5,3,2,2,16,16,1,0.47173166275024414,0.001062154769897461,0.0010540485382080078
20,8,5,4,2,2,30,52,256,0.6920068264007568,0.0008766651153564453,0.06917953491210938
20,8,5,3,2,2,32,64,256,0.6982924938201904,0.0015838146209716797,0.35175251960754395
21,8,5,4,2,2,69,180,13122,1.303145408630371,0.0008976459503173828,5.406951189041138
