i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,9,5,4,2,2,43,114,19683,1.5250914096832275,0.0015044212341308594,7.143054008483887
1,9,5,3,2,2,45,135,19683,1.634427785873413,0.0016160011291503906,44.586106061935425
2,9,5,4,2,2,17,15,1,4.145186185836792,0.0015604496002197266,0.0010139942169189453
2,9,5,3,2,2,18,18,1,0.9367892742156982,0.003549337387084961,0.0025758743286132812
3,9,5,4,2,2,26,23,2,0.9272012710571289,0.0015146732330322266,0.002209901809692383
3,9,5,3,2,2,27,27,1,0.9449334144592285,0.002380847930908203,0.0038492679595947266
4,9,5,4,2,2,34,60,512,1.106006383895874,0.0015456676483154297,0.20044612884521484
4,9,5,3,2,2,36,72,512,1.4547882080078125,0.0017712116241455078,0.9221007823944092
5,9,5,4,2,2,17,0,0,1.7084565162658691,0.0014085769653320312,0.0004017353057861328
5,9,5,3,2,2,18,0,0,2.0487849712371826,0.001821279525756836,0.00043511390686035156
6,9,5,4,2,2,26,46,512,0.9909703731536865,0.0029709339141845703,0.17194104194641113
6,9,5,3,2,2,27,54,512,1.0576825141906738,0.0016436576843261719,0.5861234664916992
7,9,5,4,2,2,42,111,13122,1.4158918857574463,0.0016338825225830078,5.224036693572998
7,9,5,3,2,2,45,135,19683,1.4325931072235107,0.002607107162475586,40.57893490791321
8,9,5,4,2,2,26,23,2,1.0582163333892822,0.001497507095336914,0.0020651817321777344
8,9,5,3,2,2,27,27,1,1.1167161464691162,0.0017628669738769531,0.0033960342407226562
9,9,5,4,2,2,26,23,2,1.2755258083343506,0.0015225410461425781,0.0022377967834472656
9,9,5,3,2,2,27,27,1,1.3900749683380127,0.002931356430053711,0.004759311676025391
10,9,5,4,2,2,17,15,1,0.8581061363220215,0.0015993118286132812,0.0009520053863525391
10,9,5,3,2,2,18,18,1,0.906719446182251,0.0021147727966308594,0.0017638206481933594
11,9,5,4,2,2,17,15,1,0.8160386085510254,0.0014331340789794922,0.000997304916381836
11,9,5,3,2,2,18,18,1,0.8430931568145752,0.001699686050415039,0.0018355846405029297
12,9,5,4,2,2,26,46,512,0.8532493114471436,0.0017790794372558594,0.1567850112915039
12,9,5,3,2,2,27,54,512,0.9687931537628174,0.0017437934875488281,0.5113282203674316
13,9,5,4,2,2,51,135,19683,1.5413599014282227,0.0015709400177001953,8.833890438079834
13,9,5,3,2,2,54,162,19683,1.5871193408966064,0.0017428398132324219,58.38111996650696
14,9,5,4,2,2,17,15,1,0.8044981956481934,0.0015158653259277344,0.001039266586303711
14,9,5,3,2,2,18,18,1,0.8460366725921631,0.0016307830810546875,0.0018754005432128906
15,9,5,4,2,2,26,31,10,1.0315380096435547,0.0014331340789794922,0.007073402404785156
