i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,8,5,4,2,2,15,13,1,0.34519529342651367,0.0002353191375732422,0.00014281272888183594
1,8,5,3,2,2,16,16,1,0.4492931365966797,0.0004932880401611328,0.0003600120544433594
2,8,5,4,2,2,15,13,1,0.4565441608428955,0.00021123886108398438,0.00012922286987304688
2,8,5,3,2,2,16,16,1,0.5168650150299072,0.0003216266632080078,0.000263214111328125
3,8,5,4,2,2,23,40,256,0.5904541015625,0.0002608299255371094,0.008260011672973633
3,8,5,3,2,2,24,48,256,0.5929996967315674,0.00024819374084472656,0.020291566848754883
4,8,5,4,2,2,30,52,256,0.6507952213287354,0.00022268295288085938,0.007990598678588867
4,8,5,3,2,2,32,64,256,0.8573060035705566,0.0003216266632080078,0.03612256050109863
5,8,5,4,2,2,16,14,2,0.5131638050079346,0.0002181529998779297,0.00017499923706054688
5,8,5,3,2,2,16,16,1,0.5946643352508545,0.0002620220184326172,0.00020074844360351562
6,8,5,4,2,2,15,13,1,0.4739348888397217,0.0002410411834716797,0.00013208389282226562
6,8,5,3,2,2,16,16,1,0.48578858375549316,0.0003249645233154297,0.0003457069396972656
7,8,5,4,2,2,30,52,256,0.6430068016052246,0.0002307891845703125,0.008138179779052734
7,8,5,3,2,2,32,64,256,0.7154088020324707,0.00034880638122558594,0.038257598876953125
8,8,5,4,2,2,30,52,256,0.675255537033081,0.00022721290588378906,0.007981061935424805
8,8,5,3,2,2,32,64,256,0.8686223030090332,0.0003592967987060547,0.036376237869262695
9,8,5,4,2,2,15,6,0,0.508777379989624,0.0002911090850830078,8.559226989746094e-05
9,8,5,3,2,2,16,8,1,0.5394647121429443,0.0003254413604736328,0.00016117095947265625
10,8,5,4,2,2,15,12,0,0.6572580337524414,0.00023412704467773438,6.103515625e-05
10,8,5,3,2,2,16,16,1,0.7443687915802002,0.0002639293670654297,0.000202178955078125
11,8,5,4,2,2,29,75,2187,0.7062673568725586,0.0002238750457763672,0.05301523208618164
11,8,5,3,2,2,32,96,6561,0.7637434005737305,0.00035691261291503906,0.9862682819366455
12,8,5,4,2,2,23,20,2,0.5794804096221924,0.00022530555725097656,0.00021696090698242188
12,8,5,3,2,2,24,24,1,0.6998004913330078,0.00026726722717285156,0.0003216266632080078
13,8,5,4,2,2,15,13,1,0.5794289112091064,0.00029158592224121094,0.00017070770263671875
13,8,5,3,2,2,16,16,1,0.633458137512207,0.000324249267578125,0.0002663135528564453
14,8,5,4,2,2,15,13,1,0.5806796550750732,0.00026154518127441406,0.0001685619354248047
14,8,5,3,2,2,16,16,1,0.6290590763092041,0.0004227161407470703,0.0003094673156738281
15,8,5,4,2,2,30,52,256,0.8195250034332275,0.00023674964904785156,0.008338689804077148
15,8,5,3,2,2,32,64,256,0.8634452819824219,0.0003895759582519531,0.041136980056762695
16,8,5,4,2,2,15,13,1,0.6582450866699219,0.00021791458129882812,0.0001266002655029297
16,8,5,3,2,2,16,16,1,0.6262624263763428,0.00026226043701171875,0.0002002716064453125
17,8,5,4,2,2,15,13,1,0.5539252758026123,0.0003037452697753906,0.00017952919006347656
17,8,5,3,2,2,16,16,1,0.6180448532104492,0.00041604042053222656,0.0003266334533691406
18,8,5,4,2,2,15,13,1,0.7207674980163574,0.0002493858337402344,0.00015234947204589844
18,8,5,3,2,2,16,16,1,0.7854671478271484,0.00032448768615722656,0.00022220611572265625
19,8,5,4,2,2,17,15,3,0.6080837249755859,0.00022411346435546875,0.00021076202392578125
19,8,5,3,2,2,16,16,1,0.5053377151489258,0.0003428459167480469,0.00025153160095214844
20,8,5,4,2,2,15,13,1,0.44272685050964355,0.00021886825561523438,0.00013518333435058594
20,8,5,3,2,2,16,16,1,0.620927095413208,0.0003285408020019531,0.000255584716796875
21,8,5,4,2,2,30,78,4374,0.790785551071167,0.00030612945556640625,0.11402153968811035
21,8,5,3,2,2,32,96,6561,0.8362593650817871,0.0003418922424316406,0.8113667964935303
22,8,5,4,2,2,23,20,2,0.5216078758239746,0.00022840499877929688,0.00021529197692871094
22,8,5,3,2,2,24,24,1,0.619861364364624,0.0003323554992675781,0.0004200935363769531
23,8,5,4,2,2,15,13,1,0.571619987487793,0.0003094673156738281,0.0001735687255859375
23,8,5,3,2,2,16,16,1,0.6453981399536133,0.00031828880310058594,0.0002589225769042969
24,8,5,4,2,2,15,13,1,0.5832853317260742,0.0002620220184326172,0.00016188621520996094
24,8,5,3,2,2,16,16,1,0.6235158443450928,0.00033926963806152344,0.0002582073211669922
25,8,5,4,2,2,24,21,3,0.711561918258667,0.0003299713134765625,0.0004019737243652344
25,8,5,3,2,2,24,24,1,0.7503478527069092,0.0002655982971191406,0.0003376007080078125
26,8,5,4,2,2,15,13,1,0.5817582607269287,0.0003066062927246094,0.00017976760864257812
26,8,5,3,2,2,16,16,1,0.5545036792755127,0.00030350685119628906,0.00021314620971679688
27,8,5,4,2,2,15,13,1,0.42762303352355957,0.00022149085998535156,0.00012946128845214844
27,8,5,3,2,2,16,16,1,0.7675275802612305,0.0006220340728759766,0.0004737377166748047
28,8,5,4,2,2,15,13,1,0.5165557861328125,0.00023174285888671875,0.0001385211944580078
28,8,5,3,2,2,16,16,1,0.514655351638794,0.0003561973571777344,0.00029158592224121094
29,8,5,4,2,2,15,13,1,0.6348190307617188,0.00034165382385253906,0.00019598007202148438
29,8,5,3,2,2,16,16,1,0.710766077041626,0.0004024505615234375,0.00032329559326171875
30,8,5,4,2,2,15,13,1,0.604820728302002,0.0003523826599121094,0.00020837783813476562
30,8,5,3,2,2,16,16,1,0.6287615299224854,0.0003132820129394531,0.00024771690368652344
31,8,5,4,2,2,39,34,4,0.9273438453674316,0.0003566741943359375,0.0007622241973876953
31,8,5,3,2,2,40,40,1,0.9865262508392334,0.0003883838653564453,0.0010628700256347656
32,8,5,4,2,2,23,26,2,0.7206912040710449,0.0002624988555908203,0.00030803680419921875
32,8,5,3,2,2,24,32,1,0.740800142288208,0.0003032684326171875,0.0006685256958007812
33,8,5,4,2,2,15,13,1,0.5479526519775391,0.00038170814514160156,0.000217437744140625
33,8,5,3,2,2,16,16,1,0.5740163326263428,0.0003960132598876953,0.0003407001495361328
34,8,5,4,2,2,23,20,2,0.819472074508667,0.0002238750457763672,0.00021147727966308594
34,8,5,3,2,2,24,24,1,0.8864657878875732,0.0002930164337158203,0.0003960132598876953
35,8,5,4,2,2,30,57,2187,1.0281894207000732,0.0002856254577636719,0.046828269958496094
35,8,5,3,2,2,32,72,6561,1.0211715698242188,0.0003399848937988281,0.4174647331237793
36,8,5,4,2,2,23,40,256,0.6129941940307617,0.00028824806213378906,0.007415771484375
36,8,5,3,2,2,24,48,256,0.6686873435974121,0.00031828880310058594,0.021956920623779297
37,8,5,4,2,2,17,7,1,0.6035284996032715,0.0002803802490234375,0.00014400482177734375
37,8,5,3,2,2,16,8,1,0.6283767223358154,0.0003998279571533203,0.00019216537475585938
38,8,5,4,2,2,46,80,512,1.040602684020996,0.00030350685119628906,0.025148868560791016
38,8,5,3,2,2,48,96,256,1.0744023323059082,0.000316619873046875,0.08036231994628906
39,8,5,4,2,2,15,6,0,0.7707264423370361,0.0003020763397216797,8.20159912109375e-05
