i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,8,5,4,2,2,23,40,256,0.5246555805206299,0.00012254714965820312,0.004853963851928711
1,8,5,3,2,2,24,48,256,0.4778561592102051,0.000141143798828125,0.01573944091796875
2,8,5,4,2,2,15,13,1,0.24386167526245117,0.0002086162567138672,0.0001728534698486328
2,8,5,3,2,2,16,16,1,0.2335948944091797,0.00017404556274414062,0.0001785755157470703
3,8,5,4,2,2,15,13,1,0.22618556022644043,0.00011229515075683594,8.225440979003906e-05
3,8,5,3,2,2,16,16,1,0.23839926719665527,0.00014352798461914062,0.00014281272888183594
4,8,5,4,2,2,38,99,6561,0.34769630432128906,0.0001270771026611328,0.19112157821655273
4,8,5,3,2,2,40,120,6561,0.44956374168395996,0.00014925003051757812,0.8002333641052246
5,8,5,4,2,2,30,38,2,0.37180376052856445,0.00013065338134765625,0.00023412704467773438
5,8,5,3,2,2,32,48,1,0.45917606353759766,0.00018715858459472656,0.0017442703247070312
6,8,5,4,2,2,15,13,1,0.3519299030303955,0.0001614093780517578,0.00011491775512695312
6,8,5,3,2,2,16,16,1,0.2957494258880615,0.0001270771026611328,0.0001308917999267578
7,8,5,4,2,2,15,13,1,0.27609896659851074,0.0003104209899902344,0.00017499923706054688
7,8,5,3,2,2,16,16,1,0.276017427444458,0.0001316070556640625,0.0001304149627685547
8,8,5,4,2,2,15,13,1,0.28870224952697754,0.00011229515075683594,8.20159912109375e-05
8,8,5,3,2,2,16,16,1,0.3338034152984619,0.0001270771026611328,0.00012254714965820312
9,8,5,4,2,2,23,20,2,0.33328795433044434,0.00014734268188476562,0.000186920166015625
9,8,5,3,2,2,24,24,1,0.3772909641265869,0.00019121170043945312,0.00030231475830078125
10,8,5,4,2,2,30,52,256,0.3673219680786133,0.00016379356384277344,0.009063243865966797
10,8,5,3,2,2,32,64,256,0.373293399810791,0.00014853477478027344,0.027831554412841797
11,8,5,4,2,2,15,12,0,0.29306769371032715,0.00011873245239257812,4.0531158447265625e-05
11,8,5,3,2,2,16,16,1,0.2874326705932617,0.00012540817260742188,0.00012922286987304688
12,8,5,4,2,2,30,52,256,0.4188828468322754,0.00012874603271484375,0.0061910152435302734
12,8,5,3,2,2,32,64,256,0.4360015392303467,0.0001690387725830078,0.02680039405822754
