,i_sample,N_LOCAL_NETWORKS,N_VAR_NETWORK,V_TOPOLOGY,N_OUTPUT_VARIABLES,N_CLAUSES_FUNCTION,n_time_find_attractors,n_time_find_pairs,n_time_find_fields,n_local_attractors,n_pair_attractors,n_attractor_fields
0,1,3,5,4,2,2,0.07052493095397949,2.4318695068359375e-05,3.314018249511719e-05,9,10,6
1,2,3,5,4,2,2,0.05357670783996582,2.1219253540039062e-05,2.7179718017578125e-05,8,8,4
2,3,3,5,4,2,2,0.07077193260192871,2.765655517578125e-05,2.9802322387695312e-05,10,9,5
3,4,3,5,4,2,2,0.11726164817810059,2.86102294921875e-05,0.00010132789611816406,20,32,28
4,5,3,5,4,2,2,0.08521652221679688,2.5033950805664062e-05,0.0002396106719970703,18,42,33
5,6,3,5,4,2,2,0.09055304527282715,2.7179718017578125e-05,0.0001087188720703125,15,24,16
6,7,3,5,4,2,2,0.08524966239929199,2.3603439331054688e-05,0.0002465248107910156,17,36,40
7,8,3,5,4,2,2,0.06443977355957031,2.3365020751953125e-05,4.458427429199219e-05,11,13,9
8,9,3,5,4,2,2,0.06201171875,4.124641418457031e-05,5.745887756347656e-05,9,9,7
9,10,3,5,4,2,2,0.08126473426818848,2.47955322265625e-05,0.00010323524475097656,13,22,20
10,11,3,5,4,2,2,0.1619725227355957,2.86102294921875e-05,0.0005249977111816406,29,68,90
11,12,3,5,4,2,2,0.06264925003051758,2.5033950805664062e-05,2.956390380859375e-05,9,9,6
12,13,3,5,4,2,2,0.0781409740447998,2.6941299438476562e-05,9.322166442871094e-05,14,24,18
13,14,3,5,4,2,2,0.09096956253051758,4.00543212890625e-05,0.0001556873321533203,14,22,16
14,15,3,5,4,2,2,0.10167503356933594,2.9087066650390625e-05,0.0001010894775390625,16,20,19
15,16,3,5,4,2,2,0.08754682540893555,3.647804260253906e-05,0.00011181831359863281,12,18,12
16,17,3,5,4,2,2,0.06411862373352051,2.2411346435546875e-05,3.266334533691406e-05,10,10,6
17,18,3,5,4,2,2,0.09791922569274902,3.0994415283203125e-05,0.00020551681518554688,22,45,54
18,19,3,5,4,2,2,0.07272458076477051,2.3603439331054688e-05,2.86102294921875e-05,12,9,9
19,20,3,5,4,2,2,0.08013653755187988,2.2649765014648438e-05,0.00011086463928222656,17,24,28
20,21,3,5,4,2,2,0.08175373077392578,2.8848648071289062e-05,9.036064147949219e-05,15,25,20
21,22,3,5,4,2,2,0.08014893531799316,2.5272369384765625e-05,0.00011682510375976562,15,25,15
22,23,3,5,4,2,2,0.12044358253479004,3.075599670410156e-05,0.00021314620971679688,20,39,30
23,24,3,5,4,2,2,0.06653094291687012,2.3365020751953125e-05,4.9591064453125e-05,13,14,9
24,25,3,5,4,2,2,0.08075332641601562,2.5272369384765625e-05,0.00016355514526367188,17,32,22
25,26,3,5,4,2,2,0.06543111801147461,2.6702880859375e-05,4.100799560546875e-05,10,12,8
26,27,3,5,4,2,2,0.07792139053344727,2.47955322265625e-05,7.915496826171875e-05,14,20,15
27,28,3,5,4,2,2,0.0649404525756836,2.288818359375e-05,2.7418136596679688e-05,9,8,5
28,29,3,5,4,2,2,0.09013891220092773,3.2901763916015625e-05,9.632110595703125e-05,16,24,27
29,30,3,5,4,2,2,0.09279179573059082,2.4080276489257812e-05,0.00026106834411621094,18,32,40
30,31,3,5,4,2,2,0.06813526153564453,2.4557113647460938e-05,3.647804260253906e-05,11,11,9
31,32,3,5,4,2,2,0.11122965812683105,2.86102294921875e-05,0.00044918060302734375,23,56,42
32,33,3,5,4,2,2,0.10057473182678223,2.9087066650390625e-05,0.00019073486328125,19,32,30
