,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
0,1,3,5,4,2,2,5,3,1,0.0854644775390625,4.696846008300781e-05,3.504753112792969e-05
1,1,3,5,3,2,2,6,6,1,0.09476327896118164,5.4836273193359375e-05,4.935264587402344e-05
2,2,3,5,4,2,2,8,5,2,0.09830927848815918,7.534027099609375e-05,6.771087646484375e-05
3,2,3,5,3,2,2,9,9,1,0.11471033096313477,5.364418029785156e-05,6.198883056640625e-05
4,3,3,5,4,2,2,5,3,1,0.07980585098266602,4.673004150390625e-05,3.552436828613281e-05
5,3,3,5,3,2,2,6,6,1,0.0972599983215332,5.4836273193359375e-05,4.673004150390625e-05
6,4,3,5,4,2,2,5,3,1,0.08243155479431152,4.935264587402344e-05,3.6716461181640625e-05
7,4,3,5,3,2,2,6,6,1,0.10899591445922852,4.887580871582031e-05,4.315376281738281e-05
8,5,3,5,4,2,2,9,5,2,0.14194583892822266,5.91278076171875e-05,5.340576171875e-05
9,5,3,5,3,2,2,9,9,1,0.11512517929077148,4.982948303222656e-05,6.079673767089844e-05
10,1,4,5,4,2,2,7,5,1,0.09841132164001465,5.8650970458984375e-05,4.1961669921875e-05
11,1,4,5,3,2,2,8,8,1,0.1069340705871582,0.00011491775512695312,0.0001068115234375
12,2,4,5,4,2,2,14,20,16,0.16357636451721191,5.7220458984375e-05,0.00018286705017089844
13,2,4,5,3,2,2,16,32,16,0.17447304725646973,0.00010132789611816406,0.0011098384857177734
14,3,4,5,4,2,2,7,5,1,0.12314057350158691,5.745887756347656e-05,4.172325134277344e-05
15,3,4,5,3,2,2,8,8,1,0.14568471908569336,0.00010442733764648438,8.606910705566406e-05
16,4,4,5,4,2,2,17,36,54,0.18039655685424805,7.390975952148438e-05,0.0006499290466308594
17,4,4,5,3,2,2,20,60,81,0.20238113403320312,6.437301635742188e-05,0.0047092437744140625
18,5,4,5,4,2,2,10,14,8,0.13477659225463867,6.222724914550781e-05,0.00011157989501953125
19,5,4,5,3,2,2,12,24,16,0.15109515190124512,6.628036499023438e-05,0.0005040168762207031
20,1,5,5,4,2,2,9,7,1,0.15494275093078613,9.894371032714844e-05,6.651878356933594e-05
21,1,5,5,3,2,2,10,10,1,0.17763733863830566,7.224082946777344e-05,6.365776062011719e-05
