,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
0,1,3,5,4,2,2,10,12,8,0.056252479553222656,3.1948089599609375e-05,4.887580871582031e-05
1,1,3,5,3,2,2,12,24,8,0.07521176338195801,4.100799560546875e-05,0.00020933151245117188
2,2,3,5,4,2,2,5,3,1,0.041634559631347656,2.193450927734375e-05,1.52587890625e-05
3,2,3,5,3,2,2,6,6,1,0.06507658958435059,2.86102294921875e-05,2.6464462280273438e-05
4,3,3,5,4,2,2,10,12,8,0.06554555892944336,3.123283386230469e-05,5.555152893066406e-05
5,3,3,5,3,2,2,12,24,8,0.06704592704772949,2.7418136596679688e-05,0.00018167495727539062
6,4,3,5,4,2,2,8,5,2,0.0743403434753418,5.841255187988281e-05,4.8160552978515625e-05
7,4,3,5,3,2,2,9,9,1,0.08528470993041992,2.5510787963867188e-05,3.0994415283203125e-05
8,5,3,5,4,2,2,5,3,1,0.044352054595947266,2.4557113647460938e-05,1.6689300537109375e-05
9,5,3,5,3,2,2,6,6,1,0.05727553367614746,6.127357482910156e-05,3.1948089599609375e-05
10,6,3,5,4,2,2,10,12,8,0.0747222900390625,2.574920654296875e-05,4.673004150390625e-05
11,6,3,5,3,2,2,12,24,8,0.09038615226745605,2.6464462280273438e-05,0.0001933574676513672
12,7,3,5,4,2,2,9,6,3,0.07247257232666016,2.6464462280273438e-05,2.7179718017578125e-05
13,7,3,5,3,2,2,9,9,1,0.07726907730102539,5.054473876953125e-05,3.719329833984375e-05
14,8,3,5,4,2,2,8,5,2,0.04888319969177246,2.3126602172851562e-05,1.9550323486328125e-05
15,8,3,5,3,2,2,9,9,1,0.06764101982116699,3.147125244140625e-05,3.4809112548828125e-05
16,9,3,5,4,2,2,5,3,1,0.060515642166137695,2.5272369384765625e-05,1.7881393432617188e-05
17,9,3,5,3,2,2,6,6,1,0.05449938774108887,2.5987625122070312e-05,2.2649765014648438e-05
18,10,3,5,4,2,2,7,8,4,0.04781460762023926,3.933906555175781e-05,4.291534423828125e-05
19,10,3,5,3,2,2,9,18,8,0.05500221252441406,3.409385681152344e-05,0.00020503997802734375
20,11,3,5,4,2,2,8,10,8,0.05126619338989258,7.534027099609375e-05,0.0001251697540283203
21,11,3,5,3,2,2,9,18,8,0.05523538589477539,2.6702880859375e-05,0.00011444091796875
22,12,3,5,4,2,2,16,30,36,0.09302449226379395,3.552436828613281e-05,0.00020885467529296875
23,12,3,5,3,2,2,18,54,27,0.09944343566894531,2.956390380859375e-05,0.0010743141174316406
24,13,3,5,4,2,2,5,3,1,0.041411638259887695,2.7418136596679688e-05,1.621246337890625e-05
25,13,3,5,3,2,2,6,6,1,0.06283831596374512,2.9802322387695312e-05,2.5987625122070312e-05
26,14,3,5,4,2,2,10,12,8,0.062082767486572266,2.4557113647460938e-05,3.838539123535156e-05
27,14,3,5,3,2,2,12,24,8,0.06413960456848145,2.6941299438476562e-05,0.0001690387725830078
28,15,3,5,4,2,2,7,8,4,0.05771136283874512,3.2901763916015625e-05,3.075599670410156e-05
29,15,3,5,3,2,2,9,18,8,0.08281946182250977,5.0067901611328125e-05,0.00010561943054199219
30,16,3,5,4,2,2,12,16,16,0.054694175720214844,3.719329833984375e-05,6.222724914550781e-05
31,16,3,5,3,2,2,12,24,8,0.06047940254211426,3.075599670410156e-05,0.0003402233123779297
32,17,3,5,4,2,2,10,12,8,0.07924437522888184,2.8133392333984375e-05,3.933906555175781e-05
33,17,3,5,3,2,2,12,24,8,0.08623719215393066,2.86102294921875e-05,0.00017261505126953125
34,18,3,5,4,2,2,5,3,1,0.04790496826171875,2.5272369384765625e-05,2.1696090698242188e-05
35,18,3,5,3,2,2,6,6,1,0.05810427665710449,2.956390380859375e-05,2.574920654296875e-05
36,19,3,5,4,2,2,15,20,20,0.08492016792297363,2.4557113647460938e-05,8.58306884765625e-05
37,19,3,5,3,2,2,15,30,8,0.08555126190185547,3.361701965332031e-05,0.0002636909484863281
38,20,3,5,4,2,2,7,4,1,0.05406928062438965,2.384185791015625e-05,1.6927719116210938e-05
39,20,3,5,3,2,2,9,9,1,0.056973934173583984,4.076957702636719e-05,3.075599670410156e-05
40,21,3,5,4,2,2,5,3,1,0.045914411544799805,4.506111145019531e-05,3.170967102050781e-05
41,21,3,5,3,2,2,6,6,1,0.05252361297607422,3.0040740966796875e-05,2.5987625122070312e-05
42,22,3,5,4,2,2,8,5,2,0.05507183074951172,2.3365020751953125e-05,1.8835067749023438e-05
43,22,3,5,3,2,2,9,9,1,0.0595860481262207,2.6226043701171875e-05,3.1948089599609375e-05
44,23,3,5,4,2,2,5,3,1,0.0405881404876709,2.7179718017578125e-05,1.9073486328125e-05
45,23,3,5,3,2,2,6,6,1,0.0612637996673584,3.24249267578125e-05,2.6226043701171875e-05
46,24,3,5,4,2,2,5,3,1,0.053301334381103516,2.3365020751953125e-05,1.6450881958007812e-05
47,24,3,5,3,2,2,6,6,0,0.0514216423034668,2.574920654296875e-05,2.288818359375e-05
48,25,3,5,4,2,2,5,3,1,0.04720163345336914,2.6702880859375e-05,1.9550323486328125e-05
49,25,3,5,3,2,2,6,6,1,0.06737232208251953,4.744529724121094e-05,4.172325134277344e-05
50,26,3,5,4,2,2,8,4,1,0.042566537857055664,2.193450927734375e-05,1.6450881958007812e-05
51,26,3,5,3,2,2,9,9,1,0.043686866760253906,2.6941299438476562e-05,3.218650817871094e-05
52,27,3,5,4,2,2,7,8,4,0.056142330169677734,2.574920654296875e-05,2.6226043701171875e-05
53,27,3,5,3,2,2,9,18,8,0.061617374420166016,2.8848648071289062e-05,0.00010752677917480469
54,28,3,5,4,2,2,5,3,1,0.049927711486816406,2.4557113647460938e-05,1.71661376953125e-05
55,28,3,5,3,2,2,6,6,1,0.04767274856567383,3.9577484130859375e-05,3.814697265625e-05
