i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,10,5,4,2,2,19,17,1,0.3264651298522949,0.0001556873321533203,9.274482727050781e-05
1,10,5,3,2,2,20,20,1,0.38775086402893066,0.00016546249389648438,0.0001513957977294922
2,10,5,4,2,2,21,19,3,0.33033180236816406,0.00015306472778320312,0.00020837783813476562
2,10,5,3,2,2,20,20,1,0.3216266632080078,0.00016427040100097656,0.00015401840209960938
3,10,5,4,2,2,29,26,2,0.365192174911499,0.000148773193359375,0.0001666545867919922
3,10,5,3,2,2,30,30,1,0.3592948913574219,0.00017404556274414062,0.00026416778564453125
4,10,5,4,2,2,29,34,2,0.30986523628234863,0.0001506805419921875,0.00021076202392578125
4,10,5,3,2,2,30,40,1,0.34112095832824707,0.00019216537475585938,0.0005526542663574219
5,10,5,4,2,2,19,17,1,0.40317726135253906,0.0001552104949951172,9.417533874511719e-05
5,10,5,3,2,2,20,20,1,0.4552285671234131,0.0001697540283203125,0.00015664100646972656
6,10,5,4,2,2,29,26,2,0.3976414203643799,0.00015687942504882812,0.00020432472229003906
6,10,5,3,2,2,30,30,1,0.8552675247192383,0.00019931793212890625,0.0002694129943847656
7,10,5,4,2,2,19,17,1,0.2569124698638916,0.0001533031463623047,9.083747863769531e-05
7,10,5,3,2,2,20,20,1,0.3690047264099121,0.0001709461212158203,0.0001595020294189453
8,10,5,4,2,2,38,68,1024,0.37972116470336914,0.00015425682067871094,0.02479100227355957
8,10,5,3,2,2,40,80,1024,0.4089343547821045,0.0001761913299560547,0.10668611526489258
9,10,5,4,2,2,19,17,1,0.28572583198547363,0.00015401840209960938,8.940696716308594e-05
9,10,5,3,2,2,20,20,1,0.30184340476989746,0.00016760826110839844,0.000148773193359375
10,10,5,4,2,2,38,68,1024,0.4075899124145508,0.0001544952392578125,0.025755882263183594
10,10,5,3,2,2,40,80,1024,0.40693140029907227,0.0001850128173828125,0.10556411743164062
11,10,5,4,2,2,29,26,2,0.39429378509521484,0.00014925003051757812,0.00015616416931152344
11,10,5,3,2,2,30,30,1,0.3768188953399658,0.0001723766326904297,0.00024580955505371094
12,10,5,4,2,2,19,17,1,0.2809164524078369,0.00015163421630859375,8.749961853027344e-05
12,10,5,3,2,2,20,20,1,0.33779215812683105,0.000171661376953125,0.00013709068298339844
13,10,5,4,2,2,29,52,1024,0.3363029956817627,0.0002701282501220703,0.030731201171875
13,10,5,3,2,2,30,60,1024,0.3640587329864502,0.0002613067626953125,0.09285283088684082
14,10,5,4,2,2,19,17,1,0.32818055152893066,0.00018477439880371094,0.00010848045349121094
14,10,5,3,2,2,20,20,1,0.3418998718261719,0.00016021728515625,0.0001571178436279297
15,10,5,4,2,2,38,68,1024,0.3959345817565918,0.000152587890625,0.02503657341003418
15,10,5,3,2,2,40,80,1024,0.4149312973022461,0.0002684593200683594,0.11768198013305664
16,10,5,4,2,2,19,17,1,0.3032965660095215,0.00014829635620117188,8.845329284667969e-05
16,10,5,3,2,2,20,20,1,0.30480289459228516,0.00016498565673828125,0.000148773193359375
17,10,5,4,2,2,19,17,1,0.28712964057922363,0.00014281272888183594,8.463859558105469e-05
17,10,5,3,2,2,20,20,1,0.28954386711120605,0.0001819133758544922,0.0001461505889892578
18,10,5,4,2,2,19,16,0,0.286696195602417,0.00015044212341308594,3.886222839355469e-05
18,10,5,3,2,2,20,20,1,0.33177924156188965,0.0001633167266845703,0.00013899803161621094
19,10,5,4,2,2,28,50,512,0.3302314281463623,0.00015735626220703125,0.009793281555175781
19,10,5,3,2,2,30,60,1024,0.34412145614624023,0.0001633167266845703,0.05904388427734375
20,10,5,4,2,2,19,17,1,0.3495345115661621,0.00014138221740722656,8.392333984375e-05
20,10,5,3,2,2,20,20,1,0.3126981258392334,0.00016379356384277344,0.00014472007751464844
21,10,5,4,2,2,19,17,1,0.29361844062805176,0.00023794174194335938,0.000148773193359375
21,10,5,3,2,2,20,20,1,0.30863332748413086,0.00027823448181152344,0.00025582313537597656
22,10,5,4,2,2,50,135,98415,0.4809873104095459,0.00015473365783691406,2.181852102279663
22,10,5,3,2,2,50,150,59049,0.5216131210327148,0.0001780986785888672,7.049642562866211
23,10,5,4,2,2,19,17,1,0.4059016704559326,0.00013756752014160156,9.560585021972656e-05
23,10,5,3,2,2,20,20,1,0.4617297649383545,0.00016260147094726562,0.000141143798828125
24,10,5,4,2,2,19,17,1,0.3005225658416748,0.0001900196075439453,0.00011610984802246094
24,10,5,3,2,2,20,20,1,0.3069324493408203,0.00020885467529296875,0.0001964569091796875
25,10,5,4,2,2,19,17,1,0.3281261920928955,0.0001366138458251953,8.130073547363281e-05
25,10,5,3,2,2,20,20,1,0.3123159408569336,0.00016307830810546875,0.00014352798461914062
26,10,5,4,2,2,38,68,1024,0.3992898464202881,0.00015664100646972656,0.024327754974365234
26,10,5,3,2,2,40,80,1024,0.4388108253479004,0.0001614093780517578,0.09860944747924805
27,10,5,4,2,2,38,68,1024,0.39138150215148926,0.0001506805419921875,0.02346658706665039
27,10,5,3,2,2,40,80,1025,0.419309139251709,0.0001823902130126953,0.10828709602355957
28,10,5,4,2,2,19,17,1,0.44696760177612305,0.0001583099365234375,0.00010943412780761719
28,10,5,3,2,2,20,20,1,0.5144772529602051,0.0001404285430908203,0.00014090538024902344
29,10,5,4,2,2,28,50,512,0.33925342559814453,0.0001373291015625,0.009403705596923828
29,10,5,3,2,2,30,60,1024,0.3557453155517578,0.00014090538024902344,0.059851884841918945
30,10,5,4,2,2,29,26,2,0.3679049015045166,0.00013208389282226562,0.0001590251922607422
30,10,5,3,2,2,30,30,1,0.34558796882629395,0.00015163421630859375,0.00026416778564453125
