,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
0,1,10,5,4,2,2,29,18,2,0.3288154602050781,0.00013875961303710938,0.00012564659118652344
1,1,10,5,3,2,2,30,20,1,0.29962944984436035,0.00016450881958007812,0.00014972686767578125
2,2,10,5,4,2,2,19,16,0,0.21126389503479004,0.00031185150146484375,8.153915405273438e-05
3,2,10,5,3,2,2,20,20,1,0.20030975341796875,0.0001621246337890625,0.00015020370483398438
4,3,10,5,4,2,2,38,68,1024,0.32314562797546387,0.00015664100646972656,0.02327275276184082
5,3,10,5,3,2,2,40,80,1024,0.3472940921783447,0.00028896331787109375,0.15138554573059082
6,4,10,5,4,2,2,57,153,59049,0.38053393363952637,0.00019121170043945312,1.6751818656921387
7,4,10,5,3,2,2,60,180,59049,0.42973995208740234,0.0002856254577636719,11.67300534248352
8,5,10,5,4,2,2,19,17,1,0.2642982006072998,0.00021195411682128906,0.00012111663818359375
9,5,10,5,3,2,2,20,20,1,0.2654128074645996,0.00015997886657714844,0.0001373291015625
10,6,10,5,4,2,2,19,17,1,0.28537464141845703,0.0001468658447265625,8.7738037109375e-05
11,6,10,5,3,2,2,20,20,1,0.3196077346801758,0.00016021728515625,0.00013899803161621094
12,7,10,5,4,2,2,28,50,512,0.27735471725463867,0.00019550323486328125,0.009356260299682617
13,7,10,5,3,2,2,30,60,1024,0.2900655269622803,0.00018644332885742188,0.0613102912902832
14,8,10,5,4,2,2,38,68,1024,0.34348201751708984,0.0001513957977294922,0.023285388946533203
15,8,10,5,3,2,2,40,80,1024,0.3360726833343506,0.00017881393432617188,0.10475873947143555
16,9,10,5,4,2,2,29,26,2,0.3061103820800781,0.00020575523376464844,0.00020170211791992188
17,9,10,5,3,2,2,30,30,1,0.3011436462402344,0.0001621246337890625,0.000255584716796875
18,10,10,5,4,2,2,19,17,1,0.24190950393676758,0.00015425682067871094,8.487701416015625e-05
19,10,10,5,3,2,2,20,20,1,0.2272810935974121,0.00016355514526367188,0.00014257431030273438
20,11,10,5,4,2,2,19,17,1,0.30891942977905273,0.00019598007202148438,0.00011777877807617188
21,11,10,5,3,2,2,20,20,1,0.2902250289916992,0.00015783309936523438,0.00014328956604003906
22,12,10,5,4,2,2,20,18,2,0.24762535095214844,0.00021457672119140625,0.0001609325408935547
23,12,10,5,3,2,2,20,20,1,0.26360440254211426,0.00016260147094726562,0.0001423358917236328
