i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,10,5,4,2,2,20,18,2,0.7741842269897461,0.0004439353942871094,0.00032329559326171875
1,10,5,3,2,2,20,20,1,0.7992634773254395,0.0003228187561035156,0.0003192424774169922
2,10,5,4,2,2,28,50,512,0.9242537021636963,0.00037360191345214844,0.01771998405456543
2,10,5,3,2,2,30,60,1024,0.9406349658966064,0.0003228187561035156,0.0991814136505127
3,10,5,4,2,2,19,17,1,0.8304810523986816,0.00030159950256347656,0.00017118453979492188
3,10,5,3,2,2,20,20,1,0.8372597694396973,0.0003437995910644531,0.0002722740173339844
4,10,5,4,2,2,19,17,1,0.7680649757385254,0.0003809928894042969,0.00024628639221191406
4,10,5,3,2,2,20,20,1,0.8209712505340576,0.0005054473876953125,0.00038051605224609375
5,10,5,4,2,2,19,17,1,0.8009243011474609,0.0003879070281982422,0.00022292137145996094
5,10,5,3,2,2,20,20,1,0.8392455577850342,0.0003120899200439453,0.0002701282501220703
6,10,5,4,2,2,38,52,20,1.06825852394104,0.0003871917724609375,0.0025832653045654297
6,10,5,3,2,2,40,60,2,1.0473804473876953,0.00035858154296875,0.0039598941802978516
7,10,5,4,2,2,19,17,1,0.7770440578460693,0.00040984153747558594,0.00022149085998535156
7,10,5,3,2,2,20,20,1,0.7039229869842529,0.0003273487091064453,0.0002567768096923828
8,10,5,4,2,2,19,17,1,0.764650821685791,0.0003235340118408203,0.0002510547637939453
8,10,5,3,2,2,20,20,1,0.8085720539093018,0.0003857612609863281,0.0003063678741455078
9,10,5,4,2,2,29,35,11,0.9843480587005615,0.0002658367156982422,0.0010144710540771484
9,10,5,3,2,2,30,40,2,0.9305891990661621,0.0003612041473388672,0.0014293193817138672
10,10,5,4,2,2,28,50,512,0.9336507320404053,0.0004210472106933594,0.02022576332092285
10,10,5,3,2,2,30,60,1024,0.9577987194061279,0.00033402442932128906,0.09883570671081543
11,10,5,4,2,2,19,17,1,0.7648904323577881,0.00047898292541503906,0.00027632713317871094
11,10,5,3,2,2,20,20,1,0.8619339466094971,0.0004096031188964844,0.0003001689910888672
12,10,5,4,2,2,39,105,59049,1.0970311164855957,0.00030112266540527344,1.7794475555419922
12,10,5,3,2,2,40,120,59049,1.1591200828552246,0.00036644935607910156,7.989032745361328
13,10,5,4,2,2,19,8,0,0.9744925498962402,0.0003764629364013672,0.00010418891906738281
