i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,10,5,4,2,2,19,17,1,0.2877540588378906,0.0001423358917236328,9.274482727050781e-05
1,10,5,3,2,2,20,20,1,0.3116152286529541,0.00019502639770507812,0.00019121170043945312
2,10,5,4,2,2,19,17,1,0.269183874130249,0.00014519691467285156,9.250640869140625e-05
2,10,5,3,2,2,20,20,1,0.2529892921447754,0.0001609325408935547,0.00015044212341308594
3,10,5,4,2,2,19,17,1,0.27064967155456543,0.00014090538024902344,8.96453857421875e-05
3,10,5,3,2,2,20,20,1,0.27519750595092773,0.00015234947204589844,0.00014662742614746094
4,10,5,4,2,2,20,18,2,0.19917893409729004,0.0002560615539550781,0.00023674964904785156
4,10,5,3,2,2,20,20,1,0.22329926490783691,0.00016379356384277344,0.00015425682067871094
5,10,5,4,2,2,38,68,1024,0.4049978256225586,0.00014090538024902344,0.034502506256103516
5,10,5,3,2,2,40,80,1024,0.36767029762268066,0.0001614093780517578,0.10844206809997559
6,10,5,4,2,2,19,17,1,0.2663271427154541,0.00014853477478027344,8.845329284667969e-05
6,10,5,3,2,2,20,20,1,0.2912566661834717,0.00015735626220703125,0.00014209747314453125
7,10,5,4,2,2,30,53,1280,0.25853729248046875,0.00018739700317382812,0.024159669876098633
7,10,5,3,2,2,30,60,1024,0.25983548164367676,0.0001609325408935547,0.06305480003356934
8,10,5,4,2,2,38,68,1024,0.3781266212463379,0.0001437664031982422,0.024849653244018555
8,10,5,3,2,2,40,80,1024,0.38779234886169434,0.00016379356384277344,0.1168828010559082
9,10,5,4,2,2,19,17,1,0.2642941474914551,0.00014352798461914062,8.630752563476562e-05
9,10,5,3,2,2,20,20,1,0.24663257598876953,0.0001583099365234375,0.00015664100646972656
10,10,5,4,2,2,39,17,1,0.3930652141571045,0.00014925003051757812,8.654594421386719e-05
10,10,5,3,2,2,40,20,1,0.5054559707641602,0.00031447410583496094,0.0002739429473876953
11,10,5,4,2,2,30,54,1536,0.41327333450317383,0.00023865699768066406,0.04702019691467285
11,10,5,3,2,2,30,60,1024,0.30761146545410156,0.00016164779663085938,0.06385636329650879
12,10,5,4,2,2,29,18,2,0.34582066535949707,0.0001494884490966797,0.00012826919555664062
12,10,5,3,2,2,30,20,1,0.32068300247192383,0.00015544891357421875,0.00017023086547851562
13,10,5,4,2,2,39,105,59049,0.3359532356262207,0.00015020370483398438,1.1529343128204346
13,10,5,3,2,2,40,120,59049,0.39405226707458496,0.0001633167266845703,4.934351682662964
14,10,5,4,2,2,28,50,512,0.32976460456848145,0.00015878677368164062,0.010283470153808594
14,10,5,3,2,2,30,60,1024,0.35253095626831055,0.00016450881958007812,0.05995655059814453
15,10,5,4,2,2,19,17,1,0.3883664608001709,0.00017952919006347656,0.0001125335693359375
15,10,5,3,2,2,20,20,1,0.328641414642334,0.00015544891357421875,0.00014495849609375
16,10,5,4,2,2,29,52,1024,0.2932767868041992,0.00015044212341308594,0.025449752807617188
16,10,5,3,2,2,30,60,1024,0.3153402805328369,0.0001652240753173828,0.06541848182678223
17,10,5,4,2,2,29,52,1024,0.30879664421081543,0.00017142295837402344,0.02139425277709961
17,10,5,3,2,2,30,60,1024,0.31923770904541016,0.00016021728515625,0.0642402172088623
18,10,5,4,2,2,20,18,2,0.23317599296569824,0.0001475811004638672,0.000125885009765625
18,10,5,3,2,2,20,20,1,0.2558929920196533,0.0001633167266845703,0.000141143798828125
19,10,5,4,2,2,19,17,1,0.23892951011657715,0.00014448165893554688,8.487701416015625e-05
19,10,5,3,2,2,20,20,1,0.25299501419067383,0.0001533031463623047,0.000141143798828125
20,10,5,4,2,2,19,17,1,0.24387049674987793,0.00015091896057128906,8.821487426757812e-05
20,10,5,3,2,2,20,20,1,0.2457447052001953,0.0001595020294189453,0.00014352798461914062
21,10,5,4,2,2,19,8,0,0.26967358589172363,0.00017833709716796875,4.792213439941406e-05
21,10,5,3,2,2,20,10,0,0.26514482498168945,0.00018095970153808594,5.9604644775390625e-05
22,10,5,4,2,2,29,52,1024,0.383711576461792,0.0003039836883544922,0.02998828887939453
22,10,5,3,2,2,30,60,1024,0.39375829696655273,0.0001590251922607422,0.06144118309020996
23,10,5,4,2,2,29,26,2,0.307661771774292,0.00014019012451171875,0.0001614093780517578
23,10,5,3,2,2,30,30,1,0.3067965507507324,0.000164031982421875,0.00024890899658203125
24,10,5,4,2,2,19,17,1,0.28023743629455566,0.00014925003051757812,8.58306884765625e-05
24,10,5,3,2,2,20,20,1,0.2775428295135498,0.00016188621520996094,0.00014400482177734375
25,10,5,4,2,2,49,176,1048576,0.3443584442138672,0.0001590251922607422,21.66098690032959
25,10,5,3,2,2,50,200,1048576,0.4048187732696533,0.00017452239990234375,122.25132131576538
26,10,5,4,2,2,48,129,59049,0.4313173294067383,0.0001735687255859375,1.3341259956359863
26,10,5,3,2,2,50,150,59049,0.42676520347595215,0.0002117156982421875,7.4881017208099365
27,10,5,4,2,2,48,102,1536,0.3821728229522705,0.00015234947204589844,0.06455135345458984
27,10,5,3,2,2,50,120,1024,0.38306617736816406,0.00016832351684570312,0.237715482711792
28,10,5,4,2,2,38,68,1024,0.35861992835998535,0.0001323223114013672,0.02462911605834961
28,10,5,3,2,2,40,80,1024,0.3898427486419678,0.00016355514526367188,0.12052726745605469
29,10,5,4,2,2,29,52,1024,0.33377957344055176,0.00013303756713867188,0.018108606338500977
29,10,5,3,2,2,30,60,1024,0.31390953063964844,0.000247955322265625,0.06597733497619629
