,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields
0,1,3,5,3,2,2,17,45,16
1,2,3,5,3,2,2,14,29,10
2,3,3,5,3,2,2,10,15,3
3,4,3,5,3,2,2,20,51,15
4,5,3,5,3,2,2,13,26,8
5,6,3,5,3,2,2,17,46,28
6,7,3,5,3,2,2,18,52,24
7,8,3,5,3,2,2,18,51,23
8,9,3,5,3,2,2,20,56,24
9,10,3,5,3,2,2,30,88,36
10,11,3,5,3,2,2,9,12,2
11,12,3,5,3,2,2,12,22,6
12,13,3,5,3,2,2,27,106,60
13,14,3,5,3,2,2,16,40,16
14,15,3,5,3,2,2,12,23,6
15,16,3,5,3,2,2,15,34,12
16,17,3,5,3,2,2,7,8,2
17,18,3,5,3,2,2,10,16,3
18,19,3,5,3,2,2,9,13,3
19,20,3,5,3,2,2,26,108,80
20,21,3,5,3,2,2,20,69,37
21,22,3,5,3,2,2,16,44,23
22,23,3,5,3,2,2,31,102,40
23,24,3,5,3,2,2,22,74,36
24,25,3,5,3,2,2,14,24,6
25,26,3,5,3,2,2,16,27,5
26,27,3,5,3,2,2,16,30,7
27,28,3,5,3,2,2,34,130,52
28,29,3,5,3,2,2,16,38,15
29,30,3,5,3,2,2,13,21,3
30,31,3,5,3,2,2,12,24,9
31,32,3,5,3,2,2,11,16,2
32,33,3,5,3,2,2,15,29,5
33,34,3,5,3,2,2,17,41,13
34,35,3,5,3,2,2,14,26,4
35,36,3,5,3,2,2,15,33,9
36,37,3,5,3,2,2,14,23,3
37,38,3,5,3,2,2,13,21,5
38,39,3,5,3,2,2,14,29,7
39,40,3,5,3,2,2,19,47,15
40,41,3,5,3,2,2,9,12,2
41,42,3,5,3,2,2,12,20,5
42,43,3,5,3,2,2,13,25,7
43,44,3,5,3,2,2,17,29,3
44,45,3,5,3,2,2,10,17,5
45,46,3,5,3,2,2,14,32,12
46,47,3,5,3,2,2,11,19,5
47,48,3,5,3,2,2,13,25,7
48,49,3,5,3,2,2,22,61,27
49,50,3,5,3,2,2,17,26,4
50,51,3,5,3,2,2,17,44,18
51,52,3,5,3,2,2,12,18,3
52,53,3,5,3,2,2,14,25,6
53,54,3,5,3,2,2,16,37,12
54,55,3,5,3,2,2,18,39,9
55,56,3,5,3,2,2,13,27,9
56,57,3,5,3,2,2,23,86,52
57,58,3,5,3,2,2,15,31,9
58,59,3,5,3,2,2,16,35,11
59,60,3,5,3,2,2,13,25,5
60,61,3,5,3,2,2,26,100,60
61,62,3,5,3,2,2,18,46,14
62,63,3,5,3,2,2,9,13,4
63,64,3,5,3,2,2,14,23,5
64,65,3,5,3,2,2,19,50,20
65,66,3,5,3,2,2,15,36,14
66,67,3,5,3,2,2,14,28,7
67,68,3,5,3,2,2,17,43,15
68,69,3,5,3,2,2,16,38,8
69,70,3,5,3,2,2,14,28,7
70,71,3,5,3,2,2,23,83,25
71,72,3,5,3,2,2,21,54,14
72,73,3,5,3,2,2,29,78,28
73,74,3,5,3,2,2,12,18,3
74,75,3,5,3,2,2,16,38,12
75,76,3,5,3,2,2,20,37,6
76,77,3,5,3,2,2,22,64,16
77,78,3,5,3,2,2,10,13,2
78,79,3,5,3,2,2,10,14,2
79,80,3,5,3,2,2,19,50,19
80,81,3,5,3,2,2,22,75,44
81,82,3,5,3,2,2,14,26,6
82,83,3,5,3,2,2,19,34,3
83,84,3,5,3,2,2,22,76,40
84,85,3,5,3,2,2,11,20,6
85,86,3,5,3,2,2,26,113,75
86,87,3,5,3,2,2,10,18,9
87,88,3,5,3,2,2,17,43,17
88,89,3,5,3,2,2,12,24,8
89,90,3,5,3,2,2,15,36,14
90,91,3,5,3,2,2,15,34,12
91,92,3,5,3,2,2,15,34,12
92,93,3,5,3,2,2,27,107,69
93,94,3,5,3,2,2,19,45,15
94,95,3,5,3,2,2,16,33,6
95,96,3,5,3,2,2,21,69,33
96,97,3,5,3,2,2,15,32,6
97,98,3,5,3,2,2,24,73,23
98,99,3,5,3,2,2,21,70,31
99,100,3,5,3,2,2,28,128,96
100,1,4,5,3,2,2,27,81,48
101,2,4,5,3,2,2,27,76,61
102,3,4,5,3,2,2,18,36,10
103,4,4,5,3,2,2,28,85,37
104,5,4,5,3,2,2,19,35,5
105,6,4,5,3,2,2,20,55,38
106,7,4,5,3,2,2,19,40,19
107,8,4,5,3,2,2,31,101,99
108,9,4,5,3,2,2,22,57,25
109,10,4,5,3,2,2,33,122,144
110,11,4,5,3,2,2,21,51,30
111,12,4,5,3,2,2,21,45,18
112,13,4,5,3,2,2,19,32,3
113,14,4,5,3,2,2,21,47,20
