i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,10,5,4,2,2,19,17,1,2.1912834644317627,0.0016775131225585938,0.0010886192321777344
1,10,5,3,2,2,20,20,1,1.42635178565979,0.0021059513092041016,0.0021331310272216797
2,10,5,4,2,2,19,17,1,1.1773993968963623,0.0016541481018066406,0.0011029243469238281
2,10,5,3,2,2,20,20,1,1.2872498035430908,0.002933502197265625,0.002045869827270508
3,10,5,4,2,2,20,18,2,1.131502389907837,0.0018649101257324219,0.0020101070404052734
3,10,5,3,2,2,20,20,1,1.1481971740722656,0.004324674606323242,0.003908395767211914
4,10,5,4,2,2,29,18,2,1.8055613040924072,0.0016736984252929688,0.0020904541015625
4,10,5,3,2,2,30,20,1,1.9304754734039307,0.001970052719116211,0.0024073123931884766
5,10,5,4,2,2,19,17,1,1.0937414169311523,0.0017199516296386719,0.001110076904296875
5,10,5,3,2,2,20,20,1,1.1526529788970947,0.003383636474609375,0.003723621368408203
6,10,5,4,2,2,48,102,1536,1.7779884338378906,0.001979827880859375,0.9114782810211182
6,10,5,3,2,2,50,120,1024,1.8892087936401367,0.0020630359649658203,4.226426839828491
7,10,5,4,2,2,39,52,1024,1.8628458976745605,0.0017609596252441406,0.30351781845092773
7,10,5,3,2,2,40,60,1024,1.871690273284912,0.0018696784973144531,0.9682750701904297
8,10,5,4,2,2,19,17,1,1.1244165897369385,0.0017304420471191406,0.0011219978332519531
8,10,5,3,2,2,20,20,1,1.1509013175964355,0.002018451690673828,0.0020797252655029297
9,10,5,4,2,2,48,102,1536,1.515604019165039,0.0016713142395019531,0.8924763202667236
9,10,5,3,2,2,50,120,1024,1.6560513973236084,0.002260923385620117,3.876746416091919
10,10,5,4,2,2,29,52,1024,1.303584098815918,0.0022568702697753906,0.3053443431854248
10,10,5,3,2,2,30,60,1024,1.3865818977355957,0.0020046234130859375,0.9683961868286133
11,10,5,4,2,2,47,84,1024,1.647923469543457,0.002139568328857422,0.516310453414917
11,10,5,3,2,2,50,100,1024,1.7666468620300293,0.002186298370361328,2.6845686435699463
12,10,5,4,2,2,28,25,1,1.2672796249389648,0.0019123554229736328,0.0015397071838378906
