i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,8,5,4,2,2,15,13,1,0.44158387184143066,0.0007925033569335938,0.0005366802215576172
1,8,5,3,2,2,16,16,1,0.4758627414703369,0.0008983612060546875,0.0009558200836181641
2,8,5,4,2,2,23,40,256,0.5352869033813477,0.001413106918334961,0.05270552635192871
2,8,5,3,2,2,24,48,256,0.5657556056976318,0.0015408992767333984,0.15810751914978027
3,8,5,4,2,2,15,13,1,0.4812805652618408,0.0008563995361328125,0.0006258487701416016
3,8,5,3,2,2,16,16,1,0.4681692123413086,0.0009398460388183594,0.0010309219360351562
4,8,5,4,2,2,30,52,256,0.6743636131286621,0.0016372203826904297,0.06806659698486328
4,8,5,3,2,2,32,64,256,0.6902172565460205,0.0009620189666748047,0.28017663955688477
5,8,5,4,2,2,38,66,384,0.6354730129241943,0.0011146068572998047,0.13016557693481445
5,8,5,3,2,2,40,80,256,0.6320521831512451,0.0010390281677246094,0.4595627784729004
6,8,5,4,2,2,15,13,1,0.42276668548583984,0.0008745193481445312,0.0005800724029541016
6,8,5,3,2,2,16,16,1,0.4579768180847168,0.0008974075317382812,0.001039266586303711
7,8,5,4,2,2,15,13,1,0.7391359806060791,0.0008072853088378906,0.000537872314453125
7,8,5,3,2,2,16,16,1,0.7068371772766113,0.001138925552368164,0.0010333061218261719
8,8,5,4,2,2,15,13,1,0.4772348403930664,0.0015468597412109375,0.0009615421295166016
8,8,5,3,2,2,16,16,1,0.46913909912109375,0.0008945465087890625,0.0009551048278808594
9,8,5,4,2,2,23,40,256,0.440244197845459,0.0007870197296142578,0.04653525352478027
9,8,5,3,2,2,24,48,256,0.49024415016174316,0.0009629726409912109,0.1508958339691162
10,8,5,4,2,2,15,13,1,0.44517040252685547,0.0008494853973388672,0.0005137920379638672
10,8,5,3,2,2,16,16,1,0.4632248878479004,0.0010750293731689453,0.0010616779327392578
