i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,11,5,4,2,2,32,29,2,1.1471056938171387,0.00040984153747558594,0.0003604888916015625
1,11,5,3,2,2,33,33,1,1.2357103824615479,0.0006890296936035156,0.0008883476257324219
2,11,5,4,2,2,42,76,2048,1.141073226928711,0.0005123615264892578,0.08724212646484375
2,11,5,3,2,2,44,88,2048,1.1854937076568604,0.0005490779876708984,0.3947489261627197
3,11,5,4,2,2,32,58,2048,1.0211412906646729,0.0003647804260253906,0.06439542770385742
3,11,5,3,2,2,33,66,2048,1.2558915615081787,0.0006613731384277344,0.2256786823272705
4,11,5,4,2,2,22,20,2,0.9329845905303955,0.0005648136138916016,0.0004203319549560547
4,11,5,3,2,2,22,22,1,0.9735703468322754,0.0003762245178222656,0.0002892017364501953
5,11,5,4,2,2,21,19,1,0.9353694915771484,0.000583648681640625,0.0002963542938232422
5,11,5,3,2,2,22,22,1,0.9803037643432617,0.0004966259002685547,0.0003757476806640625
6,11,5,4,2,2,43,78,3072,1.3106837272644043,0.00047206878662109375,0.1321268081665039
6,11,5,3,2,2,44,88,2048,1.320098876953125,0.0004029273986816406,0.4939606189727783
7,11,5,4,2,2,32,58,2048,1.123629093170166,0.000652313232421875,0.07024788856506348
7,11,5,3,2,2,33,66,2048,1.1584913730621338,0.000499725341796875,0.2175309658050537
8,11,5,4,2,2,43,117,177147,1.3307716846466064,0.0004100799560546875,5.7883992195129395
8,11,5,3,2,2,44,132,177147,1.3500502109527588,0.0004203319549560547,23.03596043586731
9,11,5,4,2,2,32,29,2,1.0779955387115479,0.00042724609375,0.0004124641418457031
9,11,5,3,2,2,33,33,1,0.798213005065918,0.0004017353057861328,0.0004961490631103516
10,11,5,4,2,2,21,19,1,0.5420808792114258,0.0004398822784423828,0.00020360946655273438
10,11,5,3,2,2,22,22,1,0.9002318382263184,0.0003795623779296875,0.00030875205993652344
11,11,5,4,2,2,52,141,118098,1.4605331420898438,0.0007321834564208984,4.578026056289673
11,11,5,3,2,2,55,165,177147,1.508669137954712,0.0005831718444824219,33.482571601867676
12,11,5,4,2,2,21,19,1,0.7859163284301758,0.0005612373352050781,0.0002899169921875
12,11,5,3,2,2,22,22,1,0.809241533279419,0.0006496906280517578,0.00040078163146972656
13,11,5,4,2,2,53,144,177147,1.2937705516815186,0.0003921985626220703,6.73131799697876
13,11,5,3,2,2,55,165,177147,1.5812904834747314,0.00042438507080078125,34.95353627204895
14,11,5,4,2,2,31,38,2,0.8910567760467529,0.00034689903259277344,0.000396728515625
14,11,5,3,2,2,33,44,1,1.00681734085083,0.0005164146423339844,0.0010159015655517578
15,11,5,4,2,2,21,19,1,0.9367611408233643,0.0005130767822265625,0.0002636909484863281
15,11,5,3,2,2,22,22,1,1.038231611251831,0.0005087852478027344,0.0003848075866699219
16,11,5,4,2,2,21,19,1,1.0092391967773438,0.00042438507080078125,0.00022459030151367188
16,11,5,3,2,2,22,22,1,1.0735535621643066,0.0004279613494873047,0.0003056526184082031
17,11,5,4,2,2,32,48,233,1.1046500205993652,0.0004265308380126953,0.013025999069213867
17,11,5,3,2,2,33,55,199,1.128727674484253,0.00043964385986328125,0.03160285949707031
18,11,5,4,2,2,21,19,1,0.9577558040618896,0.0004057884216308594,0.00021600723266601562
18,11,5,3,2,2,22,22,1,0.9628748893737793,0.00045371055603027344,0.00034165382385253906
19,11,5,4,2,2,21,19,1,0.7997024059295654,0.0004696846008300781,0.00026488304138183594
19,11,5,3,2,2,22,22,1,0.8432192802429199,0.00072479248046875,0.0004971027374267578
20,11,5,4,2,2,21,19,1,0.8356397151947021,0.0003657341003417969,0.00018715858459472656
20,11,5,3,2,2,22,22,1,0.8718416690826416,0.0006780624389648438,0.0005011558532714844
21,11,5,4,2,2,42,76,2048,1.292431116104126,0.0004954338073730469,0.09188294410705566
21,11,5,3,2,2,44,88,2048,1.0803496837615967,0.00047135353088378906,0.37937140464782715
22,11,5,4,2,2,21,19,1,0.9019153118133545,0.0005273818969726562,0.00030231475830078125
22,11,5,3,2,2,22,22,1,0.9654510021209717,0.000576019287109375,0.00040221214294433594
23,11,5,4,2,2,21,19,1,1.006906509399414,0.0004582405090332031,0.00023102760314941406
23,11,5,3,2,2,22,22,1,0.9476609230041504,0.00046133995056152344,0.00034356117248535156
24,11,5,4,2,2,32,58,2048,1.1434307098388672,0.00039505958557128906,0.06724309921264648
24,11,5,3,2,2,33,66,2048,1.1895108222961426,0.00040984153747558594,0.3051896095275879
25,11,5,4,2,2,21,19,1,0.9712166786193848,0.00037360191345214844,0.0002276897430419922
25,11,5,3,2,2,22,22,1,1.0046284198760986,0.0004069805145263672,0.0002961158752441406
26,11,5,4,2,2,21,19,1,0.9307436943054199,0.00048089027404785156,0.00020122528076171875
26,11,5,3,2,2,22,22,1,0.9490303993225098,0.0006525516510009766,0.0005013942718505859
27,11,5,4,2,2,21,19,1,0.9076216220855713,0.0004544258117675781,0.00023984909057617188
27,11,5,3,2,2,22,22,1,0.9921016693115234,0.0006279945373535156,0.00046062469482421875
28,11,5,4,2,2,21,19,1,0.9888560771942139,0.00063323974609375,0.00032067298889160156
28,11,5,3,2,2,22,22,1,0.8500244617462158,0.00045871734619140625,0.0003037452697753906
29,11,5,4,2,2,21,19,1,0.7254424095153809,0.0003681182861328125,0.00018668174743652344
29,11,5,3,2,2,22,22,1,0.97749924659729,0.00041413307189941406,0.00029349327087402344
30,11,5,4,2,2,21,19,1,0.8727710247039795,0.0003705024719238281,0.00019240379333496094
30,11,5,3,2,2,22,22,1,0.9408977031707764,0.0006153583526611328,0.0003674030303955078
31,11,5,4,2,2,21,19,1,1.0407662391662598,0.00046372413635253906,0.0002455711364746094
31,11,5,3,2,2,22,22,1,0.9683828353881836,0.0006215572357177734,0.0004601478576660156
32,11,5,4,2,2,31,28,1,1.0917997360229492,0.0004820823669433594,0.0002930164337158203
32,11,5,3,2,2,33,33,1,1.171480655670166,0.0003802776336669922,0.0004901885986328125
33,11,5,4,2,2,43,39,3,1.2382709980010986,0.0005247592926025391,0.0008645057678222656
33,11,5,3,2,2,44,44,1,1.3401546478271484,0.000682830810546875,0.0013692378997802734
34,11,5,4,2,2,21,19,1,1.0991132259368896,0.0004639625549316406,0.0002391338348388672
34,11,5,3,2,2,22,22,1,1.1157777309417725,0.0005593299865722656,0.0004165172576904297
35,11,5,4,2,2,52,141,118098,1.6407575607299805,0.0004048347473144531,4.5745062828063965
35,11,5,3,2,2,55,165,177147,1.8414092063903809,0.0004050731658935547,33.28585600852966
36,11,5,4,2,2,21,19,1,0.9398412704467773,0.0005843639373779297,0.0002970695495605469
36,11,5,3,2,2,22,22,1,1.0768449306488037,0.0003845691680908203,0.0002894401550292969
37,11,5,4,2,2,32,19,1,1.1356542110443115,0.00048804283142089844,0.0003261566162109375
37,11,5,3,2,2,33,22,1,1.1821174621582031,0.0003883838653564453,0.0002906322479248047
38,11,5,4,2,2,21,19,1,0.976740837097168,0.0003952980041503906,0.00020837783813476562
38,11,5,3,2,2,22,22,1,0.9905233383178711,0.0005171298980712891,0.0004019737243652344
39,11,5,4,2,2,21,19,1,0.9653100967407227,0.0004277229309082031,0.00022673606872558594
39,11,5,3,2,2,22,22,1,1.0011553764343262,0.0006244182586669922,0.0004711151123046875
40,11,5,4,2,2,21,19,1,1.161536693572998,0.00037789344787597656,0.00018835067749023438
40,11,5,3,2,2,22,22,1,1.2321832180023193,0.0005805492401123047,0.00040078163146972656
41,11,5,4,2,2,21,19,1,0.9518141746520996,0.0005452632904052734,0.0002803802490234375
41,11,5,3,2,2,22,22,1,0.9744281768798828,0.0004394054412841797,0.0003180503845214844
42,11,5,4,2,2,32,29,2,0.954345703125,0.0006158351898193359,0.0005164146423339844
42,11,5,3,2,2,33,33,1,0.9770903587341309,0.00039386749267578125,0.0004875659942626953
43,11,5,4,2,2,21,19,1,0.9633166790008545,0.0004050731658935547,0.000213623046875
43,11,5,3,2,2,22,22,1,1.010488510131836,0.0004980564117431641,0.0004398822784423828
44,11,5,4,2,2,42,76,2048,1.310460090637207,0.0005693435668945312,0.093231201171875
44,11,5,3,2,2,44,88,2048,1.3438971042633057,0.0005590915679931641,0.37323617935180664
45,11,5,4,2,2,21,19,1,0.9423935413360596,0.0005817413330078125,0.0002944469451904297
45,11,5,3,2,2,22,22,1,0.9886622428894043,0.0004127025604248047,0.0002875328063964844
46,11,5,4,2,2,21,19,1,0.9331715106964111,0.0005130767822265625,0.00026297569274902344
46,11,5,3,2,2,22,22,1,0.9831526279449463,0.0004534721374511719,0.00033354759216308594
47,11,5,4,2,2,21,19,1,0.9414370059967041,0.00046825408935546875,0.00023651123046875
47,11,5,3,2,2,22,22,1,1.0217654705047607,0.0005664825439453125,0.000408172607421875
48,11,5,4,2,2,32,29,2,1.1306273937225342,0.00036907196044921875,0.0003421306610107422
48,11,5,3,2,2,33,33,1,1.1760456562042236,0.0005092620849609375,0.0007750988006591797
49,11,5,4,2,2,31,18,0,1.1476223468780518,0.00041484832763671875,9.083747863769531e-05
49,11,5,3,2,2,33,22,0,1.2186827659606934,0.0005865097045898438,0.00015878677368164062
50,11,5,4,2,2,21,19,1,1.1290242671966553,0.00038743019104003906,0.00019812583923339844
50,11,5,3,2,2,22,22,1,1.1769752502441406,0.0005986690521240234,0.00043511390686035156
51,11,5,4,2,2,21,19,1,0.7768049240112305,0.0004832744598388672,0.0002422332763671875
51,11,5,3,2,2,22,22,1,0.8112969398498535,0.0004458427429199219,0.00029158592224121094
52,11,5,4,2,2,31,56,1024,1.138685941696167,0.0006213188171386719,0.03571057319641113
52,11,5,3,2,2,33,66,2048,1.1722638607025146,0.0005412101745605469,0.21135306358337402
53,11,5,4,2,2,32,58,2048,1.1165692806243896,0.0006396770477294922,0.06745171546936035
53,11,5,3,2,2,33,66,2048,1.1351003646850586,0.0005679130554199219,0.2141561508178711
54,11,5,4,2,2,31,56,1024,1.2015995979309082,0.00046896934509277344,0.0364530086517334
54,11,5,3,2,2,33,66,2048,1.2853825092315674,0.0005204677581787109,0.21748805046081543
55,11,5,4,2,2,22,20,2,0.875110387802124,0.0004763603210449219,0.000324249267578125
55,11,5,3,2,2,22,22,1,0.8852362632751465,0.0005803108215332031,0.0004291534423828125
56,11,5,4,2,2,31,28,1,1.166489601135254,0.0005223751068115234,0.0003180503845214844
56,11,5,3,2,2,33,33,1,1.2153522968292236,0.0006036758422851562,0.0007662773132324219
57,11,5,4,2,2,21,19,1,0.9595856666564941,0.0004200935363769531,0.0001964569091796875
57,11,5,3,2,2,22,22,1,0.9946889877319336,0.0006887912750244141,0.0005223751068115234
58,11,5,4,2,2,21,19,1,0.949744462966919,0.0003819465637207031,0.00017881393432617188
58,11,5,3,2,2,22,22,1,0.9966356754302979,0.0006635189056396484,0.0004601478576660156
59,11,5,4,2,2,21,19,1,0.9473536014556885,0.0004980564117431641,0.00024127960205078125
59,11,5,3,2,2,22,22,1,0.9815747737884521,0.0006892681121826172,0.0004985332489013672
60,11,5,4,2,2,43,39,3,1.3180737495422363,0.0004673004150390625,0.0006926059722900391
60,11,5,3,2,2,44,44,1,1.360198974609375,0.0004725456237792969,0.0009558200836181641
61,11,5,4,2,2,21,19,1,0.9461910724639893,0.0005147457122802734,0.00025391578674316406
61,11,5,3,2,2,22,22,1,1.0172052383422852,0.0004057884216308594,0.0002894401550292969
62,11,5,4,2,2,21,19,1,0.9734735488891602,0.0004551410675048828,0.00022912025451660156
62,11,5,3,2,2,22,22,1,1.0123603343963623,0.00040721893310546875,0.00029349327087402344
63,11,5,4,2,2,21,19,1,0.9442794322967529,0.00037980079650878906,0.00018787384033203125
63,11,5,3,2,2,22,22,1,0.993161678314209,0.0005884170532226562,0.0004398822784423828
64,11,5,4,2,2,42,76,2048,1.2962429523468018,0.0005621910095214844,0.08983349800109863
64,11,5,3,2,2,44,88,2048,1.325321912765503,0.0004284381866455078,0.37641310691833496
65,11,5,4,2,2,21,19,1,0.947894811630249,0.0004885196685791016,0.00023603439331054688
65,11,5,3,2,2,22,22,1,1.0166676044464111,0.0004131793975830078,0.0002970695495605469
66,11,5,4,2,2,21,19,1,0.9529647827148438,0.000370025634765625,0.00018262863159179688
66,11,5,3,2,2,22,22,1,1.0586581230163574,0.00043082237243652344,0.0003058910369873047
