i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,8,5,4,2,2,23,20,2,0.3095879554748535,0.00011205673217773438,0.000125885009765625
1,8,5,3,2,2,24,24,1,0.3181495666503906,0.00022459030151367188,0.0003616809844970703
2,8,5,4,2,2,15,13,1,0.233900785446167,0.00010776519775390625,6.914138793945312e-05
2,8,5,3,2,2,16,16,1,0.25324368476867676,0.0001227855682373047,0.00011658668518066406
3,8,5,4,2,2,15,13,1,0.19275259971618652,0.00010848045349121094,7.534027099609375e-05
3,8,5,3,2,2,16,16,1,0.20087480545043945,0.00012493133544921875,0.00011396408081054688
4,8,5,4,2,2,15,13,1,0.23035001754760742,0.00011491775512695312,7.271766662597656e-05
4,8,5,3,2,2,16,16,1,0.24931097030639648,0.00011181831359863281,0.00012063980102539062
5,8,5,4,2,2,23,40,256,0.265918493270874,0.00011181831359863281,0.0039708614349365234
5,8,5,3,2,2,24,48,256,0.2899587154388428,0.00012254714965820312,0.011867761611938477
6,8,5,4,2,2,23,20,2,0.260983943939209,0.00011372566223144531,0.00011992454528808594
6,8,5,3,2,2,24,24,1,0.2740437984466553,0.00012183189392089844,0.00019478797912597656
7,8,5,4,2,2,15,13,1,0.2348484992980957,0.00011396408081054688,6.842613220214844e-05
7,8,5,3,2,2,16,16,1,0.24576234817504883,0.00012826919555664062,0.00010919570922851562
8,8,5,4,2,2,38,99,6561,0.3804142475128174,0.00012421607971191406,0.12257599830627441
8,8,5,3,2,2,40,120,6561,0.37474536895751953,0.00019502639770507812,0.702233076095581
9,8,5,4,2,2,15,13,1,0.24085426330566406,0.000110626220703125,6.651878356933594e-05
9,8,5,3,2,2,16,16,1,0.2546122074127197,0.00012874603271484375,0.00015878677368164062
10,8,5,4,2,2,15,13,1,0.22572612762451172,0.00010704994201660156,6.651878356933594e-05
10,8,5,3,2,2,16,16,1,0.2376539707183838,0.0001239776611328125,0.00011014938354492188
