i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,5,5,4,2,2,10,8,3,0.15327024459838867,6.556510925292969e-05,7.677078247070312e-05
1,5,5,3,2,2,10,10,1,0.14810538291931152,8.082389831542969e-05,7.414817810058594e-05
2,5,5,4,2,2,9,7,1,0.13687705993652344,8.153915405273438e-05,5.8650970458984375e-05
2,5,5,3,2,2,10,10,1,0.14670300483703613,7.62939453125e-05,7.414817810058594e-05
3,5,5,4,2,2,14,22,48,0.1629331111907959,7.963180541992188e-05,0.0005753040313720703
3,5,5,3,2,2,15,30,32,0.18656373023986816,8.678436279296875e-05,0.001306772232055664
4,5,5,4,2,2,15,12,5,0.15999436378479004,7.891654968261719e-05,0.00012826919555664062
4,5,5,3,2,2,15,15,1,0.16282105445861816,9.202957153320312e-05,0.000125885009765625
5,5,5,4,2,2,9,7,1,0.1565995216369629,7.486343383789062e-05,5.269050598144531e-05
5,5,5,3,2,2,10,10,1,0.1386725902557373,7.915496826171875e-05,7.772445678710938e-05
6,5,5,4,2,2,9,7,1,0.14558792114257812,7.534027099609375e-05,5.364418029785156e-05
6,5,5,3,2,2,10,10,1,0.15976238250732422,8.749961853027344e-05,8.034706115722656e-05
7,5,5,4,2,2,14,16,8,0.1608586311340332,9.131431579589844e-05,0.00025963783264160156
7,5,5,3,2,2,15,20,1,0.1771552562713623,7.462501525878906e-05,0.00016355514526367188
8,5,5,4,2,2,9,7,1,0.1550121307373047,7.724761962890625e-05,5.650520324707031e-05
8,5,5,3,2,2,10,10,1,0.15394139289855957,8.726119995117188e-05,8.153915405273438e-05
9,5,5,4,2,2,9,7,1,0.15601015090942383,8.296966552734375e-05,5.984306335449219e-05
9,5,5,3,2,2,10,10,1,0.17296338081359863,0.00010967254638671875,9.441375732421875e-05
10,5,5,4,2,2,13,10,1,0.15601444244384766,9.5367431640625e-05,8.106231689453125e-05
10,5,5,3,2,2,15,15,1,0.19247937202453613,0.00010013580322265625,0.00014352798461914062
11,5,5,4,2,2,9,7,1,0.16527342796325684,8.225440979003906e-05,5.626678466796875e-05
11,5,5,3,2,2,10,10,1,0.14779400825500488,9.226799011230469e-05,7.939338684082031e-05
12,5,5,4,2,2,9,7,1,0.13562297821044922,0.00015735626220703125,0.0001220703125
12,5,5,3,2,2,10,10,1,0.17170047760009766,8.368492126464844e-05,7.677078247070312e-05
13,5,5,4,2,2,23,54,405,0.19575738906860352,8.177757263183594e-05,0.006174325942993164
13,5,5,3,2,2,25,75,243,0.2188100814819336,0.00010967254638671875,0.038153886795043945
14,5,5,4,2,2,18,28,48,0.16666722297668457,8.463859558105469e-05,0.0007238388061523438
14,5,5,3,2,2,20,40,32,0.15859746932983398,9.036064147949219e-05,0.0021800994873046875
15,5,5,4,2,2,14,11,3,0.1511220932006836,7.128715515136719e-05,8.726119995117188e-05
15,5,5,3,2,2,15,15,1,0.17200040817260742,0.00010991096496582031,0.00013303756713867188
16,5,5,4,2,2,9,7,1,0.10729646682739258,6.365776062011719e-05,4.887580871582031e-05
16,5,5,3,2,2,10,10,1,0.12537908554077148,8.273124694824219e-05,7.581710815429688e-05
17,5,5,4,2,2,27,63,405,0.23968863487243652,9.179115295410156e-05,0.006945371627807617
17,5,5,3,2,2,30,90,243,0.24035429954528809,9.846687316894531e-05,0.03058600425720215
18,5,5,4,2,2,18,28,48,0.18671941757202148,8.535385131835938e-05,0.0007920265197753906
18,5,5,3,2,2,20,40,32,0.20796632766723633,8.130073547363281e-05,0.0020911693572998047
19,5,5,4,2,2,9,7,1,0.13251757621765137,7.462501525878906e-05,5.340576171875e-05
19,5,5,3,2,2,10,10,1,0.12926220893859863,8.893013000488281e-05,8.0108642578125e-05
20,5,5,4,2,2,11,9,4,0.13633418083190918,7.343292236328125e-05,8.7738037109375e-05
20,5,5,3,2,2,10,10,1,0.13271021842956543,0.00010395050048828125,0.00013518333435058594
21,5,5,4,2,2,9,7,1,0.13927173614501953,7.653236389160156e-05,5.435943603515625e-05
21,5,5,3,2,2,10,10,1,0.1372852325439453,7.963180541992188e-05,7.486343383789062e-05
22,5,5,4,2,2,18,28,48,0.17511940002441406,0.00010156631469726562,0.0009524822235107422
22,5,5,3,2,2,20,40,32,0.2090301513671875,8.559226989746094e-05,0.002209186553955078
23,5,5,4,2,2,10,8,3,0.14124798774719238,7.581710815429688e-05,7.62939453125e-05
23,5,5,3,2,2,10,10,1,0.1434776782989502,7.987022399902344e-05,7.319450378417969e-05
24,5,5,4,2,2,9,7,1,0.1309812068939209,7.677078247070312e-05,5.412101745605469e-05
24,5,5,3,2,2,10,10,1,0.15164804458618164,8.249282836914062e-05,7.462501525878906e-05
25,5,5,4,2,2,9,7,1,0.1281421184539795,7.939338684082031e-05,5.626678466796875e-05
25,5,5,3,2,2,10,10,1,0.1635267734527588,8.416175842285156e-05,7.62939453125e-05
26,5,5,4,2,2,9,7,1,0.11369013786315918,7.677078247070312e-05,5.5789947509765625e-05
26,5,5,3,2,2,10,10,1,0.12459135055541992,8.368492126464844e-05,7.748603820800781e-05
27,5,5,4,2,2,9,7,1,0.17725610733032227,8.0108642578125e-05,5.602836608886719e-05
27,5,5,3,2,2,10,10,1,0.19489049911499023,8.273124694824219e-05,7.343292236328125e-05
28,5,5,4,2,2,9,7,1,0.14731264114379883,7.390975952148438e-05,5.245208740234375e-05
28,5,5,3,2,2,10,10,0,0.1968517303466797,8.916854858398438e-05,7.772445678710938e-05
29,5,5,4,2,2,9,3,0,0.20033669471740723,8.654594421386719e-05,3.5762786865234375e-05
29,5,5,3,2,2,10,5,0,0.18790125846862793,8.511543273925781e-05,3.743171691894531e-05
30,5,5,4,2,2,9,7,1,0.12808489799499512,7.462501525878906e-05,5.3882598876953125e-05
30,5,5,3,2,2,10,10,1,0.17003393173217773,9.179115295410156e-05,8.392333984375e-05
31,5,5,4,2,2,9,7,1,0.13017487525939941,0.00010633468627929688,7.271766662597656e-05
31,5,5,3,2,2,10,10,1,0.1731264591217041,8.845329284667969e-05,7.891654968261719e-05
32,5,5,4,2,2,14,11,3,0.16845226287841797,8.368492126464844e-05,9.799003601074219e-05
32,5,5,3,2,2,15,15,1,0.37556004524230957,0.00014352798461914062,0.00021409988403320312
33,5,5,4,2,2,9,7,1,0.4433915615081787,0.0001251697540283203,9.202957153320312e-05
33,5,5,3,2,2,10,10,1,0.21284222602844238,8.654594421386719e-05,7.987022399902344e-05
34,5,5,4,2,2,14,14,2,0.1623525619506836,8.392333984375e-05,9.417533874511719e-05
