i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,11,5,4,2,2,21,19,1,0.7161595821380615,0.0006871223449707031,0.0004227161407470703
1,11,5,3,2,2,22,22,1,0.8284485340118408,0.0005640983581542969,0.0004892349243164062
2,11,5,4,2,2,32,58,2048,1.0676231384277344,0.0004680156707763672,0.08635973930358887
2,11,5,3,2,2,33,66,2048,1.1147129535675049,0.0007808208465576172,0.26000547409057617
3,11,5,4,2,2,21,19,1,1.0002412796020508,0.0006198883056640625,0.000370025634765625
3,11,5,3,2,2,22,22,1,1.1670656204223633,0.0004668235778808594,0.00039649009704589844
4,11,5,4,2,2,32,58,2048,1.1271553039550781,0.00046181678771972656,0.08706188201904297
4,11,5,3,2,2,33,66,2048,1.193113088607788,0.0007607936859130859,0.25989437103271484
5,11,5,4,2,2,21,19,1,0.9652493000030518,0.0006871223449707031,0.0004017353057861328
5,11,5,3,2,2,22,22,1,0.9993865489959717,0.0007126331329345703,0.0006678104400634766
6,11,5,4,2,2,32,58,2048,0.9869956970214844,0.00043201446533203125,0.08455133438110352
6,11,5,3,2,2,33,66,2048,1.022794246673584,0.0004508495330810547,0.26390981674194336
7,11,5,4,2,2,64,116,4096,1.6751365661621094,0.0005626678466796875,0.38515138626098633
7,11,5,3,2,2,66,132,2048,1.7282428741455078,0.0004711151123046875,0.9824244976043701
8,11,5,4,2,2,43,117,177147,1.3651878833770752,0.0008327960968017578,8.198425769805908
8,11,5,3,2,2,44,132,177147,1.4289741516113281,0.00047135353088378906,28.808857440948486
9,11,5,4,2,2,42,76,2048,1.3195197582244873,0.0005183219909667969,0.11499905586242676
9,11,5,3,2,2,44,88,2047,1.3879687786102295,0.0005679130554199219,0.46355319023132324
10,11,5,4,2,2,32,58,2048,1.135667324066162,0.0006811618804931641,0.0857398509979248
10,11,5,3,2,2,33,66,2048,1.237790822982788,0.000476837158203125,0.25778937339782715
11,11,5,4,2,2,21,19,1,1.1083869934082031,0.0008077621459960938,0.00044345855712890625
11,11,5,3,2,2,22,22,1,1.0251109600067139,0.0004439353942871094,0.0003743171691894531
12,11,5,4,2,2,21,19,1,0.9469504356384277,0.0006940364837646484,0.0004203319549560547
12,11,5,3,2,2,22,22,1,1.0449011325836182,0.0004506111145019531,0.00040650367736816406
13,11,5,4,2,2,42,76,2048,1.2693674564361572,0.0004832744598388672,0.11084270477294922
13,11,5,3,2,2,44,88,2048,1.3564107418060303,0.0005953311920166016,0.4505629539489746
14,11,5,4,2,2,42,76,2048,1.3565242290496826,0.0005252361297607422,0.10795474052429199
14,11,5,3,2,2,44,88,2048,1.374138355255127,0.0005040168762207031,0.44828033447265625
15,11,5,4,2,2,42,76,2048,1.497352123260498,0.0005059242248535156,0.10607504844665527
15,11,5,3,2,2,44,88,2048,1.5826051235198975,0.0007686614990234375,0.45658326148986816
16,11,5,4,2,2,32,29,2,1.1328234672546387,0.00043892860412597656,0.00041747093200683594
16,11,5,3,2,2,33,33,1,1.3017032146453857,0.0004837512969970703,0.0006201267242431641
17,11,5,4,2,2,21,19,1,0.720923900604248,0.0004146099090576172,0.0002579689025878906
17,11,5,3,2,2,22,22,1,0.9474563598632812,0.00044274330139160156,0.0003616809844970703
18,11,5,4,2,2,63,171,177147,1.6385841369628906,0.0006115436553955078,9.243290662765503
18,11,5,3,2,2,66,198,177147,1.7920358180999756,0.0009665489196777344,56.90769648551941
19,11,5,4,2,2,32,58,2048,1.1591517925262451,0.0004191398620605469,0.08509111404418945
19,11,5,3,2,2,33,66,2048,1.2776825428009033,0.0008473396301269531,0.4469883441925049
20,11,5,4,2,2,21,19,1,0.7977583408355713,0.0004067420959472656,0.0002377033233642578
20,11,5,3,2,2,22,22,1,0.8395195007324219,0.0005407333374023438,0.0005083084106445312
21,11,5,4,2,2,43,117,177147,1.384268045425415,0.0006759166717529297,6.7671966552734375
21,11,5,3,2,2,44,132,177147,1.3873255252838135,0.0005555152893066406,26.061917781829834
22,11,5,4,2,2,21,19,1,0.9671990871429443,0.00060272216796875,0.0003695487976074219
22,11,5,3,2,2,22,22,1,1.0328798294067383,0.0007026195526123047,0.0006282329559326172
23,11,5,4,2,2,42,76,2048,1.417365312576294,0.0006721019744873047,0.10907506942749023
23,11,5,3,2,2,44,88,2048,1.5227439403533936,0.0004799365997314453,0.4609050750732422
24,11,5,4,2,2,32,58,2048,1.3748786449432373,0.00044536590576171875,0.12162446975708008
24,11,5,3,2,2,33,66,2048,1.3767237663269043,0.00043845176696777344,0.25439929962158203
25,11,5,4,2,2,32,38,2,1.0631823539733887,0.0007226467132568359,0.0008034706115722656
25,11,5,3,2,2,33,44,1,1.1726393699645996,0.0007617473602294922,0.0015633106231689453
26,11,5,4,2,2,21,19,1,0.9760098457336426,0.0005586147308349609,0.00031948089599609375
26,11,5,3,2,2,22,22,1,1.0206303596496582,0.0004334449768066406,0.00035572052001953125
27,11,5,4,2,2,32,29,2,1.0294649600982666,0.0007350444793701172,0.000736236572265625
27,11,5,3,2,2,33,33,1,1.094444990158081,0.0005528926849365234,0.0007507801055908203
28,11,5,4,2,2,21,19,1,0.9602804183959961,0.0005908012390136719,0.00034046173095703125
28,11,5,3,2,2,22,22,1,1.0242693424224854,0.0006754398345947266,0.0005762577056884766
29,11,5,4,2,2,21,19,1,0.9530277252197266,0.0004885196685791016,0.00029778480529785156
29,11,5,3,2,2,22,22,1,1.0273959636688232,0.0004973411560058594,0.0004222393035888672
30,11,5,4,2,2,21,19,1,1.0168375968933105,0.0004742145538330078,0.0002853870391845703
30,11,5,3,2,2,22,22,1,1.0125503540039062,0.0004885196685791016,0.0003814697265625
31,11,5,4,2,2,32,58,2048,1.4254348278045654,0.00046062469482421875,0.08225584030151367
31,11,5,3,2,2,33,66,2048,0.8952693939208984,0.00046324729919433594,0.2541184425354004
32,11,5,4,2,2,21,19,1,1.2322392463684082,0.00052642822265625,0.0002903938293457031
32,11,5,3,2,2,22,22,1,1.276336908340454,0.0005350112915039062,0.00044536590576171875
33,11,5,4,2,2,31,56,1024,1.1231310367584229,0.0006661415100097656,0.043825626373291016
33,11,5,3,2,2,33,66,2048,1.1792585849761963,0.00048732757568359375,0.26131200790405273
34,11,5,4,2,2,21,19,1,0.9786422252655029,0.00043511390686035156,0.00024366378784179688
34,11,5,3,2,2,22,22,1,1.0327236652374268,0.0004544258117675781,0.00037479400634765625
35,11,5,4,2,2,32,58,2048,1.155745029449463,0.0005469322204589844,0.08840823173522949
35,11,5,3,2,2,33,66,2048,1.2615549564361572,0.0006015300750732422,0.26166415214538574
36,11,5,4,2,2,21,19,1,1.1389861106872559,0.0007340908050537109,0.00038909912109375
36,11,5,3,2,2,22,22,1,1.118309736251831,0.0007417201995849609,0.0006120204925537109
37,11,5,4,2,2,32,58,2048,1.4485304355621338,0.0006361007690429688,0.08703160285949707
37,11,5,3,2,2,33,66,2048,1.0899217128753662,0.0005741119384765625,0.290360689163208
38,11,5,4,2,2,32,29,2,1.1836144924163818,0.0005102157592773438,0.00047469139099121094
38,11,5,3,2,2,33,33,1,1.2024192810058594,0.0005645751953125,0.0009481906890869141
39,11,5,4,2,2,32,29,2,1.1310384273529053,0.0007023811340332031,0.0005457401275634766
39,11,5,3,2,2,33,33,1,1.2458183765411377,0.0007166862487792969,0.0009474754333496094
40,11,5,4,2,2,21,19,1,0.8727946281433105,0.0005743503570556641,0.0003476142883300781
40,11,5,3,2,2,22,22,1,0.877143144607544,0.0005934238433837891,0.0004975795745849609
41,11,5,4,2,2,21,19,1,0.9786360263824463,0.0005488395690917969,0.0003802776336669922
41,11,5,3,2,2,22,22,1,1.0538406372070312,0.00046896934509277344,0.0003876686096191406
42,11,5,4,2,2,31,56,1024,1.119537353515625,0.000598907470703125,0.04587697982788086
42,11,5,3,2,2,33,66,2048,1.2284982204437256,0.0007240772247314453,0.26377034187316895
43,11,5,4,2,2,53,192,3145728,1.8045666217803955,0.0009326934814453125,126.25073790550232
43,11,5,3,2,2,55,220,4194304,2.1100826263427734,0.0006031990051269531,842.0772187709808
44,11,5,4,2,2,21,19,1,0.585411787033081,0.0003695487976074219,0.00020194053649902344
44,11,5,3,2,2,22,22,1,0.811927318572998,0.00042819976806640625,0.00035572052001953125
45,11,5,4,2,2,21,19,1,1.1965203285217285,0.0004181861877441406,0.00024366378784179688
