,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_time_find_attractors,n_time_find_pairs,n_time_find_fields,n_local_attractors,n_pair_attractors,n_attractor_fields
0,1,3,5,4,2,2,0.08638954162597656,2.384185791015625e-05,4.482269287109375e-05,17,16,13
1,2,3,5,4,2,2,0.09121537208557129,2.47955322265625e-05,0.0006420612335205078,22,60,72
2,3,3,5,4,2,2,0.06481456756591797,2.4557113647460938e-05,3.910064697265625e-05,11,12,9
3,4,3,5,4,2,2,0.10074973106384277,2.6464462280273438e-05,0.0001678466796875,22,42,36
4,5,3,5,4,2,2,0.06454610824584961,2.5987625122070312e-05,6.890296936035156e-05,14,18,16
5,6,3,5,4,2,2,0.08682727813720703,2.4080276489257812e-05,5.030632019042969e-05,16,16,16
6,7,3,5,4,2,2,0.09551644325256348,2.5987625122070312e-05,0.00029730796813964844,20,37,46
7,8,3,5,4,2,2,0.04971766471862793,2.574920654296875e-05,2.1219253540039062e-05,6,4,2
8,9,3,5,4,2,2,0.07348084449768066,2.5033950805664062e-05,7.271766662597656e-05,13,18,11
9,10,3,5,4,2,2,0.08677244186401367,2.4080276489257812e-05,0.0001327991485595703,17,26,21
10,11,3,5,4,2,2,0.05473804473876953,2.6226043701171875e-05,3.0040740966796875e-05,9,8,5
11,12,3,5,4,2,2,0.07772374153137207,2.4557113647460938e-05,8.416175842285156e-05,13,21,14
12,13,3,5,4,2,2,0.11027717590332031,2.7179718017578125e-05,0.00021767616271972656,17,32,27
13,14,3,5,4,2,2,0.09909248352050781,2.5510787963867188e-05,0.0002243518829345703,20,35,32
14,15,3,5,4,2,2,0.08615422248840332,2.5033950805664062e-05,0.00022673606872558594,18,36,32
15,16,3,5,4,2,2,0.08222794532775879,2.6226043701171875e-05,5.0067901611328125e-05,12,14,11
16,17,3,5,4,2,2,0.07738423347473145,2.4318695068359375e-05,9.226799011230469e-05,14,24,18
17,18,3,5,4,2,2,0.05637478828430176,2.3603439331054688e-05,2.6941299438476562e-05,10,8,5
18,19,3,5,4,2,2,0.11527276039123535,2.574920654296875e-05,0.0002067089080810547,22,34,48
19,20,3,5,4,2,2,0.05991983413696289,2.384185791015625e-05,4.5299530029296875e-05,13,17,14
20,21,3,5,4,2,2,0.07230710983276367,2.5987625122070312e-05,8.535385131835938e-05,13,22,16
21,22,3,5,4,2,2,0.1026620864868164,2.5272369384765625e-05,0.00041556358337402344,21,50,72
22,23,3,5,4,2,2,0.05998516082763672,2.3365020751953125e-05,3.743171691894531e-05,11,11,10
23,24,3,5,4,2,2,0.0895845890045166,3.62396240234375e-05,7.343292236328125e-05,12,14,15
24,25,3,5,4,2,2,0.06701874732971191,2.4080276489257812e-05,3.5762786865234375e-05,12,12,9
25,26,3,5,4,2,2,0.12182068824768066,3.0040740966796875e-05,0.0007607936859130859,24,64,60
26,27,3,5,4,2,2,0.06255555152893066,2.5033950805664062e-05,3.6716461181640625e-05,12,12,9
27,28,3,5,4,2,2,0.058112382888793945,3.409385681152344e-05,8.153915405273438e-05,11,14,12
28,29,3,5,4,2,2,0.07327127456665039,2.6464462280273438e-05,4.363059997558594e-05,12,12,11
29,30,3,5,4,2,2,0.06954383850097656,2.5272369384765625e-05,4.8160552978515625e-05,11,15,11
30,31,3,5,4,2,2,0.061708927154541016,2.3365020751953125e-05,3.7670135498046875e-05,10,11,6
31,32,3,5,4,2,2,0.0715322494506836,2.765655517578125e-05,0.00014352798461914062,13,18,12
32,33,3,5,4,2,2,0.09543204307556152,3.1948089599609375e-05,0.00012803077697753906,18,37,32
33,34,3,5,4,2,2,0.07421231269836426,3.1948089599609375e-05,0.0001163482666015625,15,26,18
34,35,3,5,4,2,2,0.0769052505493164,2.5033950805664062e-05,6.628036499023438e-05,13,17,14
35,36,3,5,4,2,2,0.07639145851135254,3.123283386230469e-05,5.6743621826171875e-05,14,18,14
36,37,3,5,4,2,2,0.08000612258911133,2.6702880859375e-05,0.0001308917999267578,17,26,40
37,38,3,5,4,2,2,0.0751194953918457,2.47955322265625e-05,9.441375732421875e-05,13,18,12
38,39,3,5,4,2,2,0.09291744232177734,2.86102294921875e-05,0.00037288665771484375,20,37,33
39,40,3,5,4,2,2,0.12005329132080078,2.4557113647460938e-05,8.058547973632812e-05,25,33,30
40,41,3,5,4,2,2,0.06756734848022461,2.384185791015625e-05,7.2479248046875e-05,13,18,20
41,42,3,5,4,2,2,0.06857562065124512,2.4080276489257812e-05,4.38690185546875e-05,11,14,10
42,43,3,5,4,2,2,0.07423925399780273,2.5033950805664062e-05,4.4345855712890625e-05,10,13,8
43,44,3,5,4,2,2,0.06770038604736328,2.3126602172851562e-05,9.036064147949219e-05,14,21,18
44,45,3,5,4,2,2,0.07002568244934082,2.6702880859375e-05,4.4345855712890625e-05,12,12,12
45,46,3,5,4,2,2,0.07773208618164062,2.3603439331054688e-05,7.414817810058594e-05,15,20,21
46,47,3,5,4,2,2,0.06645512580871582,2.3365020751953125e-05,8.344650268554688e-05,13,20,16
47,48,3,5,4,2,2,0.09796547889709473,2.8133392333984375e-05,0.00015616416931152344,17,30,27
48,49,3,5,4,2,2,0.06809568405151367,2.384185791015625e-05,5.0067901611328125e-05,11,15,10
49,50,3,5,4,2,2,0.12339043617248535,4.4345855712890625e-05,0.0014133453369140625,24,73,91
50,51,3,5,4,2,2,0.09315872192382812,2.6226043701171875e-05,0.00023984909057617188,18,37,33
51,52,3,5,4,2,2,0.06285524368286133,2.3603439331054688e-05,5.7697296142578125e-05,11,16,10
52,53,3,5,4,2,2,0.06360673904418945,2.6941299438476562e-05,3.2901763916015625e-05,9,10,7
53,54,3,5,4,2,2,0.0730898380279541,2.384185791015625e-05,7.486343383789062e-05,14,19,16
54,55,3,5,4,2,2,0.06785774230957031,2.2411346435546875e-05,6.175041198730469e-05,14,16,22
55,56,3,5,4,2,2,0.07111930847167969,2.5510787963867188e-05,9.036064147949219e-05,13,20,19
56,57,3,5,4,2,2,0.09735798835754395,2.6226043701171875e-05,9.894371032714844e-05,19,22,11
57,58,3,5,4,2,2,0.0807182788848877,3.147125244140625e-05,0.00010895729064941406,13,20,12
58,59,3,5,4,2,2,0.07223725318908691,3.147125244140625e-05,6.079673767089844e-05,13,15,9
59,60,3,5,4,2,2,0.08600068092346191,2.5987625122070312e-05,7.939338684082031e-05,14,19,11
60,61,3,5,4,2,2,0.0990288257598877,3.075599670410156e-05,0.0003986358642578125,21,46,53
61,62,3,5,4,2,2,0.07083964347839355,2.3365020751953125e-05,3.695487976074219e-05,13,13,10
62,63,3,5,4,2,2,0.0910646915435791,4.220008850097656e-05,0.000255584716796875,17,27,20
63,64,3,5,4,2,2,0.07634711265563965,2.4557113647460938e-05,5.435943603515625e-05,13,18,14
64,65,3,5,4,2,2,0.06465625762939453,2.3365020751953125e-05,5.626678466796875e-05,11,16,10
65,66,3,5,4,2,2,0.11334013938903809,2.9325485229492188e-05,0.000408172607421875,24,47,110
66,67,3,5,4,2,2,0.08049988746643066,2.5272369384765625e-05,8.487701416015625e-05,17,25,20
67,68,3,5,4,2,2,0.07548666000366211,2.4318695068359375e-05,8.535385131835938e-05,14,20,19
68,69,3,5,4,2,2,0.07344436645507812,2.384185791015625e-05,5.6743621826171875e-05,13,15,10
69,70,3,5,4,2,2,0.06516766548156738,2.4557113647460938e-05,3.62396240234375e-05,11,12,9
70,71,3,5,4,2,2,0.07740974426269531,2.6941299438476562e-05,0.00011706352233886719,17,27,28
71,72,3,5,4,2,2,0.07413768768310547,3.2901763916015625e-05,5.841255187988281e-05,15,18,19
72,73,3,5,4,2,2,0.09998393058776855,2.7179718017578125e-05,4.7206878662109375e-05,14,16,13
73,74,3,5,4,2,2,0.10297107696533203,2.6702880859375e-05,0.0003323554992675781,21,51,42
74,75,3,5,4,2,2,0.07356715202331543,2.5272369384765625e-05,4.2438507080078125e-05,13,15,12
75,76,3,5,4,2,2,0.06013178825378418,2.5987625122070312e-05,6.031990051269531e-05,11,16,14
76,77,3,5,4,2,2,0.0656592845916748,2.5987625122070312e-05,5.0067901611328125e-05,12,14,8
77,78,3,5,4,2,2,0.07081890106201172,2.47955322265625e-05,0.00010371208190917969,14,24,16
78,79,3,5,4,2,2,0.06662440299987793,2.765655517578125e-05,4.3392181396484375e-05,11,13,9
79,80,3,5,4,2,2,0.07811927795410156,2.2649765014648438e-05,3.0040740966796875e-05,10,9,6
80,81,3,5,4,2,2,0.06363368034362793,2.4318695068359375e-05,8.296966552734375e-05,14,20,14
81,82,3,5,4,2,2,0.08516836166381836,2.5987625122070312e-05,7.033348083496094e-05,16,18,16
82,83,3,5,4,2,2,0.06707096099853516,2.4080276489257812e-05,5.602836608886719e-05,13,18,14
83,84,3,5,4,2,2,0.0705721378326416,4.172325134277344e-05,0.00011014938354492188,14,26,19
84,85,3,5,4,2,2,0.0720822811126709,2.384185791015625e-05,3.790855407714844e-05,12,11,8
85,86,3,5,4,2,2,0.08228230476379395,2.5272369384765625e-05,9.059906005859375e-05,14,24,18
86,87,3,5,4,2,2,0.09584474563598633,2.8371810913085938e-05,0.0002989768981933594,19,45,36
87,88,3,5,4,2,2,0.0768287181854248,3.337860107421875e-05,5.793571472167969e-05,13,12,9
