,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields
0,1,3,5,3,2,2,13,27,9
1,2,3,5,3,2,2,16,40,14
2,3,3,5,3,2,2,13,30,10
3,1,4,5,3,2,2,25,78,58
4,2,4,5,3,2,2,27,89,87
5,3,4,5,3,2,2,19,42,14
6,1,5,5,3,2,2,22,46,40
7,2,5,5,3,2,2,22,48,20
8,3,5,5,3,2,2,29,67,58
9,1,6,5,3,2,2,26,60,50
10,2,6,5,3,2,2,26,53,44
11,3,6,5,3,2,2,48,155,180
12,1,7,5,3,2,2,36,75,184
13,2,7,5,3,2,2,39,103,1050
14,3,7,5,3,2,2,39,104,431
15,1,8,5,3,2,2,60,217,12444
16,2,8,5,3,2,2,46,91,94
17,3,8,5,3,2,2,42,100,504
18,1,9,5,3,2,2,44,104,726
19,2,9,5,3,2,2,48,101,420
20,3,9,5,3,2,2,44,102,979
