i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
1,3,5,2,2,2,3,1,1,0.31416768295457587,14.0,,
1,3,5,2,2,2,3,1,2,0.279581454989966,14.0,,
1,3,5,2,2,2,3,1,3,0.3165998330223374,14.0,,
1,3,5,2,2,2,3,2,1,0.00016674300422891974,,0.0,
1,3,5,2,2,2,3,2,2,0.09436772798653692,,0.0,
1,3,5,2,2,2,3,2,3,0.09002197399968281,,0.0,
1,3,5,2,2,2,3,3,1,8.371600415557623e-05,,,0.0
1,3,5,2,2,2,3,3,2,0.09078683902043849,,,0.0
1,3,5,2,2,2,3,3,3,0.00013089197454974055,,,0.0
1,4,5,2,2,2,4,1,1,0.36322959599783644,18.0,,
1,4,5,2,2,2,4,1,2,0.2785626180120744,18.0,,
1,4,5,2,2,2,4,1,3,0.30896419304190204,18.0,,
1,4,5,2,2,2,4,2,1,0.00012369698379188776,,0.0,
1,4,5,2,2,2,4,2,2,0.09898702101781964,,0.0,
1,4,5,2,2,2,4,2,3,0.09194552298868075,,0.0,
1,4,5,2,2,2,4,3,1,9.339099051430821e-05,,,0.0
1,4,5,2,2,2,4,3,2,0.09395666600903496,,,0.0
1,4,5,2,2,2,4,3,3,0.00017361098434776068,,,0.0
1,5,5,2,2,2,5,1,1,0.4402286690310575,22.0,,
1,5,5,2,2,2,5,1,2,0.27333105698926374,22.0,,
1,5,5,2,2,2,5,1,3,0.283568864047993,22.0,,
1,5,5,2,2,2,5,2,1,0.00011819199426099658,,0.0,
1,5,5,2,2,2,5,2,2,0.09588615800021216,,0.0,
1,5,5,2,2,2,5,2,3,0.09358095598872751,,0.0,
1,5,5,2,2,2,5,3,1,7.335096597671509e-05,,,0.0
1,5,5,2,2,2,5,3,2,0.08714919001795352,,,0.0
1,5,5,2,2,2,5,3,3,0.0001349259982816875,,,0.0
1,6,5,2,2,2,6,1,1,0.5322759420378134,26.0,,
1,6,5,2,2,2,6,1,2,0.2763637179741636,26.0,,
1,6,5,2,2,2,6,1,3,0.28418395400512964,26.0,,
1,6,5,2,2,2,6,2,1,0.00013047101674601436,,0.0,
1,6,5,2,2,2,6,2,2,0.10165645502274856,,0.0,
1,6,5,2,2,2,6,2,3,0.09320718899834901,,0.0,
1,6,5,2,2,2,6,3,1,8.265097858384252e-05,,,0.0
1,6,5,2,2,2,6,3,2,0.08720134396571666,,,0.0
1,6,5,2,2,2,6,3,3,0.0001323280157521367,,,0.0
1,7,5,2,2,2,7,1,1,0.5550994369550608,28.0,,
1,7,5,2,2,2,7,1,2,0.27202820702223107,28.0,,
1,7,5,2,2,2,7,1,3,0.20609639899339527,28.0,,
1,7,5,2,2,2,7,2,1,0.00014754297444596887,,0.0,
1,7,5,2,2,2,7,2,2,0.0975793189718388,,0.0,
1,7,5,2,2,2,7,2,3,0.11404539499199018,,0.0,
1,7,5,2,2,2,7,3,1,8.705898653715849e-05,,,0.0
1,7,5,2,2,2,7,3,2,0.0969629370374605,,,0.0
1,7,5,2,2,2,7,3,3,0.00013160204980522394,,,0.0
1,8,5,2,2,2,8,1,1,0.7051092010224238,36.0,,
1,8,5,2,2,2,8,1,2,0.28907080204226077,36.0,,
1,8,5,2,2,2,8,1,3,0.2970344159984961,36.0,,
1,8,5,2,2,2,8,2,1,0.00015363801503553987,,0.0,
1,8,5,2,2,2,8,2,2,0.0969045550446026,,0.0,
1,8,5,2,2,2,8,2,3,0.10871056100586429,,0.0,
1,8,5,2,2,2,8,3,1,8.297502063214779e-05,,,0.0
1,8,5,2,2,2,8,3,2,0.09154199197655544,,,0.0
1,8,5,2,2,2,8,3,3,0.00014082802226766944,,,0.0
1,9,5,2,2,2,9,1,1,0.9965359509806149,44.0,,
1,9,5,2,2,2,9,1,2,0.29672143899369985,44.0,,
1,9,5,2,2,2,9,1,3,0.28792932600481436,44.0,,
1,9,5,2,2,2,9,2,1,0.00032119202660396695,,0.0,
1,9,5,2,2,2,9,2,2,0.11286657297750935,,0.0,
1,9,5,2,2,2,9,2,3,0.112813524028752,,0.0,
1,9,5,2,2,2,9,3,1,8.970097405835986e-05,,,0.0
1,9,5,2,2,2,9,3,2,0.1036447299993597,,,0.0
1,9,5,2,2,2,9,3,3,0.00014653103426098824,,,0.0
1,10,5,2,2,2,10,1,1,1.2860218419809826,50.0,,
1,10,5,2,2,2,10,1,2,0.2929252780159004,50.0,,
1,10,5,2,2,2,10,1,3,0.30375849799020216,50.0,,
1,10,5,2,2,2,10,2,1,0.0001868229592218995,,0.0,
1,10,5,2,2,2,10,2,2,0.0967347880359739,,0.0,
1,10,5,2,2,2,10,2,3,0.10002401599194854,,0.0,
1,10,5,2,2,2,10,3,1,8.039199747145176e-05,,,0.0
1,10,5,2,2,2,10,3,2,0.0913199899950996,,,0.0
1,10,5,2,2,2,10,3,3,0.0001335010165348649,,,0.0
2,3,5,2,2,2,3,1,1,0.2813685780274682,7.0,,
2,3,5,2,2,2,3,1,2,0.2572674620314501,7.0,,
2,3,5,2,2,2,3,1,3,0.2733262670226395,7.0,,
2,3,5,2,2,2,3,2,1,0.00011848798021674156,,0.0,
2,3,5,2,2,2,3,2,2,0.095556502987165,,0.0,
2,3,5,2,2,2,3,2,3,0.08987533202162012,,0.0,
2,3,5,2,2,2,3,3,1,7.078598719090223e-05,,,0.0
2,3,5,2,2,2,3,3,2,0.087154372013174,,,0.0
