i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
1,7,5,2,2,2,7,1,1,0.46848112900011074,16.0,,
1,7,5,2,2,2,7,1,2,0.22793669500015312,16.0,,
1,7,5,2,2,2,7,1,3,0.22610437399998773,16.0,,
1,7,5,2,2,2,7,2,1,0.00034068600007231,,20.0,
1,7,5,2,2,2,7,2,2,0.10446862699996018,,20.0,
1,7,5,2,2,2,7,2,3,0.10667358599994259,,20.0,
1,7,5,2,2,2,7,3,1,0.00031508600000051956,,,2.0
1,7,5,2,2,2,7,3,2,0.55906264500004,,,2.0
1,7,5,2,2,2,7,3,3,0.5545159619998685,,,2.0
1,7,6,2,2,2,7,1,1,0.4419202030001088,24.0,,
1,7,6,2,2,2,7,1,2,0.22168998999995893,24.0,,
1,7,6,2,2,2,7,1,3,0.41321396600005755,24.0,,
1,7,6,2,2,2,7,2,1,0.0004801980001047923,,52.0,
1,7,6,2,2,2,7,2,2,0.11308441300002414,,52.0,
1,7,6,2,2,2,7,2,3,0.12490537999997287,,52.0,
1,7,6,2,2,2,7,3,1,0.012497279999934108,,,128.0
1,7,6,2,2,2,7,3,2,0.5985391490000893,,,128.0
1,7,6,2,2,2,7,3,3,0.6036342920001516,,,128.0
1,7,7,2,2,2,7,1,1,0.6367731119999007,24.0,,
1,7,7,2,2,2,7,1,2,0.3001478669998505,24.0,,
1,7,7,2,2,2,7,1,3,0.2937469109999711,24.0,,
1,7,7,2,2,2,7,2,1,0.0004110630000013771,,0.0,
1,7,7,2,2,2,7,2,2,0.11457658900008028,,0.0,
1,7,7,2,2,2,7,2,3,0.11837589400010984,,0.0,
1,7,7,2,2,2,7,3,1,8.71270001425728e-05,,,0.0
1,7,7,2,2,2,7,3,2,0.08937176900008126,,,0.0
1,7,7,2,2,2,7,3,3,0.000123145000088698,,,0.0
1,7,8,2,2,2,7,1,1,0.4879450349999388,15.0,,
1,7,8,2,2,2,7,1,2,0.3825475969999843,15.0,,
1,7,8,2,2,2,7,1,3,0.2494165119999252,15.0,,
1,7,8,2,2,2,7,2,1,0.00038817199992990936,,19.0,
1,7,8,2,2,2,7,2,2,0.12031585500017172,,19.0,
1,7,8,2,2,2,7,2,3,0.11697906500012323,,19.0,
1,7,8,2,2,2,7,3,1,0.0002970370001094125,,,1.0
1,7,8,2,2,2,7,3,2,0.6210814759999721,,,1.0
1,7,8,2,2,2,7,3,3,0.5780512710000494,,,1.0
1,7,9,2,2,2,7,1,1,0.8827398620001077,24.0,,
1,7,9,2,2,2,7,1,2,0.3595442580001418,24.0,,
1,7,9,2,2,2,7,1,3,0.3524689880000551,24.0,,
1,7,9,2,2,2,7,2,1,0.0006090289998610388,,74.0,
1,7,9,2,2,2,7,2,2,0.13487940599998183,,74.0,
1,7,9,2,2,2,7,2,3,0.11808968200011805,,74.0,
1,7,9,2,2,2,7,3,1,0.014190103999908388,,,128.0
1,7,9,2,2,2,7,3,2,0.6285433590001048,,,128.0
1,7,9,2,2,2,7,3,3,0.6266515160000381,,,128.0
1,7,10,2,2,2,7,1,1,2.18375530000003,111.0,,
