i_sample,n_cores,step,method,execution_time
1,2,1,1,0.489766167011112
1,2,1,2,0.31830291997175664
1,2,1,3,0.3126037160400301
1,2,2,1,0.0006312329787760973
1,2,2,2,0.041990269091911614
1,2,2,3,0.03793728293385357
1,2,3,1,0.00021737709175795317
1,2,3,2,0.146385358995758
1,2,3,3,0.1553903609747067
1,4,1,1,0.5223715909523889
1,4,1,2,0.24048466701060534
1,4,1,3,0.18203293392434716
1,4,2,1,0.0005432950565591455
1,4,2,2,0.04388619994278997
1,4,2,3,0.04564754501916468
1,4,3,1,0.004098245990462601
1,4,3,2,0.24296809104271233
1,4,3,3,0.2298211819725111
1,8,1,1,0.5351052850019187
1,8,1,2,0.3351014539366588
1,8,1,3,0.21892913605552167
1,8,2,1,0.000588538940064609
1,8,2,2,0.08175663696601987
1,8,2,3,0.0857467110035941
1,8,3,1,0.0003637330373749137
1,8,3,2,0.3585782600566745
1,8,3,3,0.324229026096873
1,12,1,1,0.4532469770638272
1,12,1,2,0.17125562904402614
1,12,1,3,0.17896646994631737
1,12,2,1,0.0006177839823067188
1,12,2,2,0.09327678405679762
1,12,2,3,0.1000694289105013
1,12,3,1,0.00015683495439589024
1,12,3,2,0.07274722494184971
1,12,3,3,9.930902160704136e-05
1,16,1,1,0.5900677490280941
1,16,1,2,0.23862216097768396
1,16,1,3,0.2499195709824562
1,16,2,1,0.0006322219269350171
1,16,2,2,0.12284054898191243
1,16,2,3,0.09963962202891707
1,16,3,1,1.021718497038819
1,16,3,2,1.350421524955891
1,16,3,3,1.3256106789922342
1,20,1,1,0.5519047860288993
1,20,1,2,0.24952634901273996
1,20,1,3,0.24886721197981387
1,20,2,1,0.0007274900563061237
1,20,2,2,0.13108637905679643
1,20,2,3,0.12511170899961144
1,20,3,1,0.0002677580341696739
1,20,3,2,0.6680260950233787
1,20,3,3,0.6595083069987595
1,24,1,1,0.5321716850157827
1,24,1,2,0.24228255404159427
1,24,1,3,0.23915310006123036
1,24,2,1,0.0005249170353636146
1,24,2,2,0.14299772796221077
1,24,2,3,0.13582689594477415
1,24,3,1,0.00010056397877633572
1,24,3,2,0.1086059189401567
1,24,3,3,8.08740733191371e-05
2,2,1,1,0.4987288289703429
2,2,1,2,0.29540651093702763
2,2,1,3,0.3050662559689954
2,2,2,1,0.0007554359035566449
2,2,2,2,0.042756292037665844
2,2,2,3,0.04275284300092608
2,2,3,1,0.01607035007327795
2,2,3,2,0.24749124294612557
2,2,3,3,0.2562284499872476
2,4,1,1,0.7022082180483267
2,4,1,2,0.2865775930695236
2,4,1,3,0.2406409909017384
2,4,2,1,0.0007405700162053108
2,4,2,2,0.0644662850536406
2,4,2,3,0.061942589934915304
2,4,3,1,0.002530363970436156
2,4,3,2,0.2944530399981886
2,4,3,3,0.25365168298594654
2,8,1,1,0.47881283797323704
2,8,1,2,0.14786684093996882
2,8,1,3,0.15803160099312663
2,8,2,1,0.0007299680728465319
2,8,2,2,0.07993377500679344
2,8,2,3,0.08683456294238567
2,8,3,1,0.0005334910238161683
2,8,3,2,0.3719982410548255
2,8,3,3,0.33071314997505397
2,12,1,1,0.5664032779168338
2,12,1,2,0.2093504030490294
2,12,1,3,0.2205773110035807
2,12,2,1,0.0007288589840754867
2,12,2,2,0.10465925396420062
2,12,2,3,0.10910460096783936
2,12,3,1,0.0004664809675887227
2,12,3,2,0.4640077840304002
2,12,3,3,0.4506392279872671
2,16,1,1,0.6679378530243412
2,16,1,2,0.2703130739973858
2,16,1,3,0.3001007590210065
2,16,2,1,0.0004889999981969595
2,16,2,2,0.10571684408932924
2,16,2,3,0.11539174092467874
2,16,3,1,0.01934182900004089
2,16,3,2,0.6086604399606586
2,16,3,3,0.5968237889464945
2,20,1,1,0.6343775730347261
2,20,1,2,0.284103327896446
2,20,1,3,0.37485242797993124
2,20,2,1,0.0005917669041082263
2,20,2,2,0.13709226704668254
2,20,2,3,0.1242725090123713
2,20,3,1,0.030232488992623985
2,20,3,2,0.8252107290318236
2,20,3,3,0.7203438929282129
2,24,1,1,0.5925764279672876
2,24,1,2,0.2772396639920771
2,24,1,3,0.2787238999735564
2,24,2,1,0.0005573600064963102
2,24,2,2,0.12770926393568516
2,24,2,3,0.12765970907639712
2,24,3,1,0.0901685020653531
2,24,3,2,0.8722755369963124
2,24,3,3,0.8634431899990886
3,2,1,1,0.6964348399778828
3,2,1,2,0.4299901870545
3,2,1,3,0.4133972879499197
3,2,2,1,0.0007077169138938189
3,2,2,2,0.04014435107819736
3,2,2,3,0.03993734798859805
3,2,3,1,0.10955016501247883
3,2,3,2,0.41737202391959727
3,2,3,3,0.43491315108258277
3,4,1,1,0.9293335699476302
3,4,1,2,0.2737524909898639
3,4,1,3,0.27319896197877824
3,4,2,1,0.0010610640747472644
3,4,2,2,0.05861792201176286
3,4,2,3,0.06579613592475653
3,4,3,1,0.06700680404901505
3,4,3,2,0.3651394110638648
3,4,3,3,0.38012794707901776
3,8,1,1,0.6129382780054584
3,8,1,2,0.19335598801262677
3,8,1,3,0.1875660050427541
3,8,2,1,0.0005501210689544678
3,8,2,2,0.0674215549370274
3,8,2,3,0.07812629500404
3,8,3,1,0.057351706898771226
3,8,3,2,0.4198561880039051
3,8,3,3,0.6016791741130874
3,12,1,1,0.5430197409586981
3,12,1,2,0.21685162500943989
3,12,1,3,0.22564421605784446
3,12,2,1,0.0007039100164547563
3,12,2,2,0.1108691020635888
3,12,2,3,0.11306886991951615
3,12,3,1,0.0006120239850133657
3,12,3,2,0.47809967305511236
3,12,3,3,0.44331494299694896
3,16,1,1,0.5744875059463084
3,16,1,2,0.23608496494125575
3,16,1,3,0.2694959189975634
3,16,2,1,0.0006565840449184179
3,16,2,2,0.10919942799955606
3,16,2,3,0.10637578903697431
3,16,3,1,1.2331608739914373
3,16,3,2,1.6211088050622493
3,16,3,3,1.4243900140281767
3,20,1,1,0.5532478980021551
3,20,1,2,0.2371912719681859
3,20,1,3,0.23936186800710857
3,20,2,1,0.0006896340055391192
3,20,2,2,0.11998701200354844
3,20,2,3,0.11620952107477933
3,20,3,1,0.006593357073143125
3,20,3,2,0.705205000936985
3,20,3,3,0.6877592590171844
3,24,1,1,0.5785917720058933
3,24,1,2,0.27194965502712876
3,24,1,3,0.3685623749624938
3,24,2,1,0.0005393379833549261
3,24,2,2,0.14508669101633132
3,24,2,3,0.13608388998545706
3,24,3,1,9.701296221464872e-05
3,24,3,2,0.10774327092804015
3,24,3,3,8.972198702394962e-05
4,2,1,1,0.764051528996788
4,2,1,2,0.40494821302127093
4,2,1,3,0.38830509304534644
4,2,2,1,0.0005277679301798344
4,2,2,2,0.040166329010389745
4,2,2,3,0.04504827596247196
4,2,3,1,0.0014601469738408923
4,2,3,2,0.1988372930791229
4,2,3,3,0.19645339797716588
4,4,1,1,0.7532597370445728
4,4,1,2,0.2341840969165787
4,4,1,3,0.22808429098222405
4,4,2,1,0.0005153819220140576
4,4,2,2,0.049281149986200035
4,4,2,3,0.05762010405305773
4,4,3,1,0.010009697987698019
4,4,3,2,0.2909540899563581
4,4,3,3,0.2730516819283366
4,8,1,1,0.4932524720206857
4,8,1,2,0.18871530098840594
4,8,1,3,0.19744017894845456
4,8,2,1,0.0005828039720654488
4,8,2,2,0.06877500703558326
4,8,2,3,0.07873155595734715
4,8,3,1,0.02499746799003333
4,8,3,2,0.37954743299633265
4,8,3,3,0.38427008397411555
4,12,1,1,0.49094100994989276
4,12,1,2,0.19163021596614271
4,12,1,3,0.21097133902367204
4,12,2,1,0.0007190239848569036
4,12,2,2,0.09715800289995968
4,12,2,3,0.09485488699283451
4,12,3,1,0.01660151593387127
4,12,3,2,0.48439787002280354
4,12,3,3,0.4819852289510891
4,16,1,1,0.5687709630001336
4,16,1,2,0.2404251400148496
4,16,1,3,0.25377069402020425
4,16,2,1,0.0007504679961130023
4,16,2,2,0.1182850650511682
4,16,2,3,0.10522596701048315
4,16,3,1,0.2402808639453724
4,16,3,2,0.7281169149791822
4,16,3,3,0.817846438032575
4,20,1,1,0.746234800084494
4,20,1,2,0.5022591829765588
4,20,1,3,0.3051600200124085
4,20,2,1,0.0007564038969576359
4,20,2,2,0.12508716899901628
4,20,2,3,0.12159276101738214
4,20,3,1,4.528097660979256
4,20,3,2,2.9996879879618064
4,20,3,3,2.994899836019613
4,24,1,1,0.4635235189925879
4,24,1,2,0.25135656306520104
4,24,1,3,0.2590312290703878
4,24,2,1,0.0005190139636397362
4,24,2,2,0.15181874099653214
4,24,2,3,0.1377725589554757
4,24,3,1,0.019250483019277453
4,24,3,2,0.9121914410497993
4,24,3,3,0.89466478000395
5,2,1,1,0.6558673459803686
5,2,1,2,0.35124234505929053
5,2,1,3,0.36375670204870403
5,2,2,1,0.0006578249158337712
5,2,2,2,0.03629201091825962
5,2,2,3,0.03988790791481733
5,2,3,1,0.008792134001851082
5,2,3,2,0.2369266339810565
5,2,3,3,0.23336520604789257
5,4,1,1,0.7591975959949195
5,4,1,2,0.2953424119623378
5,4,1,3,0.24235469091217965
5,4,2,1,0.0005929589970037341
5,4,2,2,0.050797059084288776
5,4,2,3,0.05661525402683765
5,4,3,1,0.027937571052461863
5,4,3,2,0.34260744601488113
5,4,3,3,0.35538490302860737
5,8,1,1,0.5958686980884522
5,8,1,2,0.21033467398956418
5,8,1,3,0.2171610629884526
5,8,2,1,0.0005545160965994
5,8,2,2,0.06700717995408922
5,8,2,3,0.07390751806087792
5,8,3,1,1.2557323899818584
5,8,3,2,1.4198879749746993
5,8,3,3,1.4121828189818189
5,12,1,1,0.7737797170411795
5,12,1,2,0.26802937407046556
5,12,1,3,0.27287767094094306
5,12,2,1,0.0008075319929048419
5,12,2,2,0.10915429599117488
5,12,2,3,0.1027203279081732
5,12,3,1,0.006231477949768305
5,12,3,2,0.5025457539595664
5,12,3,3,0.4889462840510532
5,16,1,1,0.9643085970310494
5,16,1,2,0.34868953900877386
5,16,1,3,0.33331260294653475
5,16,2,1,0.0010349760996177793
5,16,2,2,0.12413300003390759
5,16,2,3,0.11286370700690895
5,16,3,1,16.444681902066804
5,16,3,2,10.558478581951931
5,16,3,3,14.01169630791992
5,20,1,1,0.6231489420169964
5,20,1,2,0.3543132370105013
5,20,1,3,0.3496306960005313
5,20,2,1,0.0005834839539602399
5,20,2,2,0.19135167310014367
5,20,2,3,0.19344969396479428
5,20,3,1,0.014728915062732995
5,20,3,2,1.2246413960820064
5,20,3,3,1.180173433967866
5,24,1,1,0.5817209359956905
5,24,1,2,0.3336807390442118
5,24,1,3,0.33120502391830087
5,24,2,1,0.0005090879276394844
5,24,2,2,0.20380644500255585
5,24,2,3,0.2058652420528233
5,24,3,1,0.004824960022233427
5,24,3,2,1.365898096933961
5,24,3,3,1.358963331906125
6,2,1,1,0.6637075761100277
6,2,1,2,0.378500544000417
6,2,1,3,0.37389211589470506
6,2,2,1,0.0005270999390631914
6,2,2,2,0.049784820061177015
6,2,2,3,0.061191402026452124
6,2,3,1,0.00014370400458574295
6,2,3,2,0.04066966800019145
6,2,3,3,0.00013091391883790493
6,4,1,1,0.6646447980310768
6,4,1,2,0.27469831507187337
6,4,1,3,0.2270377289969474
6,4,2,1,0.0006676139310002327
6,4,2,2,0.08785521902609617
6,4,2,3,0.06788931507617235
6,4,3,1,0.00022674398496747017
6,4,3,2,0.43034234608057886
6,4,3,3,0.39063361298758537
6,8,1,1,0.6567266209749505
6,8,1,2,0.2674614320276305
6,8,1,3,0.26964598207268864
6,8,2,1,0.0005814110627397895
6,8,2,2,0.10199610108975321
6,8,2,3,0.10365773201920092
6,8,3,1,0.019701945944689214
6,8,3,2,0.6156611000187695
6,8,3,3,0.6303417439339682
6,12,1,1,0.6601555390516296
6,12,1,2,0.3138793850084767
6,12,1,3,0.30959686602000147
6,12,2,1,0.0008176339324563742
6,12,2,2,0.1504208369879052
6,12,2,3,0.13563090295065194
6,12,3,1,0.0027074309764429927
6,12,3,2,0.7711032850202173
6,12,3,3,0.7828850480727851
6,16,1,1,0.6515503510599956
6,16,1,2,0.3193109140265733
6,16,1,3,0.3197327970992774
6,16,2,1,0.0006795879453420639
6,16,2,2,0.17309110600035638
6,16,2,3,0.16604282392654568
6,16,3,1,0.006291555007919669
6,16,3,2,1.0104704269906506
6,16,3,3,0.9934895599726588
6,20,1,1,0.5156034330138937
6,20,1,2,0.2492420100606978
6,20,1,3,0.23717666103038937
6,20,2,1,0.0005734269507229328
6,20,2,2,0.18528132606297731
6,20,2,3,0.1823592969449237
6,20,3,1,0.0015563840279355645
6,20,3,2,1.171207383973524
6,20,3,3,1.1866155120078474
6,24,1,1,0.5066131220664829
6,24,1,2,0.3331465870141983
6,24,1,3,0.4383180249715224
6,24,2,1,0.0004090189468115568
6,24,2,2,0.22174273000564426
6,24,2,3,0.2177110209595412
6,24,3,1,0.00021415099035948515
6,24,3,2,1.317579455091618
6,24,3,3,1.3109864480793476
7,2,1,1,0.48431310593150556
7,2,1,2,0.3309266690630466
7,2,1,3,0.3423843380296603
7,2,2,1,0.0007613989291712642
7,2,2,2,0.05068113200832158
7,2,2,3,0.0476992130279541
7,2,3,1,0.049695999012328684
7,2,3,2,0.40191277698613703
7,2,3,3,0.46618604206014425
7,4,1,1,0.7424170629819855
7,4,1,2,0.2615573670482263
7,4,1,3,0.25803496898151934
7,4,2,1,0.0008887009462341666
7,4,2,2,0.07920233299955726
7,4,2,3,0.08836984599474818
7,4,3,1,0.2865601520752534
7,4,3,2,0.7970682919258252
7,4,3,3,0.8284895640099421
7,8,1,1,0.4035764830186963
7,8,1,2,0.18468328099697828
7,8,1,3,0.18192273599561304
7,8,2,1,0.0005106010939925909
7,8,2,2,0.10573185398243368
7,8,2,3,0.10294428397901356
7,8,3,1,0.000496368040330708
7,8,3,2,0.5707229770487174
7,8,3,3,0.5903532720403746
7,12,1,1,0.8827131279977039
7,12,1,2,0.33601919701322913
7,12,1,3,0.3368734510149807
7,12,2,1,0.0010479390621185303
7,12,2,2,0.13932428101543337
7,12,2,3,0.14135826204437762
7,12,3,1,50.212035540957004
7,12,3,2,21.4672549610259
7,12,3,3,21.38362131395843
7,16,1,1,0.4872141280211508
7,16,1,2,0.29901298496406525
7,16,1,3,0.2816795369144529
7,16,2,1,0.000654557952657342
7,16,2,2,0.1892932029440999
7,16,2,3,0.18317923799622804
7,16,3,1,0.03556958900298923
7,16,3,2,1.1745309890247881
7,16,3,3,1.182623045053333
7,20,1,1,0.6267978439573199
7,20,1,2,0.3639433899661526
7,20,1,3,0.36650416103657335
7,20,2,1,0.0004849010147154331
7,20,2,2,0.2231869320385158
7,20,2,3,0.21129990904591978
7,20,3,1,0.020075431908480823
7,20,3,2,1.4022645810618997
7,20,3,3,1.47783424903173
7,24,1,1,0.481192379957065
7,24,1,2,0.36569974292069674
7,24,1,3,0.3639424811117351
7,24,2,1,0.0005069290054962039
7,24,2,2,0.2629058549646288
7,24,2,3,0.24451016902457923
7,24,3,1,0.016026517958380282
7,24,3,2,1.6889236730057746
7,24,3,3,1.742096577072516
8,2,1,1,0.560290394932963
8,2,1,2,0.4002447020029649
8,2,1,3,0.35668179497588426
8,2,2,1,0.0006289660232141614
8,2,2,2,0.06801769998855889
8,2,2,3,0.08387785102240741
8,2,3,1,0.0001684699673205614
8,2,3,2,0.05605608399491757
8,2,3,3,0.000139000010676682
8,4,1,1,0.8368379269959405
8,4,1,2,0.290133073925972
8,4,1,3,0.2985915549797937
8,4,2,1,0.0010669499170035124
8,4,2,2,0.10366737504955381
8,4,2,3,0.10496720299124718
8,4,3,1,0.009741961024701595
8,4,3,2,0.5137139580911025
8,4,3,3,0.45546961505897343
8,8,1,1,0.7053174920147285
8,8,1,2,0.2564228550763801
8,8,1,3,0.24981711094733328
8,8,2,1,0.0008478029631078243
8,8,2,2,0.1354796929517761
8,8,2,3,0.13039835600648075
8,8,3,1,0.048119500977918506
8,8,3,2,0.7337180100148544
8,8,3,3,0.7506563920760527
8,12,1,1,0.4739952420350164
8,12,1,2,0.24670096102636307
8,12,1,3,0.24944300192873925
8,12,2,1,0.0006151169072836637
8,12,2,2,0.1481231580255553
8,12,2,3,0.14645863405894488
8,12,3,1,0.0004496229812502861
8,12,3,2,0.8996697090333328
8,12,3,3,0.8966115959919989
8,16,1,1,0.5780118829570711
8,16,1,2,0.2429007610771805
8,16,1,3,0.2541432089637965
8,16,2,1,0.0005397340282797813
8,16,2,2,0.17447842191904783
8,16,2,3,0.17641839000862092
8,16,3,1,0.048894782084971666
8,16,3,2,1.1947614090749994
8,16,3,3,1.1739083420252427
8,20,1,1,0.5472422880120575
8,20,1,2,0.41693007305730134
8,20,1,3,0.31831195298582315
8,20,2,1,0.0004272270016372204
8,20,2,2,0.20335491700097919
8,20,2,3,0.20291324995923787
8,20,3,1,0.00024889898486435413
8,20,3,2,1.2409607380395755
8,20,3,3,1.2493717690231279
8,24,1,1,0.45238095498643816
8,24,1,2,0.3143231680151075
8,24,1,3,0.3183733889600262
