i_sample,n_local_networks,n_global_edges,v_topology,n_output_variables,n_clauses_function,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
1,7,6,2,2,2,1,1,0.5053601440158673,15.0,,
1,7,6,2,2,2,1,2,0.19905631802976131,15.0,,
1,7,6,2,2,2,1,3,0.18526636599563062,15.0,,
1,7,6,2,2,2,2,1,0.0002723109791986644,,5.0,
1,7,6,2,2,2,2,2,0.0756909100455232,,5.0,
1,7,6,2,2,2,2,3,0.05484656902262941,,5.0,
1,7,6,2,2,2,3,1,5.894602509215474e-05,,,0.0
1,7,6,2,2,2,3,2,0.034099937009159476,,,0.0
1,7,6,2,2,2,3,3,8.758099284023046e-05,,,0.0
1,7,7,2,2,2,1,1,0.42191587400157005,45.0,,
1,7,7,2,2,2,1,2,0.1498149309772998,45.0,,
1,7,7,2,2,2,1,3,0.15779227198800072,45.0,,
1,7,7,2,2,2,2,1,0.00024137197760865092,,111.0,
1,7,7,2,2,2,2,2,0.0572410780005157,,111.0,
1,7,7,2,2,2,2,3,0.05226635298458859,,111.0,
1,7,7,2,2,2,3,1,0.28583348501706496,,,2187.0
1,7,7,2,2,2,3,2,0.7074472249951214,,,2187.0
1,7,7,2,2,2,3,3,0.5435182079672813,,,2187.0
1,7,8,2,2,2,1,1,0.47197803598828614,28.0,,
1,7,8,2,2,2,1,2,0.15688063396373764,28.0,,
1,7,8,2,2,2,1,3,0.1478066449635662,28.0,,
1,7,8,2,2,2,2,1,0.0005796130280941725,,40.0,
1,7,8,2,2,2,2,2,0.06771768996259198,,40.0,
1,7,8,2,2,2,2,3,0.07463470002403483,,40.0,
1,7,8,2,2,2,3,1,0.003378012974280864,,,8.0
1,7,8,2,2,2,3,2,0.29272828600369394,,,8.0
1,7,8,2,2,2,3,3,0.29087574599543586,,,8.0
1,7,9,2,2,2,1,1,0.519023125001695,61.0,,
1,7,9,2,2,2,1,2,0.15335350896930322,61.0,,
1,7,9,2,2,2,1,3,0.14359814900672063,61.0,,
1,7,9,2,2,2,2,1,0.0005580319557338953,,345.0,
1,7,9,2,2,2,2,2,0.07355327805271372,,345.0,
1,7,9,2,2,2,2,3,0.06054750399198383,,345.0,
1,7,9,2,2,2,3,1,4.53269832697697,,,3083.0
1,7,9,2,2,2,3,2,4.392787309014238,,,3083.0
1,7,9,2,2,2,3,3,4.209910492005292,,,3083.0
1,7,10,2,2,2,1,1,0.4634557930403389,33.0,,
1,7,10,2,2,2,1,2,0.15199348999885842,33.0,,
1,7,10,2,2,2,1,3,0.24746121698990464,33.0,,
1,7,10,2,2,2,2,1,0.0005236700526438653,,150.0,
1,7,10,2,2,2,2,2,0.06248140899697319,,150.0,
1,7,10,2,2,2,2,3,0.058186170004773885,,150.0,
1,7,10,2,2,2,3,1,0.0985276130377315,,,129.0
1,7,10,2,2,2,3,2,0.7931394070037641,,,129.0
1,7,10,2,2,2,3,3,0.8090464569977485,,,129.0
1,7,11,2,2,2,1,1,0.45859023003140464,22.0,,
1,7,11,2,2,2,1,2,0.13993609102908522,22.0,,
1,7,11,2,2,2,1,3,0.143116663035471,22.0,,
1,7,11,2,2,2,2,1,0.000296755984891206,,48.0,
1,7,11,2,2,2,2,2,0.06208799296291545,,48.0,
1,7,11,2,2,2,2,3,0.08453246700810269,,48.0,
1,7,11,2,2,2,3,1,0.001077161985449493,,,1.0
1,7,11,2,2,2,3,2,0.47680630296235904,,,1.0
1,7,11,2,2,2,3,3,0.4718620990170166,,,1.0
2,7,6,2,2,2,1,1,0.32306147302733734,30.0,,
2,7,6,2,2,2,1,2,0.12428570701740682,30.0,,
2,7,6,2,2,2,1,3,0.1225046839681454,30.0,,
2,7,6,2,2,2,2,1,0.00022048898972570896,,60.0,
2,7,6,2,2,2,2,2,0.0608158340328373,,60.0,
2,7,6,2,2,2,2,3,0.05670008796732873,,60.0,
2,7,6,2,2,2,3,1,0.010474167007487267,,,128.0
2,7,6,2,2,2,3,2,0.28385425300803035,,,128.0
2,7,6,2,2,2,3,3,0.2838838659808971,,,128.0
2,7,7,2,2,2,1,1,0.7293246580520645,39.0,,
2,7,7,2,2,2,1,2,0.2029289480415173,39.0,,
2,7,7,2,2,2,1,3,0.20170784299261868,39.0,,
2,7,7,2,2,2,2,1,0.0002545720199123025,,55.0,
2,7,7,2,2,2,2,2,0.05347600398818031,,55.0,
2,7,7,2,2,2,2,3,0.05961882398696616,,55.0,
2,7,7,2,2,2,3,1,0.006067111971788108,,,27.0
2,7,7,2,2,2,3,2,0.2846410149941221,,,27.0
2,7,7,2,2,2,3,3,0.2760219710180536,,,27.0
2,7,8,2,2,2,1,1,0.3329614050453529,28.0,,
2,7,8,2,2,2,1,2,0.1343733730027452,28.0,,
2,7,8,2,2,2,1,3,0.12176792899845168,28.0,,
2,7,8,2,2,2,2,1,0.0003151940181851387,,78.0,
2,7,8,2,2,2,2,2,0.051556136982981116,,78.0,
2,7,8,2,2,2,2,3,0.05967602401506156,,78.0,
2,7,8,2,2,2,3,1,0.03859673795523122,,,128.0
2,7,8,2,2,2,3,2,0.341209590958897,,,128.0
2,7,8,2,2,2,3,3,0.36139030003687367,,,128.0
2,7,9,2,2,2,1,1,0.6066596879973076,32.0,,
2,7,9,2,2,2,1,2,0.1622933330363594,32.0,,
2,7,9,2,2,2,1,3,0.17785439098952338,32.0,,
2,7,9,2,2,2,2,1,0.0003112130216322839,,16.0,
2,7,9,2,2,2,2,2,0.06669926398899406,,16.0,
2,7,9,2,2,2,2,3,0.07630851701833308,,16.0,
2,7,9,2,2,2,3,1,6.208900595083833e-05,,,0.0
2,7,9,2,2,2,3,2,0.04138920200057328,,,0.0
2,7,9,2,2,2,3,3,9.826704626902938e-05,,,0.0
2,7,10,2,2,2,1,1,0.6851163129904307,27.0,,
2,7,10,2,2,2,1,2,0.1704352909582667,27.0,,
2,7,10,2,2,2,1,3,0.17088227497879416,27.0,,
2,7,10,2,2,2,2,1,0.0003483679611235857,,52.0,
2,7,10,2,2,2,2,2,0.0637078220024705,,52.0,
2,7,10,2,2,2,2,3,0.056853807996958494,,52.0,
2,7,10,2,2,2,3,1,0.01588658703258261,,,128.0
2,7,10,2,2,2,3,2,0.4448659290210344,,,128.0
2,7,10,2,2,2,3,3,0.4259948840481229,,,128.0
2,7,11,2,2,2,1,1,0.6738372249528766,51.0,,
2,7,11,2,2,2,1,2,0.1732237740070559,51.0,,
2,7,11,2,2,2,1,3,0.15869734500302002,51.0,,
2,7,11,2,2,2,2,1,0.00039516203105449677,,247.0,
2,7,11,2,2,2,2,2,0.062242273008450866,,247.0,
2,7,11,2,2,2,2,3,0.07348259800346568,,247.0,
2,7,11,2,2,2,3,1,1.3786966900224797,,,310.0
2,7,11,2,2,2,3,2,1.5169512829743326,,,310.0
2,7,11,2,2,2,3,3,1.5221031949622557,,,310.0
3,7,6,2,2,2,1,1,0.4524810739676468,42.0,,
3,7,6,2,2,2,1,2,0.17629511404084042,42.0,,
3,7,6,2,2,2,1,3,0.15451657597441226,42.0,,
3,7,6,2,2,2,2,1,0.0002613459946587682,,112.0,
3,7,6,2,2,2,2,2,0.05531303898897022,,112.0,
3,7,6,2,2,2,2,3,0.0532733240397647,,112.0,
3,7,6,2,2,2,3,1,0.17780969198793173,,,2593.0
3,7,6,2,2,2,3,2,0.4313415829674341,,,2593.0
3,7,6,2,2,2,3,3,0.6419426659704186,,,2593.0
3,7,7,2,2,2,1,1,0.24589509604265913,15.0,,
3,7,7,2,2,2,1,2,0.11321726004825905,15.0,,
3,7,7,2,2,2,1,3,0.11133839096873999,15.0,,
3,7,7,2,2,2,2,1,0.00017132103675976396,,11.0,
3,7,7,2,2,2,2,2,0.05410010600462556,,11.0,
3,7,7,2,2,2,2,3,0.05382814403856173,,11.0,
3,7,7,2,2,2,3,1,0.00012089498341083527,,,1.0
3,7,7,2,2,2,3,2,0.25246129400329664,,,1.0
3,7,7,2,2,2,3,3,0.25094105902826414,,,1.0
3,7,8,2,2,2,1,1,0.5200300259748474,39.0,,
3,7,8,2,2,2,1,2,0.17215233895694837,39.0,,
3,7,8,2,2,2,1,3,0.1814876040443778,39.0,,
3,7,8,2,2,2,2,1,0.0002894920180551708,,105.0,
3,7,8,2,2,2,2,2,0.054199560021515936,,105.0,
3,7,8,2,2,2,2,3,0.059037744998931885,,105.0,
3,7,8,2,2,2,3,1,0.1151530520291999,,,432.0
3,7,8,2,2,2,3,2,0.4201903050416149,,,432.0
3,7,8,2,2,2,3,3,0.41924074303824455,,,432.0
