i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors
1,8,5,2,2,2,8,1,1,0.6032007750000048,32.0,
1,8,5,2,2,2,8,1,2,0.17223645999999349,32.0,
1,8,5,2,2,2,8,1,3,0.17040026300000477,32.0,
1,8,5,2,2,2,8,2,1,0.000447147000016912,,96.0
1,8,5,2,2,2,8,2,2,0.09916340399999513,,96.0
1,8,5,2,2,2,8,2,3,0.10995382999999492,,96.0
1,16,5,2,2,2,16,1,1,1.2919751499999848,85.0,
1,16,5,2,2,2,16,1,2,0.28184841699999197,85.0,
1,16,5,2,2,2,16,1,3,0.3177568410000049,85.0,
1,16,5,2,2,2,16,2,1,0.0009987950000152068,,372.0
1,16,5,2,2,2,16,2,2,0.13945823800000312,,372.0
1,16,5,2,2,2,16,2,3,0.14804964699999346,,372.0
1,32,5,2,2,2,32,1,1,3.2864736920000155,190.0,
1,32,5,2,2,2,32,1,2,0.35102174799999375,190.0,
1,32,5,2,2,2,32,1,3,0.33788366699999983,190.0,
1,32,5,2,2,2,32,2,1,0.002566865999995116,,849.0
1,32,5,2,2,2,32,2,2,0.2755578300000252,,849.0
1,32,5,2,2,2,32,2,3,0.2668540999999891,,849.0
1,64,5,2,2,2,64,1,1,6.513264856999996,349.0,
1,64,5,2,2,2,64,1,2,0.4959194789999515,349.0,
1,64,5,2,2,2,64,1,3,0.45431847999998354,349.0,
1,64,5,2,2,2,64,2,1,0.006183313999997608,,1608.0
1,64,5,2,2,2,64,2,2,0.6329312689999824,,1608.0
1,64,5,2,2,2,64,2,3,0.641296011999998,,1608.0
1,128,5,2,2,2,128,1,1,11.692210627999998,711.0,
1,128,5,2,2,2,128,1,2,0.8387608949999503,711.0,
1,128,5,2,2,2,128,1,3,0.9994119859999842,711.0,
1,128,5,2,2,2,128,2,1,0.022134014000016577,,3705.0
1,128,5,2,2,2,128,2,2,1.3173133280000116,,3705.0
1,128,5,2,2,2,128,2,3,1.531243633000031,,3705.0
2,8,5,2,2,2,8,1,1,0.6547651110000174,28.0,
2,8,5,2,2,2,8,1,2,0.26381497099998796,28.0,
2,8,5,2,2,2,8,1,3,0.26580998999997973,28.0,
2,8,5,2,2,2,8,2,1,0.00044543700005306164,,48.0
2,8,5,2,2,2,8,2,2,0.11751679999997577,,48.0
2,8,5,2,2,2,8,2,3,0.12905314099998577,,48.0
2,16,5,2,2,2,16,1,1,1.3191721819999884,60.0,
2,16,5,2,2,2,16,1,2,0.27874980200004984,60.0,
2,16,5,2,2,2,16,1,3,0.280436270999985,60.0,
2,16,5,2,2,2,16,2,1,0.0009299490000103106,,150.0
2,16,5,2,2,2,16,2,2,0.16880572000002303,,150.0
2,16,5,2,2,2,16,2,3,0.17490049399998497,,150.0
2,32,5,2,2,2,32,1,1,3.402338126000018,136.0,
2,32,5,2,2,2,32,1,2,0.3838622459999783,136.0,
2,32,5,2,2,2,32,1,3,0.32959303299998055,136.0,
2,32,5,2,2,2,32,2,1,0.0025147759999981645,,430.0
2,32,5,2,2,2,32,2,2,0.36473722499999894,,430.0
2,32,5,2,2,2,32,2,3,0.36564578399998027,,430.0
2,64,5,2,2,2,64,1,1,6.518551948999971,276.0,
2,64,5,2,2,2,64,1,2,0.5843379789999972,276.0,
2,64,5,2,2,2,64,1,3,0.5257380080000189,276.0,
2,64,5,2,2,2,64,2,1,0.0076829289999977846,,876.0
2,64,5,2,2,2,64,2,2,1.0000749150000274,,876.0
2,64,5,2,2,2,64,2,3,1.2210895569999707,,876.0
2,128,5,2,2,2,128,1,1,12.276012637999997,524.0,
2,128,5,2,2,2,128,1,2,0.9341557669999929,524.0,
2,128,5,2,2,2,128,1,3,1.0743722699999694,524.0,
2,128,5,2,2,2,128,2,1,0.02181172799998876,,1554.0
2,128,5,2,2,2,128,2,2,2.0157237170000144,,1554.0
2,128,5,2,2,2,128,2,3,2.1258730600000035,,1554.0
3,8,5,2,2,2,8,1,1,0.6505382510000004,24.0,
3,8,5,2,2,2,8,1,2,0.26348689399998193,24.0,
3,8,5,2,2,2,8,1,3,0.26775162000001274,24.0,
3,8,5,2,2,2,8,2,1,0.0007455740000068545,,18.0
3,8,5,2,2,2,8,2,2,0.13220930399995723,,18.0
3,8,5,2,2,2,8,2,3,0.12469064999999091,,18.0
3,16,5,2,2,2,16,1,1,1.3440684999999917,48.0,
