i_sample,n_cores,step,method,execution_time
1,2,1,1,63.46553029300003
1,2,1,2,30.84357318499997
1,2,1,3,32.28228351500002
1,2,2,1,1.0830824130000565
1,2,2,2,1.987876746999973
1,2,2,3,2.1108894320000218
1,4,1,1,90.05212669399998
1,4,1,2,22.428929638000227
1,4,1,3,22.733411846999843
1,4,2,1,1.175051123999765
1,4,2,2,5.34075342999995
1,4,2,3,4.779514684999867
1,8,1,1,61.52131552500032
1,8,1,2,10.010883439000281
1,8,1,3,9.501890923000246
1,8,2,1,1.1220883080000021
1,8,2,2,5.479443213000195
1,8,2,3,6.009644303999721
1,12,1,1,70.35881924000023
1,12,1,2,9.97252166599992
1,12,1,3,10.322783179999988
1,12,2,1,1.026645649999864
1,12,2,2,7.622853212999871
1,12,2,3,8.018734416999905
1,16,1,1,100.22705862600014
1,16,1,2,10.535064568000053
1,16,1,3,11.583715966
1,16,2,1,1.291923413999939
1,16,2,2,11.199438650000047
1,16,2,3,12.96653355699982
1,20,1,1,98.38420592200009
1,20,1,2,8.226635158000136
1,20,1,3,7.774003204999644
1,20,2,1,1.0017741319998095
1,20,2,2,22.016922756999975
1,20,2,3,22.284253653999713
1,24,1,1,73.85538561800013
1,24,1,2,6.482466082999963
1,24,1,3,8.694421643000169
1,24,2,1,0.949153763999675
1,24,2,2,14.37745958000005
1,24,2,3,16.52109310500009
2,2,1,1,75.14397962600015
2,2,1,2,40.30131491700013
2,2,1,3,39.449015686000166
2,2,2,1,1.2247348740002053
2,2,2,2,2.3383295959997668
2,2,2,3,2.356596623999849
2,4,1,1,64.43240999799991
2,4,1,2,16.298291371000232
2,4,1,3,16.907733808000103
2,4,2,1,1.1952705399999104
2,4,2,2,4.154729703999692
2,4,2,3,4.253084078000029
2,8,1,1,70.87203798599967
2,8,1,2,9.861247836000075
2,8,1,3,10.334932697000113
2,8,2,1,1.0091949879997628
2,8,2,2,8.200894022999819
2,8,2,3,8.242907767999895
2,12,1,1,78.50741945300024
2,12,1,2,9.920821324999906
2,12,1,3,11.003549152000232
2,12,2,1,1.2143011550001575
2,12,2,2,13.711865694000153
2,12,2,3,13.137555711999994
2,16,1,1,65.48269139999957
2,16,1,2,6.271231112999885
2,16,1,3,7.591852046999975
2,16,2,1,0.9811988860001293
2,16,2,2,9.326828466999814
2,16,2,3,10.474036709999837
2,20,1,1,73.12265839600013
2,20,1,2,7.466344572000253
2,20,1,3,6.49615852900024
2,20,2,1,1.0302411390002817
2,20,2,2,12.839720596999996
2,20,2,3,15.268351242000335
2,24,1,1,68.34475256999986
2,24,1,2,6.255415344000085
2,24,1,3,6.329054556999836
2,24,2,1,1.024224993000189
2,24,2,2,24.509812928999963
2,24,2,3,26.26962950699999
3,2,1,1,56.11277687599977
3,2,1,2,27.984246153000186
3,2,1,3,29.101382918000127
3,2,2,1,1.167172008000307
3,2,2,2,2.1664934590003213
