i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,10,5,4,2,2,19,17,1,0.7103090286254883,0.0003192424774169922,0.000225067138671875
2,10,5,4,2,2,46,164,262144,1.1800282001495361,0.0005578994750976562,10.300574779510498
3,10,5,4,2,2,19,17,1,0.7855432033538818,0.0004868507385253906,0.0003590583801269531
4,10,5,4,2,2,19,17,1,0.7210085391998291,0.00030303001403808594,0.00021600723266601562
5,10,5,4,2,2,29,26,2,0.9791269302368164,0.0002899169921875,0.0003609657287597656
6,10,5,4,2,2,48,86,1536,1.3868966102600098,0.00037789344787597656,0.09224081039428711
7,10,5,4,2,2,28,25,1,0.9289572238922119,0.00030803680419921875,0.00025153160095214844
8,10,5,4,2,2,77,300,1310720,1.554541826248169,0.00036072731018066406,84.49380397796631
9,10,5,4,2,2,19,17,1,0.6902003288269043,0.0003724098205566406,0.0002791881561279297
10,10,5,4,2,2,19,17,1,0.884310245513916,0.0005214214324951172,0.0003848075866699219
11,10,5,4,2,2,19,17,1,0.8573939800262451,0.00035834312438964844,0.00027632713317871094
12,10,5,4,2,2,39,70,1536,1.0092363357543945,0.0004949569702148438,0.07892441749572754
13,10,5,4,2,2,19,17,1,0.7357368469238281,0.0004658699035644531,0.00035762786865234375
14,10,5,4,2,2,29,52,1024,1.0557587146759033,0.0003285408020019531,0.040239572525024414
15,10,5,4,2,2,19,17,1,0.7702276706695557,0.0002961158752441406,0.0002224445343017578
16,10,5,4,2,2,19,17,1,0.8293817043304443,0.0004253387451171875,0.0003743171691894531
17,10,5,4,2,2,19,17,1,1.088214635848999,0.0004019737243652344,0.0002589225769042969
18,10,5,4,2,2,38,68,1024,1.0947604179382324,0.0003764629364013672,0.052608489990234375
19,10,5,4,2,2,29,26,2,0.9837665557861328,0.0004596710205078125,0.000469207763671875
20,10,5,4,2,2,19,17,1,0.8663630485534668,0.0003027915954589844,0.00021529197692871094
21,10,5,4,2,2,38,34,2,1.161085605621338,0.0004951953887939453,0.0007097721099853516
22,10,5,4,2,2,39,35,3,1.0444238185882568,0.0004203319549560547,0.0007512569427490234
23,10,5,4,2,2,19,17,1,1.0333666801452637,0.00044345855712890625,0.00034499168395996094
24,10,5,4,2,2,29,52,1024,1.007338285446167,0.0006709098815917969,0.04197049140930176
25,10,5,4,2,2,19,17,1,1.0314300060272217,0.0004069805145263672,0.00025534629821777344
26,10,5,4,2,2,19,17,1,0.7875380516052246,0.0003707408905029297,0.00026679039001464844
27,10,5,4,2,2,19,17,1,0.8425331115722656,0.0003490447998046875,0.0002543926239013672
28,10,5,4,2,2,38,68,1024,1.153806447982788,0.0003268718719482422,0.05120205879211426
29,10,5,4,2,2,38,102,39366,1.1532292366027832,0.0003387928009033203,1.4789302349090576
30,10,5,4,2,2,29,26,2,0.8782100677490234,0.0003376007080078125,0.0003790855407714844
31,10,5,4,2,2,19,17,1,0.7641386985778809,0.00038242340087890625,0.0002808570861816406
32,10,5,4,2,2,19,17,1,0.7819359302520752,0.0003428459167480469,0.00025010108947753906
33,10,5,4,2,2,19,17,1,0.7533848285675049,0.00031185150146484375,0.00023412704467773438
34,10,5,4,2,2,19,17,1,0.8517334461212158,0.0004031658172607422,0.00029659271240234375
35,10,5,4,2,2,49,71,31,1.5491943359375,0.0003769397735595703,0.006872415542602539
36,10,5,4,2,2,19,17,1,0.8246486186981201,0.00031566619873046875,0.0002319812774658203
37,10,5,4,2,2,29,35,11,1.029909372329712,0.000301361083984375,0.0012326240539550781
38,10,5,4,2,2,38,68,1024,1.171051263809204,0.00038909912109375,0.05297589302062988
39,10,5,4,2,2,19,17,1,0.8565940856933594,0.0004439353942871094,0.00030517578125
40,10,5,4,2,2,29,52,1024,1.109900951385498,0.0003261566162109375,0.04062080383300781
41,10,5,4,2,2,19,17,1,0.8523843288421631,0.0003681182861328125,0.0002675056457519531
42,10,5,4,2,2,19,17,1,0.8848886489868164,0.00044083595275878906,0.0003204345703125
43,10,5,4,2,2,29,26,2,0.9980189800262451,0.00043845176696777344,0.0006301403045654297
44,10,5,4,2,2,19,17,1,0.8647794723510742,0.00035762786865234375,0.0002644062042236328
45,10,5,4,2,2,19,17,1,1.0473570823669434,0.000331878662109375,0.0002357959747314453
46,10,5,4,2,2,20,9,1,0.9935579299926758,0.0002987384796142578,0.00018739700317382812
47,10,5,4,2,2,19,17,1,0.9060227870941162,0.0004742145538330078,0.0003399848937988281
48,10,5,4,2,2,19,17,1,0.8589513301849365,0.0003910064697265625,0.000293731689453125
49,10,5,4,2,2,19,17,1,1.0352158546447754,0.00037217140197753906,0.0002777576446533203
50,10,5,4,2,2,19,17,1,0.6396536827087402,0.00034880638122558594,0.0002353191375732422
51,10,5,4,2,2,29,26,2,0.9902355670928955,0.0003476142883300781,0.0004203319549560547
52,10,5,4,2,2,19,17,1,0.8731625080108643,0.0004203319549560547,0.00030612945556640625
53,10,5,4,2,2,30,27,3,1.0217132568359375,0.0003654956817626953,0.0005583763122558594
54,10,5,4,2,2,19,17,1,0.8494522571563721,0.0003733634948730469,0.00027441978454589844
55,10,5,4,2,2,29,26,2,0.9982094764709473,0.00040435791015625,0.0004317760467529297
56,10,5,4,2,2,19,17,1,0.8520610332489014,0.00047850608825683594,0.00031828880310058594
57,10,5,4,2,2,19,17,1,0.9612953662872314,0.0005929470062255859,0.00039839744567871094
