i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,5,5,4,2,2,20,37,44,0.2319962978363037,7.295608520507812e-05,0.00087738037109375
1,5,10,4,2,2,54,218,2979,1.0979228019714355,0.00010180473327636719,0.0958867073059082
1,5,15,4,2,2,33,69,304,0.8261384963989258,7.486343383789062e-05,0.007369279861450195
1,5,20,4,2,2,57,182,844,2.3425674438476562,8.7738037109375e-05,0.056356191635131836
1,5,25,4,2,2,86,512,18992,4.753093004226685,0.00011110305786132812,1.5640242099761963
1,5,30,4,2,2,39,108,396,2.8186089992523193,7.677078247070312e-05,0.010618209838867188
2,5,5,4,2,2,33,84,281,0.32609081268310547,0.00015354156494140625,0.009821891784667969
2,5,10,4,2,2,31,83,282,0.515209436416626,7.915496826171875e-05,0.007297515869140625
2,5,15,4,2,2,32,52,116,0.673128604888916,7.557868957519531e-05,0.0022153854370117188
2,5,20,4,2,2,49,154,1584,1.9460396766662598,9.632110595703125e-05,0.026788949966430664
2,5,25,4,2,2,56,168,2736,5.0976667404174805,0.00013494491577148438,0.0464937686920166
2,5,30,4,2,2,41,127,1404,2.99727201461792,8.893013000488281e-05,0.03629279136657715
3,5,5,4,2,2,19,26,14,0.1889047622680664,9.083747863769531e-05,0.0005216598510742188
3,5,10,4,2,2,28,55,234,0.6808693408966064,7.081031799316406e-05,0.0049533843994140625
3,5,15,4,2,2,74,240,935,2.774031400680542,9.393692016601562e-05,0.0671074390411377
3,5,20,4,2,2,24,40,63,0.9369649887084961,0.00012803077697753906,0.0020236968994140625
3,5,25,4,2,2,55,200,1728,3.269035816192627,9.1552734375e-05,0.06585240364074707
3,5,30,4,2,2,46,119,2508,4.114539861679077,8.845329284667969e-05,0.03149294853210449
4,5,5,4,2,2,20,29,50,0.21605443954467773,7.224082946777344e-05,0.0007066726684570312
4,5,10,4,2,2,63,237,2272,0.984921932220459,0.00011157989501953125,0.04907941818237305
4,5,15,4,2,2,51,163,1991,1.3644087314605713,7.867813110351562e-05,0.049971818923950195
4,5,20,4,2,2,60,263,2934,2.1301612854003906,9.393692016601562e-05,0.1503140926361084
4,5,25,4,2,2,42,151,496,2.239647388458252,8.440017700195312e-05,0.02082371711730957
4,5,30,4,2,2,32,66,240,1.6492981910705566,7.843971252441406e-05,0.004540681838989258
5,5,5,4,2,2,47,190,2016,0.34128713607788086,0.00010538101196289062,0.06647586822509766
5,5,10,4,2,2,25,47,100,0.7108697891235352,0.00012135505676269531,0.003305673599243164
5,5,15,4,2,2,97,582,62112,3.748182535171509,0.0001308917999267578,3.794419288635254
5,5,20,4,2,2,33,82,459,1.1889300346374512,7.05718994140625e-05,0.0069427490234375
5,5,25,4,2,2,155,624,33120,188.6819338798523,0.0001392364501953125,0.7381453514099121
5,5,30,4,2,2,51,125,2296,3.3699135780334473,8.344650268554688e-05,0.048386573791503906
6,5,5,4,2,2,28,56,192,0.3179755210876465,7.677078247070312e-05,0.0025787353515625
6,5,10,4,2,2,53,112,464,1.013462781906128,7.891654968261719e-05,0.010353803634643555
6,5,15,4,2,2,56,186,2772,1.718290090560913,0.0001499652862548828,0.0666494369506836
6,5,20,4,2,2,61,178,3270,2.912827730178833,8.249282836914062e-05,0.10229158401489258
6,5,25,4,2,2,47,109,368,2.7062673568725586,7.891654968261719e-05,0.010815620422363281
6,5,30,4,2,2,38,126,560,2.6217315196990967,7.557868957519531e-05,0.01531529426574707
7,5,5,4,2,2,23,37,56,0.2610771656036377,0.00013375282287597656,0.001432657241821289
7,5,10,4,2,2,42,140,1652,0.7948758602142334,0.00015115737915039062,0.03389143943786621
7,5,15,4,2,2,26,64,96,0.9177505970001221,7.987022399902344e-05,0.0027604103088378906
7,5,20,4,2,2,42,118,864,1.5059785842895508,8.225440979003906e-05,0.020415544509887695
7,5,25,4,2,2,54,103,1548,3.3809077739715576,8.034706115722656e-05,0.014414787292480469
7,5,30,4,2,2,34,73,320,2.7619173526763916,9.369850158691406e-05,0.008363723754882812
8,5,5,4,2,2,23,44,54,0.23949503898620605,7.82012939453125e-05,0.001619577407836914
8,5,10,4,2,2,28,62,116,0.5740790367126465,0.00011181831359863281,0.00403594970703125
8,5,15,4,2,2,61,268,3744,1.8463201522827148,9.584426879882812e-05,0.06574797630310059
8,5,20,4,2,2,53,160,2304,1.959094762802124,8.130073547363281e-05,0.04792976379394531
8,5,25,4,2,2,68,339,8148,3.2363297939300537,9.298324584960938e-05,0.2193436622619629
8,5,30,4,2,2,90,162,2128,21.916401386260986,8.511543273925781e-05,0.020999670028686523
9,5,5,4,2,2,21,34,42,0.20615696907043457,9.560585021972656e-05,0.0008122920989990234
9,5,10,4,2,2,34,84,262,0.6271529197692871,8.177757263183594e-05,0.009814977645874023
9,5,15,4,2,2,55,232,3443,1.2872347831726074,9.012222290039062e-05,0.1812419891357422
9,5,20,4,2,2,46,94,772,2.0726211071014404,8.535385131835938e-05,0.019661426544189453
9,5,25,4,2,2,53,245,3920,2.5407986640930176,9.489059448242188e-05,0.16615700721740723
9,5,30,4,2,2,83,731,8874,8.145507335662842,0.00014972686767578125,0.5050113201141357
10,5,5,4,2,2,19,29,28,0.2294330596923828,8.130073547363281e-05,0.0006525516510009766
10,5,10,4,2,2,46,197,1296,0.8012864589691162,9.322166442871094e-05,0.05590224266052246
10,5,15,4,2,2,32,51,152,1.1999292373657227,0.0001380443572998047,0.006810426712036133
10,5,20,4,2,2,70,118,992,4.696569919586182,0.00011301040649414062,0.009797334671020508
10,5,25,4,2,2,167,1813,88000,20.39573884010315,0.00024175643920898438,6.890209197998047
10,5,30,4,2,2,40,106,630,2.453927755355835,7.724761962890625e-05,0.009010076522827148
11,5,5,4,2,2,24,48,70,0.2308046817779541,0.00010085105895996094,0.0020432472229003906
11,5,10,4,2,2,38,86,220,0.7466402053833008,7.772445678710938e-05,0.004800081253051758
11,5,15,4,2,2,44,166,560,1.663982629776001,8.225440979003906e-05,0.017636775970458984
11,5,20,4,2,2,91,783,16150,3.439840793609619,0.00013875961303710938,1.0002076625823975
11,5,25,4,2,2,27,51,82,1.5553405284881592,8.416175842285156e-05,0.0018510818481445312
11,5,30,4,2,2,92,669,82920,6.308466911315918,0.00017952919006347656,2.445607900619507
12,5,5,4,2,2,27,58,191,0.268160343170166,9.322166442871094e-05,0.0051686763763427734
12,5,10,4,2,2,29,59,340,0.510420560836792,9.608268737792969e-05,0.006115436553955078
12,5,15,4,2,2,36,89,282,0.81943678855896,0.00011086463928222656,0.006777048110961914
12,5,20,4,2,2,45,136,1200,2.0627899169921875,0.00016927719116210938,0.026041507720947266
12,5,25,4,2,2,38,88,210,2.099541664123535,8.463859558105469e-05,0.004730701446533203
12,5,30,4,2,2,86,561,22338,9.526471376419067,0.00010538101196289062,0.9353885650634766
13,5,5,4,2,2,19,26,12,0.2075812816619873,0.00011539459228515625,0.00043272972106933594
13,5,10,4,2,2,53,239,1288,0.8787341117858887,0.00012040138244628906,0.04437541961669922
13,5,15,4,2,2,36,113,691,0.8534398078918457,7.486343383789062e-05,0.013600587844848633
13,5,20,4,2,2,94,813,21048,4.99053430557251,0.00018358230590820312,0.8870928287506104
13,5,25,4,2,2,158,849,1200,124.72975492477417,0.0001647472381591797,0.35756492614746094
13,5,30,4,2,2,80,599,6070,7.371560096740723,0.00010514259338378906,0.10131216049194336
14,5,5,4,2,2,26,56,120,0.2356722354888916,7.724761962890625e-05,0.0027756690979003906
14,5,10,4,2,2,49,94,938,0.9209282398223877,9.012222290039062e-05,0.007465362548828125
14,5,15,4,2,2,23,47,63,0.6548850536346436,7.748603820800781e-05,0.001753091812133789
14,5,20,4,2,2,55,323,4752,1.8847308158874512,9.107589721679688e-05,0.22861242294311523
14,5,25,4,2,2,34,92,520,1.6899914741516113,7.510185241699219e-05,0.012516260147094727
14,5,30,4,2,2,91,346,12312,8.304058074951172,0.00010466575622558594,0.2330493927001953
15,5,5,4,2,2,22,39,34,0.22420930862426758,7.796287536621094e-05,0.0009567737579345703
15,5,10,4,2,2,28,68,216,0.5077111721038818,7.2479248046875e-05,0.004082679748535156
15,5,15,4,2,2,136,934,20440,14.963750839233398,0.00015044212341308594,1.0763726234436035
15,5,20,4,2,2,117,394,35238,12.815211057662964,0.00024390220642089844,0.6374192237854004
15,5,25,4,2,2,42,108,1050,2.549081802368164,7.82012939453125e-05,0.026929855346679688
15,5,30,4,2,2,44,171,1944,2.218031406402588,8.177757263183594e-05,0.060858726501464844
16,5,5,4,2,2,26,42,80,0.24440670013427734,8.058547973632812e-05,0.0013723373413085938
16,5,10,4,2,2,32,58,276,0.5343203544616699,9.72747802734375e-05,0.004656553268432617
16,5,15,4,2,2,38,86,415,1.0017035007476807,8.726119995117188e-05,0.00902247428894043
16,5,20,4,2,2,47,202,3800,1.7079432010650635,8.320808410644531e-05,0.13070034980773926
16,5,25,4,2,2,34,137,1450,1.4750065803527832,7.748603820800781e-05,0.028853654861450195
16,5,30,4,2,2,42,107,988,2.5103588104248047,7.867813110351562e-05,0.014478206634521484
17,5,5,4,2,2,37,74,626,0.3180522918701172,8.368492126464844e-05,0.009701728820800781
17,5,10,4,2,2,41,76,432,0.6856801509857178,9.012222290039062e-05,0.010322093963623047
17,5,15,4,2,2,44,116,228,1.4341716766357422,7.867813110351562e-05,0.012269020080566406
17,5,20,4,2,2,57,221,1750,2.328916549682617,8.749961853027344e-05,0.05782032012939453
