i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,4,2,2,5,3,1,0.17914271354675293,0.00011992454528808594,8.368492126464844e-05
1,4,5,4,2,2,7,5,1,0.23714351654052734,0.00011467933654785156,8.273124694824219e-05
1,5,5,4,2,2,9,7,1,0.2738356590270996,9.965896606445312e-05,6.914138793945312e-05
1,6,5,4,2,2,11,9,1,0.3455824851989746,0.00012111663818359375,7.939338684082031e-05
1,7,5,4,2,2,13,11,1,0.40882277488708496,0.000148773193359375,9.417533874511719e-05
1,8,5,4,2,2,15,13,1,0.4559590816497803,0.00015044212341308594,9.059906005859375e-05
1,9,5,4,2,2,17,15,1,0.4831233024597168,0.0002014636993408203,9.894371032714844e-05
1,3,5,3,2,2,6,6,1,0.1242976188659668,8.20159912109375e-05,6.175041198730469e-05
1,4,5,3,2,2,8,8,1,0.2373371124267578,0.0001277923583984375,9.560585021972656e-05
1,5,5,3,2,2,10,10,1,0.30944252014160156,0.00013685226440429688,0.0001239776611328125
1,6,5,3,2,2,12,12,1,0.3995180130004883,0.00017642974853515625,0.0001537799835205078
1,7,5,3,2,2,14,14,1,0.3991258144378662,0.00017452239990234375,0.00011491775512695312
1,8,5,3,2,2,16,16,1,0.4615602493286133,0.0002181529998779297,0.0001628398895263672
1,9,5,3,2,2,18,18,1,0.5910015106201172,0.0001804828643798828,0.00013256072998046875
1,3,5,2,2,2,7,7,1,0.22265219688415527,0.0001087188720703125,8.106231689453125e-05
1,4,5,2,2,2,8,8,1,0.25699520111083984,0.00010037422180175781,7.653236389160156e-05
1,5,5,2,2,2,11,17,1,0.36860156059265137,0.0001418590545654297,0.00018405914306640625
1,6,5,2,2,2,13,18,1,0.4153416156768799,0.00037384033203125,0.0002834796905517578
1,7,5,2,2,2,14,14,1,0.5014567375183105,0.00013899803161621094,0.00012946128845214844
1,8,5,2,2,2,17,18,1,0.550983190536499,0.00023627281188964844,0.00032401084899902344
1,9,5,2,2,2,19,21,1,0.6184768676757812,0.0002498626708984375,0.00035262107849121094
2,3,5,4,2,2,8,10,8,0.24739956855773926,0.0001430511474609375,0.000186920166015625
2,4,5,4,2,2,11,16,16,0.3364143371582031,9.894371032714844e-05,0.00020051002502441406
2,5,5,4,2,2,14,22,32,0.3878602981567383,0.0001220703125,0.00048041343688964844
2,6,5,4,2,2,17,28,64,0.4063835144042969,0.00011873245239257812,0.0007917881011962891
2,7,5,4,2,2,20,34,128,0.5844075679779053,0.00029087066650390625,0.004240274429321289
2,8,5,4,2,2,23,40,256,0.6168146133422852,0.0002925395965576172,0.0061299800872802734
2,9,5,4,2,2,26,46,512,0.8016843795776367,0.00026416778564453125,0.015149354934692383
2,3,5,3,2,2,9,18,8,0.23901796340942383,0.00015234947204589844,0.0004260540008544922
2,4,5,3,2,2,12,24,16,0.37274670600891113,0.00022864341735839844,0.0012722015380859375
2,5,5,3,2,2,15,30,32,0.496166467666626,0.0002009868621826172,0.0020508766174316406
2,6,5,3,2,2,18,36,64,0.5758814811706543,0.0003180503845214844,0.00651860237121582
2,7,5,3,2,2,21,42,128,0.6740734577178955,0.0003204345703125,0.009920835494995117
2,8,5,3,2,2,24,48,256,0.7289853096008301,0.0002181529998779297,0.018518447875976562
2,9,5,3,2,2,27,54,512,0.8235528469085693,0.00020837783813476562,0.027018308639526367
2,3,5,2,2,2,9,18,8,0.27826976776123047,9.632110595703125e-05,0.00024080276489257812
2,4,5,2,2,2,15,48,16,0.46282148361206055,0.0001533031463623047,0.0016565322875976562
2,5,5,2,2,2,15,30,32,0.45383119583129883,0.00017261505126953125,0.0007936954498291016
2,6,5,2,2,2,21,46,64,0.6916687488555908,0.00034689903259277344,0.010313034057617188
2,7,5,2,2,2,24,52,128,0.7741453647613525,0.0003662109375,0.015448570251464844
2,8,5,2,2,2,27,56,256,0.8502428531646729,0.0003459453582763672,0.016875267028808594
2,9,5,2,2,2,30,62,512,0.9587883949279785,0.0005238056182861328,0.06345701217651367
3,3,5,4,2,2,8,7,4,0.2068939208984375,0.00010228157043457031,9.918212890625e-05
3,4,5,4,2,2,11,11,5,0.30445027351379395,0.00010323524475097656,0.00012087821960449219
3,5,5,4,2,2,14,15,6,0.35407066345214844,0.0001347064971923828,0.00020241737365722656
3,6,5,4,2,2,17,19,7,0.43164730072021484,0.00014472007751464844,0.00025534629821777344
3,7,5,4,2,2,20,23,8,0.578538179397583,0.0001666545867919922,0.00036716461181640625
3,8,5,4,2,2,23,27,9,0.6121799945831299,0.00022864341735839844,0.0005731582641601562
3,9,5,4,2,2,26,31,10,0.6747994422912598,0.0004112720489501953,0.001203775405883789
3,3,5,3,2,2,9,12,2,0.2607691287994385,0.00010275840759277344,0.00013756752014160156
3,4,5,3,2,2,12,16,2,0.3156712055206299,9.512901306152344e-05,0.000148773193359375
3,5,5,3,2,2,15,20,2,0.33597493171691895,0.00012755393981933594,0.00025081634521484375
3,6,5,3,2,2,18,24,2,0.45575475692749023,0.00016379356384277344,0.0003941059112548828
3,7,5,3,2,2,21,28,2,0.5797634124755859,0.00018286705017089844,0.0005238056182861328
3,8,5,3,2,2,24,32,2,0.6537704467773438,0.0002148151397705078,0.0006716251373291016
3,9,5,3,2,2,27,36,2,0.7361440658569336,0.0005087852478027344,0.0017752647399902344
3,3,5,2,2,2,9,12,2,0.21732425689697266,7.295608520507812e-05,9.822845458984375e-05
3,4,5,2,2,2,15,37,8,0.3920888900756836,0.0001323223114013672,0.0007526874542236328
3,5,5,2,2,2,15,20,7,0.4215834140777588,0.00014472007751464844,0.0002524852752685547
3,6,5,2,2,2,22,52,11,0.5790698528289795,0.00013756752014160156,0.0006797313690185547
3,7,5,2,2,2,28,73,24,0.7115614414215088,0.00020885467529296875,0.002845287322998047
3,8,5,2,2,2,32,84,15,0.8231282234191895,0.00032448768615722656,0.004936695098876953
3,9,5,2,2,2,38,102,53,0.9631297588348389,0.00029778480529785156,0.020198822021484375
4,3,5,4,2,2,17,55,125,0.31352758407592773,0.00012063980102539062,0.0014829635620117188
4,4,5,4,2,2,23,85,625,0.37464141845703125,0.0001087188720703125,0.006688356399536133
4,5,5,4,2,2,29,115,3125,0.5753569602966309,0.00016021728515625,0.04937100410461426
4,6,5,4,2,2,35,145,15625,0.6853632926940918,0.00020360946655273438,0.23778581619262695
4,7,5,4,2,2,41,175,78125,0.7937910556793213,0.0003402233123779297,1.3540494441986084
4,8,5,4,2,2,47,205,390625,0.9463133811950684,0.0004410743713378906,7.334903240203857
4,9,5,4,2,2,53,235,1953125,1.0713691711425781,0.0005030632019042969,39.435348987579346
4,3,5,3,2,2,18,90,125,0.4018404483795166,0.00012922286987304688,0.009827852249145508
4,4,5,3,2,2,24,120,625,0.5170037746429443,0.00017762184143066406,0.05235409736633301
4,5,5,3,2,2,30,150,3125,0.6735222339630127,0.00014829635620117188,0.2742445468902588
4,6,5,3,2,2,36,180,15625,0.8442938327789307,0.00035071372985839844,1.369964361190796
4,7,5,3,2,2,42,210,78125,0.9410898685455322,0.0002384185791015625,7.289345979690552
4,8,5,3,2,2,48,240,390625,1.0543482303619385,0.0003020763397216797,40.574461221694946
4,9,5,3,2,2,54,270,1953125,1.067223310470581,0.0002384185791015625,212.67781567573547
4,3,5,2,2,2,18,90,125,0.4050898551940918,0.0001366138458251953,0.009047746658325195
4,4,5,2,2,2,33,175,625,0.7645454406738281,0.0002715587615966797,0.13927364349365234
4,5,5,2,2,2,49,425,3125,1.0651121139526367,0.0003323554992675781,0.32941770553588867
