i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,2,2,2,3,17,49,27,0.4056665897369385,0.00010275840759277344,0.0018877983093261719
1,4,5,2,2,2,4,21,78,81,0.4428427219390869,0.00018858909606933594,0.006184577941894531
1,5,5,2,2,2,5,25,88,243,0.6484181880950928,0.0003643035888671875,0.014689445495605469
1,6,5,2,2,2,6,34,172,729,0.8110263347625732,0.00026702880859375,0.11028504371643066
1,7,5,2,2,2,7,33,126,2187,0.9296679496765137,0.00019741058349609375,0.11693859100341797
1,8,5,2,2,2,8,42,158,6561,1.1967191696166992,0.0003299713134765625,0.3894932270050049
1,9,5,2,2,2,9,41,112,19764,1.236842393875122,0.0003528594970703125,1.1756742000579834
2,3,5,2,2,2,3,6,6,2,0.21624445915222168,9.369850158691406e-05,7.367134094238281e-05
2,4,5,2,2,2,4,9,8,1,0.4172656536102295,0.0001087188720703125,7.939338684082031e-05
2,5,5,2,2,2,5,11,12,2,0.4907190799713135,0.00011801719665527344,0.00010704994201660156
2,6,5,2,2,2,6,13,16,1,0.578648567199707,0.0002467632293701172,0.0002357959747314453
2,7,5,2,2,2,7,16,21,1,0.6680738925933838,0.00022912025451660156,0.0002391338348388672
2,8,5,2,2,2,8,17,18,1,0.8261849880218506,0.00027251243591308594,0.000286102294921875
2,9,5,2,2,2,9,19,21,2,0.8753876686096191,0.00019025802612304688,0.00025844573974609375
3,3,5,2,2,2,3,19,81,27,0.344862699508667,0.00011849403381347656,0.0018498897552490234
3,4,5,2,2,2,4,24,90,81,0.4567296504974365,0.0002448558807373047,0.017574071884155273
3,5,5,2,2,2,5,29,111,243,0.5667662620544434,0.0002644062042236328,0.03272247314453125
3,6,5,2,2,2,6,36,135,729,0.7093241214752197,0.0002493858337402344,0.04398703575134277
3,7,5,2,2,2,7,45,186,2187,0.9553897380828857,0.0005629062652587891,0.4872725009918213
3,8,5,2,2,2,8,46,183,6561,0.9473869800567627,0.00028228759765625,0.6953332424163818
3,9,5,2,2,2,9,55,252,19683,1.1335887908935547,0.0005707740783691406,4.42314076423645
4,3,5,2,2,2,3,7,2,0,0.3619251251220703,9.72747802734375e-05,4.696846008300781e-05
4,4,5,2,2,2,4,9,3,0,0.42420458793640137,0.0001647472381591797,6.67572021484375e-05
4,5,5,2,2,2,5,11,4,0,0.6212897300720215,0.00013637542724609375,5.888938903808594e-05
4,6,5,2,2,2,6,14,5,0,0.7323527336120605,0.0002548694610595703,8.940696716308594e-05
4,7,5,2,2,2,7,15,6,0,0.7496294975280762,0.0002205371856689453,8.034706115722656e-05
4,8,5,2,2,2,8,17,8,0,0.860619306564331,0.0003616809844970703,9.918212890625e-05
4,9,5,2,2,2,9,19,10,0,0.876767635345459,0.0002079010009765625,4.9591064453125e-05
5,3,5,2,2,2,3,12,36,27,0.23515892028808594,0.00010347366333007812,0.00040459632873535156
5,4,5,2,2,2,4,16,48,81,0.38535642623901367,0.0002090930938720703,0.0064296722412109375
5,5,5,2,2,2,5,27,108,405,0.635563850402832,0.00021338462829589844,0.06361985206604004
5,6,5,2,2,2,6,31,120,1215,0.8032557964324951,0.0003101825714111328,0.19648981094360352
5,7,5,2,2,2,7,42,198,6075,1.0209405422210693,0.0005204677581787109,0.550041913986206
5,8,5,2,2,2,8,45,219,10935,1.12644362449646,0.0004863739013671875,1.0296049118041992
5,9,5,2,2,2,9,56,276,54675,1.3789122104644775,0.0003669261932373047,8.887468576431274
6,3,5,2,2,2,3,7,10,1,0.2828967571258545,9.942054748535156e-05,8.702278137207031e-05
6,4,5,2,2,2,4,9,9,1,0.3735623359680176,0.0001575946807861328,0.00012874603271484375
6,5,5,2,2,2,5,11,11,1,0.4785006046295166,0.00019860267639160156,0.0001761913299560547
6,6,5,2,2,2,6,13,19,1,0.6260347366333008,0.0003561973571777344,0.00035262107849121094
6,7,5,2,2,2,7,15,21,1,0.664053201675415,0.00025177001953125,0.00032782554626464844
6,8,5,2,2,2,8,18,28,1,0.87272047996521,0.0005996227264404297,0.0006582736968994141
6,9,5,2,2,2,9,20,30,1,1.0096838474273682,0.00023436546325683594,0.00035452842712402344
7,3,5,2,2,2,3,7,0,0,0.388643741607666,0.00011801719665527344,5.054473876953125e-05
7,4,5,2,2,2,4,9,0,0,0.47310924530029297,0.00013685226440429688,5.0067901611328125e-05
7,5,5,2,2,2,5,10,0,0,0.479022741317749,0.00019359588623046875,6.794929504394531e-05
7,6,5,2,2,2,6,14,0,0,0.6994380950927734,0.00016570091247558594,4.887580871582031e-05
7,7,5,2,2,2,7,17,0,0,0.843226432800293,0.00020265579223632812,5.078315734863281e-05
7,8,5,2,2,2,8,19,0,0,1.0123193264007568,0.0004749298095703125,0.00015687942504882812
7,9,5,2,2,2,9,22,0,0,1.190028429031372,0.0005564689636230469,0.00010728836059570312
8,3,5,2,2,2,3,15,51,41,0.30325770378112793,0.00014352798461914062,0.002560853958129883
8,4,5,2,2,2,4,28,177,158,0.5942721366882324,0.00019121170043945312,0.013443470001220703
8,5,5,2,2,2,5,44,276,1256,0.817589521408081,0.00024962425231933594,0.30432653427124023
8,6,5,2,2,2,6,49,319,4708,0.8326187133789062,0.00029158592224121094,1.1285035610198975
8,7,5,2,2,2,7,65,487,39844,1.242149829864502,0.00029277801513671875,10.934841632843018
8,8,5,2,2,2,8,70,445,136912,1.2620429992675781,0.0003638267517089844,48.076892614364624
8,9,5,2,2,2,9,75,488,510064,1.596003532409668,0.00037860870361328125,44.31216907501221
9,3,5,2,2,2,3,12,18,4,0.35459017753601074,0.00021767616271972656,0.0005681514739990234
9,4,5,2,2,2,4,16,24,6,0.5151793956756592,0.00010895729064941406,0.00038433074951171875
9,5,5,2,2,2,5,22,34,2,0.6823427677154541,0.00024628639221191406,0.0007338523864746094
9,6,5,2,2,2,6,28,58,6,0.8857674598693848,0.0002529621124267578,0.0022499561309814453
9,7,5,2,2,2,7,36,86,6,1.147721529006958,0.000225067138671875,0.002534627914428711
9,8,5,2,2,2,8,42,108,1,1.282301902770996,0.0002543926239013672,0.0037889480590820312
9,9,5,2,2,2,9,46,114,1,1.3235416412353516,0.0006473064422607422,0.007523536682128906
10,3,5,2,2,2,3,17,72,27,0.5971133708953857,0.0003676414489746094,0.0031898021697998047
10,4,5,2,2,2,4,21,63,81,0.7464399337768555,0.0003037452697753906,0.006407022476196289
10,5,5,2,2,2,5,25,78,243,0.9035699367523193,0.0004999637603759766,0.018474578857421875
10,6,5,2,2,2,6,29,87,729,1.0234694480895996,0.00039887428283691406,0.07674217224121094
10,7,5,2,2,2,7,38,138,2187,1.168412208557129,0.0009367465972900391,0.39055800437927246
10,8,5,2,2,2,8,42,168,6561,1.3798036575317383,0.0004801750183105469,1.8257169723510742
10,9,5,2,2,2,9,46,177,19683,1.447195291519165,0.0004642009735107422,1.7918307781219482
