i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,10,5,4,2,2,19,17,1,1.091763973236084,0.0020067691802978516,0.0016283988952636719
1,10,5,3,2,2,20,20,1,1.376842737197876,0.002331972122192383,0.0025551319122314453
2,10,5,4,2,2,19,17,1,1.14984130859375,0.001961231231689453,0.0012781620025634766
2,10,5,3,2,2,20,20,1,1.1739261150360107,0.0017857551574707031,0.002045869827270508
3,10,5,4,2,2,40,72,2048,1.6247954368591309,0.0020978450775146484,0.7835969924926758
3,10,5,3,2,2,40,80,1024,1.8097953796386719,0.002064228057861328,1.6833698749542236
4,10,5,4,2,2,19,17,1,1.8480703830718994,0.0017290115356445312,0.0013499259948730469
4,10,5,3,2,2,20,20,1,1.8908863067626953,0.0020546913146972656,0.002112150192260742
5,10,5,4,2,2,19,17,1,1.032444953918457,0.001708984375,0.0011539459228515625
5,10,5,3,2,2,20,20,1,1.135227918624878,0.001798391342163086,0.002189159393310547
6,10,5,4,2,2,28,25,1,1.2212460041046143,0.0016710758209228516,0.001337289810180664
6,10,5,3,2,2,30,30,1,1.303173303604126,0.002187013626098633,0.004552125930786133
7,10,5,4,2,2,19,17,1,0.8873252868652344,0.0020499229431152344,0.0015902519226074219
7,10,5,3,2,2,20,20,1,0.9409029483795166,0.00196075439453125,0.0022890567779541016
8,10,5,4,2,2,29,26,2,1.2487287521362305,0.0018398761749267578,0.0026717185974121094
8,10,5,3,2,2,30,30,1,1.3603060245513916,0.0022885799407958984,0.004580497741699219
9,10,5,4,2,2,38,68,1024,1.2721762657165527,0.0016944408416748047,0.38690757751464844
9,10,5,3,2,2,40,80,1024,1.354433298110962,0.0018677711486816406,1.693871021270752
10,10,5,4,2,2,19,17,1,1.083320140838623,0.0017235279083251953,0.0010886192321777344
10,10,5,3,2,2,20,20,1,1.1678731441497803,0.004472255706787109,0.004804849624633789
11,10,5,4,2,2,28,25,1,1.2401714324951172,0.0016236305236816406,0.0014216899871826172
11,10,5,3,2,2,30,30,1,1.3481371402740479,0.0019488334655761719,0.004229307174682617
12,10,5,4,2,2,29,52,1024,0.9816646575927734,0.002501249313354492,0.2954576015472412
12,10,5,3,2,2,30,60,1024,1.0380666255950928,0.002173185348510742,0.9530982971191406
13,10,5,4,2,2,19,17,1,1.8520605564117432,0.0028336048126220703,0.002810239791870117
13,10,5,3,2,2,20,20,1,1.9062066078186035,0.0030226707458496094,0.0033996105194091797
14,10,5,4,2,2,19,17,1,1.1416568756103516,0.0018754005432128906,0.0012469291687011719
14,10,5,3,2,2,20,20,1,1.1732947826385498,0.0022690296173095703,0.0024034976959228516
15,10,5,4,2,2,19,17,1,0.9557383060455322,0.0016808509826660156,0.0010797977447509766
15,10,5,3,2,2,20,20,1,1.0077540874481201,0.0020761489868164062,0.0025832653045654297
16,10,5,4,2,2,19,17,1,1.4401519298553467,0.0018858909606933594,0.0011539459228515625
16,10,5,3,2,2,20,20,1,1.2700526714324951,0.004052162170410156,0.004154682159423828
17,10,5,4,2,2,19,17,1,1.0430800914764404,0.0021283626556396484,0.0012814998626708984
17,10,5,3,2,2,20,20,1,1.1423871517181396,0.002208709716796875,0.0022995471954345703
18,10,5,4,2,2,48,129,59049,1.6872913837432861,0.001973867416381836,21.586973428726196
18,10,5,3,2,2,50,150,59049,1.8249707221984863,0.002166271209716797,116.976083278656
19,10,5,4,2,2,28,50,512,1.3456532955169678,0.001699209213256836,0.16139960289001465
