i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,9,5,4,2,2,17,15,1,0.8307521343231201,0.0016171932220458984,0.0010242462158203125
1,9,5,3,2,2,18,18,1,0.9627010822296143,0.0017838478088378906,0.0019273757934570312
2,9,5,4,2,2,25,22,1,0.6754238605499268,0.0015501976013183594,0.0011892318725585938
2,9,5,3,2,2,27,27,1,0.6958165168762207,0.0016772747039794922,0.0035293102264404297
3,9,5,4,2,2,51,135,19683,1.5401427745819092,0.0017490386962890625,8.651018619537354
3,9,5,3,2,2,54,162,19683,1.687147855758667,0.0017650127410888672,57.30380296707153
4,9,5,4,2,2,26,46,512,0.9327585697174072,0.0014138221740722656,0.14148712158203125
4,9,5,3,2,2,27,54,512,0.9707374572753906,0.0017278194427490234,0.48835325241088867
5,9,5,4,2,2,26,23,2,0.9094133377075195,0.0015103816986083984,0.0020232200622558594
5,9,5,3,2,2,27,27,1,0.9401559829711914,0.0015997886657714844,0.003261089324951172
6,9,5,4,2,2,17,15,1,0.7553033828735352,0.0013909339904785156,0.0009355545043945312
6,9,5,3,2,2,18,18,1,0.8006100654602051,0.0022735595703125,0.0018270015716552734
7,9,5,4,2,2,86,228,39366,1.836458444595337,0.0015823841094970703,29.192082166671753
7,9,5,3,2,2,90,270,19683,1.8486297130584717,0.0018057823181152344,156.9399652481079
8,9,5,4,2,2,17,15,1,0.7723453044891357,0.0013608932495117188,0.0009765625
8,9,5,3,2,2,18,18,1,0.8314471244812012,0.0017008781433105469,0.001764535903930664
9,9,5,4,2,2,17,15,1,0.732712984085083,0.0014717578887939453,0.0010101795196533203
9,9,5,3,2,2,18,18,1,0.7584788799285889,0.0016636848449707031,0.0017566680908203125
10,9,5,4,2,2,17,15,1,0.7454028129577637,0.0015442371368408203,0.0009953975677490234
10,9,5,3,2,2,18,18,1,0.7951762676239014,0.0015802383422851562,0.0017693042755126953
