i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,4,2,2,8,5,2,0.05576443672180176,2.6464462280273438e-05,2.2172927856445312e-05
1,3,5,3,2,2,9,9,1,0.062463998794555664,3.170967102050781e-05,4.00543212890625e-05
2,3,5,4,2,2,8,10,8,0.05827903747558594,2.6941299438476562e-05,3.814697265625e-05
2,3,5,3,2,2,9,18,8,0.08330821990966797,3.457069396972656e-05,0.000125885009765625
3,3,5,4,2,2,16,21,22,0.09580183029174805,2.9087066650390625e-05,0.00011038780212402344
3,3,5,3,2,2,15,30,8,0.0991213321685791,5.555152893066406e-05,0.0005609989166259766
4,3,5,4,2,2,15,27,27,0.10061359405517578,3.981590270996094e-05,0.000263214111328125
4,3,5,3,2,2,18,54,27,0.12278532981872559,3.528594970703125e-05,0.0015194416046142578
5,3,5,4,2,2,6,3,1,0.05975341796875,2.9802322387695312e-05,2.193450927734375e-05
5,3,5,3,2,2,6,6,1,0.11343050003051758,4.124641418457031e-05,4.100799560546875e-05
6,3,5,4,2,2,10,12,8,0.10123896598815918,2.8848648071289062e-05,4.3392181396484375e-05
6,3,5,3,2,2,12,24,8,0.1338038444519043,3.62396240234375e-05,0.00021982192993164062
7,3,5,4,2,2,7,4,1,0.07437705993652344,3.0994415283203125e-05,2.8371810913085938e-05
7,3,5,3,2,2,9,9,1,0.07380795478820801,3.457069396972656e-05,3.719329833984375e-05
8,3,5,4,2,2,7,4,1,0.08337044715881348,4.315376281738281e-05,2.86102294921875e-05
8,3,5,3,2,2,9,9,1,0.07243919372558594,3.0994415283203125e-05,3.457069396972656e-05
9,3,5,4,2,2,6,4,2,0.0606231689453125,3.147125244140625e-05,2.3365020751953125e-05
9,3,5,3,2,2,6,6,1,0.0809164047241211,3.170967102050781e-05,2.6941299438476562e-05
10,3,5,4,2,2,5,3,1,0.05200505256652832,2.574920654296875e-05,1.9550323486328125e-05
10,3,5,3,2,2,6,6,1,0.05506730079650879,5.1021575927734375e-05,4.172325134277344e-05
11,3,5,4,2,2,17,30,27,0.1164395809173584,3.6716461181640625e-05,0.0002071857452392578
11,3,5,3,2,2,21,63,27,0.12992501258850098,6.0558319091796875e-05,0.002839326858520508
12,3,5,4,2,2,7,3,1,0.08343195915222168,2.6702880859375e-05,1.9550323486328125e-05
12,3,5,3,2,2,9,6,1,0.08463883399963379,5.459785461425781e-05,4.124641418457031e-05
13,3,5,4,2,2,5,3,1,0.07106590270996094,4.553794860839844e-05,4.7206878662109375e-05
13,3,5,3,2,2,6,6,1,0.0568089485168457,2.7894973754882812e-05,2.4318695068359375e-05
14,3,5,4,2,2,5,3,1,0.05146360397338867,4.172325134277344e-05,3.314018249511719e-05
14,3,5,3,2,2,6,6,1,0.06647753715515137,4.792213439941406e-05,3.3855438232421875e-05
15,3,5,4,2,2,7,5,3,0.05490756034851074,2.384185791015625e-05,2.1457672119140625e-05
15,3,5,3,2,2,6,6,1,0.05702090263366699,5.459785461425781e-05,3.361701965332031e-05
16,3,5,4,2,2,5,3,1,0.06792807579040527,4.3392181396484375e-05,3.314018249511719e-05
16,3,5,3,2,2,6,6,1,0.07303357124328613,4.6253204345703125e-05,4.0531158447265625e-05
17,3,5,4,2,2,5,3,1,0.04788470268249512,2.7894973754882812e-05,2.0503997802734375e-05
17,3,5,3,2,2,6,6,1,0.08120369911193848,4.863739013671875e-05,4.029273986816406e-05
18,3,5,4,2,2,10,12,8,0.07045841217041016,2.7894973754882812e-05,4.1484832763671875e-05
18,3,5,3,2,2,12,24,8,0.10072112083435059,7.367134094238281e-05,0.00033926963806152344
19,3,5,4,2,2,5,3,1,0.07855820655822754,3.504753112792969e-05,2.4557113647460938e-05
19,3,5,3,2,2,6,6,1,0.08468794822692871,4.601478576660156e-05,2.9802322387695312e-05
20,3,5,4,2,2,5,3,1,0.07538199424743652,6.4849853515625e-05,4.744529724121094e-05
20,3,5,3,2,2,6,6,1,0.07595562934875488,6.222724914550781e-05,4.601478576660156e-05
21,3,5,4,2,2,8,10,8,0.09544134140014648,3.3855438232421875e-05,4.2438507080078125e-05
21,3,5,3,2,2,9,18,8,0.10149884223937988,3.0994415283203125e-05,0.00011229515075683594
22,3,5,4,2,2,5,3,1,0.05493974685668945,3.123283386230469e-05,2.193450927734375e-05
22,3,5,3,2,2,6,6,1,0.08327674865722656,4.9591064453125e-05,6.246566772460938e-05
23,3,5,4,2,2,12,6,2,0.0940091609954834,3.0517578125e-05,2.765655517578125e-05
23,3,5,3,2,2,15,12,1,0.1370539665222168,2.956390380859375e-05,4.5299530029296875e-05
24,3,5,4,2,2,10,12,8,0.07536101341247559,4.267692565917969e-05,7.224082946777344e-05
24,3,5,3,2,2,12,24,8,0.09568333625793457,3.337860107421875e-05,0.0001838207244873047
25,3,5,4,2,2,5,3,1,0.05221295356750488,2.8371810913085938e-05,2.0265579223632812e-05
25,3,5,3,2,2,6,6,1,0.07877492904663086,5.984306335449219e-05,4.935264587402344e-05
26,3,5,4,2,2,5,3,1,0.08015275001525879,2.7179718017578125e-05,1.9788742065429688e-05
26,3,5,3,2,2,6,6,1,0.07436919212341309,3.1948089599609375e-05,2.6702880859375e-05
27,3,5,4,2,2,11,11,7,0.0853128433227539,2.956390380859375e-05,4.38690185546875e-05
27,3,5,3,2,2,12,18,2,0.08580732345581055,4.410743713378906e-05,0.00017952919006347656
28,3,5,4,2,2,10,12,8,0.08746552467346191,5.125999450683594e-05,6.937980651855469e-05
28,3,5,3,2,2,12,24,8,0.0944833755493164,4.029273986816406e-05,0.00020122528076171875
29,3,5,4,2,2,5,3,1,0.07230877876281738,2.9087066650390625e-05,1.9550323486328125e-05
29,3,5,3,2,2,6,6,1,0.08847808837890625,3.0279159545898438e-05,2.6702880859375e-05
30,3,5,4,2,2,11,21,27,0.07282543182373047,2.9087066650390625e-05,9.703636169433594e-05
30,3,5,3,2,2,12,36,27,0.11063051223754883,5.2928924560546875e-05,0.0009284019470214844
31,3,5,4,2,2,5,3,1,0.0772237777709961,2.6702880859375e-05,2.1219253540039062e-05
31,3,5,3,2,2,6,6,1,0.11180233955383301,4.100799560546875e-05,3.9577484130859375e-05
32,3,5,4,2,2,5,3,1,0.05356907844543457,2.8133392333984375e-05,2.2172927856445312e-05
32,3,5,3,2,2,6,6,1,0.07156705856323242,4.744529724121094e-05,4.1484832763671875e-05
33,3,5,4,2,2,11,15,12,0.09050369262695312,2.765655517578125e-05,5.841255187988281e-05
33,3,5,3,2,2,12,27,8,0.06563997268676758,6.985664367675781e-05,0.0005748271942138672
34,3,5,4,2,2,8,5,2,0.07837033271789551,3.123283386230469e-05,2.5987625122070312e-05
34,3,5,3,2,2,9,9,1,0.09856033325195312,3.361701965332031e-05,4.1961669921875e-05
35,3,5,4,2,2,5,3,1,0.05449342727661133,5.9604644775390625e-05,2.956390380859375e-05
35,3,5,3,2,2,6,6,1,0.08065986633300781,3.266334533691406e-05,2.765655517578125e-05
36,3,5,4,2,2,8,5,2,0.08145022392272949,4.172325134277344e-05,3.504753112792969e-05
36,3,5,3,2,2,9,9,1,0.0953822135925293,3.266334533691406e-05,3.62396240234375e-05
37,3,5,4,2,2,5,3,1,0.05595970153808594,2.6226043701171875e-05,1.9311904907226562e-05
37,3,5,3,2,2,6,6,1,0.061736106872558594,4.57763671875e-05,4.0531158447265625e-05
38,3,5,4,2,2,5,3,1,0.060195207595825195,2.8848648071289062e-05,2.002716064453125e-05
38,3,5,3,2,2,6,6,1,0.06794881820678711,2.9087066650390625e-05,2.5033950805664062e-05
39,3,5,4,2,2,5,3,1,0.049247026443481445,3.647804260253906e-05,2.7179718017578125e-05
39,3,5,3,2,2,6,6,1,0.050594329833984375,3.457069396972656e-05,2.956390380859375e-05
40,3,5,4,2,2,7,4,1,0.07823562622070312,4.38690185546875e-05,3.3855438232421875e-05
40,3,5,3,2,2,9,9,1,0.07449817657470703,3.3855438232421875e-05,3.743171691894531e-05
41,3,5,4,2,2,5,3,1,0.1022193431854248,3.504753112792969e-05,2.4318695068359375e-05
41,3,5,3,2,2,6,6,1,0.06920409202575684,2.8371810913085938e-05,2.5272369384765625e-05
42,3,5,4,2,2,9,5,1,0.05723452568054199,2.574920654296875e-05,2.0742416381835938e-05
42,3,5,3,2,2,12,12,1,0.07960057258605957,3.719329833984375e-05,5.3882598876953125e-05
43,3,5,4,2,2,8,10,8,0.06653022766113281,4.482269287109375e-05,6.365776062011719e-05
43,3,5,3,2,2,9,18,8,0.07357406616210938,3.743171691894531e-05,0.00011658668518066406
44,3,5,4,2,2,10,12,8,0.08264803886413574,4.649162292480469e-05,6.461143493652344e-05
44,3,5,3,2,2,12,24,8,0.09872078895568848,6.794929504394531e-05,0.0003559589385986328
45,3,5,4,2,2,5,3,1,0.06865143775939941,3.457069396972656e-05,2.1696090698242188e-05
45,3,5,3,2,2,6,6,1,0.07219982147216797,5.125999450683594e-05,4.76837158203125e-05
46,3,5,4,2,2,5,3,1,0.057970523834228516,2.7894973754882812e-05,2.09808349609375e-05
46,3,5,3,2,2,6,6,1,0.09056639671325684,5.412101745605469e-05,4.7206878662109375e-05
47,3,5,4,2,2,11,7,3,0.08215165138244629,3.170967102050781e-05,2.9325485229492188e-05
47,3,5,3,2,2,12,12,1,0.09723067283630371,5.91278076171875e-05,9.274482727050781e-05
48,3,5,4,2,2,5,3,1,0.09144115447998047,4.029273986816406e-05,2.9802322387695312e-05
48,3,5,3,2,2,6,6,1,0.07954573631286621,4.839897155761719e-05,4.1961669921875e-05
49,3,5,4,2,2,13,16,12,0.12414216995239258,4.7206878662109375e-05,9.679794311523438e-05
49,3,5,3,2,2,15,30,8,0.08481168746948242,5.125999450683594e-05,0.0005054473876953125
50,3,5,4,2,2,10,12,8,0.06812787055969238,3.24249267578125e-05,4.2438507080078125e-05
50,3,5,3,2,2,12,24,8,0.06727218627929688,3.2901763916015625e-05,0.00019168853759765625
51,3,5,4,2,2,10,12,8,0.07886672019958496,4.887580871582031e-05,7.152557373046875e-05
51,3,5,3,2,2,12,24,8,0.09341931343078613,3.147125244140625e-05,0.00018143653869628906
52,3,5,4,2,2,5,3,1,0.0393986701965332,2.7894973754882812e-05,1.9311904907226562e-05
52,3,5,3,2,2,6,6,1,0.04968380928039551,3.4809112548828125e-05,2.86102294921875e-05
53,3,5,4,2,2,7,4,1,0.06636738777160645,3.0279159545898438e-05,2.2411346435546875e-05
53,3,5,3,2,2,9,9,1,0.07150888442993164,2.9087066650390625e-05,3.314018249511719e-05
54,3,5,4,2,2,8,5,2,0.07327723503112793,5.269050598144531e-05,4.029273986816406e-05
54,3,5,3,2,2,9,9,1,0.09505510330200195,3.361701965332031e-05,3.62396240234375e-05
55,3,5,4,2,2,5,3,1,0.06034111976623535,3.123283386230469e-05,2.002716064453125e-05
55,3,5,3,2,2,6,6,1,0.07791328430175781,0.00010347366333007812,9.775161743164062e-05
56,3,5,4,2,2,5,1,0,0.039638519287109375,3.8623809814453125e-05,2.5510787963867188e-05
56,3,5,3,2,2,6,3,0,0.04835247993469238,3.147125244140625e-05,1.8358230590820312e-05
57,3,5,4,2,2,8,10,8,0.07430696487426758,3.0517578125e-05,4.0531158447265625e-05
57,3,5,3,2,2,9,18,8,0.0832364559173584,3.147125244140625e-05,0.00012564659118652344
58,3,5,4,2,2,8,5,2,0.06516456604003906,2.86102294921875e-05,2.574920654296875e-05
58,3,5,3,2,2,9,9,1,0.08885622024536133,3.4332275390625e-05,3.5762786865234375e-05
59,3,5,4,2,2,10,12,8,0.07724618911743164,4.220008850097656e-05,6.508827209472656e-05
59,3,5,3,2,2,12,24,8,0.10567712783813477,5.6743621826171875e-05,0.00034737586975097656
60,3,5,4,2,2,8,5,2,0.08966970443725586,2.8371810913085938e-05,2.4080276489257812e-05
60,3,5,3,2,2,9,9,2,0.12598204612731934,5.91278076171875e-05,6.270408630371094e-05
61,3,5,4,2,2,5,3,1,0.054201364517211914,2.7894973754882812e-05,1.9073486328125e-05
61,3,5,3,2,2,6,6,1,0.1149454116821289,4.887580871582031e-05,4.291534423828125e-05
62,3,5,4,2,2,7,4,1,0.10066580772399902,4.029273986816406e-05,3.075599670410156e-05
62,3,5,3,2,2,9,9,1,0.09480714797973633,5.173683166503906e-05,6.008148193359375e-05
63,3,5,4,2,2,8,10,8,0.06698107719421387,2.86102294921875e-05,3.695487976074219e-05
63,3,5,3,2,2,9,18,8,0.06518292427062988,3.170967102050781e-05,0.0001430511474609375
64,3,5,4,2,2,7,8,4,0.07832956314086914,4.482269287109375e-05,4.649162292480469e-05
64,3,5,3,2,2,9,18,8,0.060926198959350586,3.123283386230469e-05,0.00010991096496582031
65,3,5,4,2,2,5,3,1,0.04722237586975098,2.47955322265625e-05,1.8358230590820312e-05
65,3,5,3,2,2,6,6,1,0.06578278541564941,5.340576171875e-05,4.1961669921875e-05
66,3,5,4,2,2,5,2,0,0.07017159461975098,2.7894973754882812e-05,1.3589859008789062e-05
66,3,5,3,2,2,6,6,1,0.06400609016418457,2.9325485229492188e-05,2.6464462280273438e-05
67,3,5,4,2,2,10,12,8,0.08652734756469727,4.00543212890625e-05,6.794929504394531e-05
67,3,5,3,2,2,12,24,8,0.08845782279968262,2.9087066650390625e-05,0.00017714500427246094
68,3,5,4,2,2,5,3,1,0.05162239074707031,3.075599670410156e-05,2.1219253540039062e-05
68,3,5,3,2,2,6,6,1,0.07447361946105957,3.1948089599609375e-05,2.8371810913085938e-05
69,3,5,4,2,2,8,5,2,0.07549595832824707,3.6716461181640625e-05,2.5272369384765625e-05
69,3,5,3,2,2,9,9,1,0.07686662673950195,3.981590270996094e-05,4.291534423828125e-05
70,3,5,4,2,2,8,5,2,0.09006333351135254,2.956390380859375e-05,2.4318695068359375e-05
70,3,5,3,2,2,9,9,1,0.10523390769958496,5.888938903808594e-05,6.175041198730469e-05
71,3,5,4,2,2,16,24,22,0.1022958755493164,2.9087066650390625e-05,0.000125885009765625
71,3,5,3,2,2,18,42,9,0.08998322486877441,3.814697265625e-05,0.0005478858947753906
72,3,5,4,2,2,5,3,1,0.052849769592285156,3.886222839355469e-05,2.956390380859375e-05
72,3,5,3,2,2,6,6,1,0.06264328956604004,4.8160552978515625e-05,4.076957702636719e-05
73,3,5,4,2,2,5,3,1,0.0767354965209961,2.9087066650390625e-05,2.0503997802734375e-05
73,3,5,3,2,2,6,6,1,0.11644768714904785,4.696846008300781e-05,4.0531158447265625e-05
74,3,5,4,2,2,5,3,1,0.050446510314941406,2.6702880859375e-05,2.09808349609375e-05
74,3,5,3,2,2,6,6,1,0.09711861610412598,4.744529724121094e-05,3.886222839355469e-05
75,3,5,4,2,2,5,1,0,0.06577134132385254,3.910064697265625e-05,2.0742416381835938e-05
75,3,5,3,2,2,6,3,0,0.09935522079467773,5.817413330078125e-05,3.314018249511719e-05
76,3,5,4,2,2,10,12,8,0.12799978256225586,3.0994415283203125e-05,4.2438507080078125e-05
76,3,5,3,2,2,12,24,8,0.20137548446655273,4.839897155761719e-05,0.0003390312194824219
77,3,5,4,2,2,8,6,2,0.07649993896484375,5.340576171875e-05,4.553794860839844e-05
77,3,5,3,2,2,9,12,1,0.1573483943939209,5.054473876953125e-05,7.891654968261719e-05
78,3,5,4,2,2,5,3,1,0.21830511093139648,4.506111145019531e-05,3.218650817871094e-05
78,3,5,3,2,2,6,6,1,0.18553829193115234,5.030632019042969e-05,4.124641418457031e-05
79,3,5,4,2,2,5,3,1,0.06535482406616211,4.2438507080078125e-05,3.0994415283203125e-05
79,3,5,3,2,2,6,6,1,0.07434749603271484,4.57763671875e-05,4.220008850097656e-05
80,3,5,4,2,2,10,12,8,0.07264924049377441,3.218650817871094e-05,4.4345855712890625e-05
80,3,5,3,2,2,12,24,8,0.10515236854553223,5.91278076171875e-05,0.00021338462829589844
81,3,5,4,2,2,5,3,1,0.05424189567565918,2.7179718017578125e-05,2.2649765014648438e-05
81,3,5,3,2,2,6,6,1,0.06696653366088867,4.792213439941406e-05,4.38690185546875e-05
82,3,5,4,2,2,5,3,1,0.07057952880859375,3.743171691894531e-05,2.4318695068359375e-05
82,3,5,3,2,2,6,6,1,0.045923709869384766,2.765655517578125e-05,2.4080276489257812e-05
83,3,5,4,2,2,5,3,1,0.04864144325256348,3.0994415283203125e-05,2.2649765014648438e-05
83,3,5,3,2,2,6,6,1,0.10224080085754395,3.8623809814453125e-05,3.0994415283203125e-05
84,3,5,4,2,2,5,3,1,0.0444643497467041,2.8371810913085938e-05,2.0503997802734375e-05
84,3,5,3,2,2,6,6,1,0.04566216468811035,3.0994415283203125e-05,2.7418136596679688e-05
85,3,5,4,2,2,5,3,1,0.05678057670593262,5.0067901611328125e-05,5.650520324707031e-05
85,3,5,3,2,2,6,6,1,0.07374691963195801,5.173683166503906e-05,4.100799560546875e-05
86,3,5,4,2,2,12,19,14,0.08571481704711914,2.956390380859375e-05,6.985664367675781e-05
86,3,5,3,2,2,15,42,28,0.10436654090881348,3.2901763916015625e-05,0.0006511211395263672
87,3,5,4,2,2,7,8,4,0.07034635543823242,2.956390380859375e-05,2.8133392333984375e-05
87,3,5,3,2,2,9,18,8,0.09723734855651855,3.147125244140625e-05,0.00011205673217773438
88,3,5,4,2,2,5,3,1,0.05730009078979492,8.559226989746094e-05,8.106231689453125e-05
88,3,5,3,2,2,6,6,1,0.09104704856872559,3.218650817871094e-05,2.6702880859375e-05
89,3,5,4,2,2,10,6,2,0.08378124237060547,3.361701965332031e-05,2.6702880859375e-05
89,3,5,3,2,2,12,12,1,0.11708831787109375,5.745887756347656e-05,8.749961853027344e-05
90,3,5,4,2,2,8,10,8,0.06144309043884277,5.4836273193359375e-05,3.719329833984375e-05
90,3,5,3,2,2,9,18,8,0.06840729713439941,3.266334533691406e-05,0.00011348724365234375
91,3,5,4,2,2,11,7,3,0.0928652286529541,4.410743713378906e-05,4.601478576660156e-05
91,3,5,3,2,2,12,12,1,0.09277653694152832,3.0279159545898438e-05,4.6253204345703125e-05
92,3,5,4,2,2,7,8,4,0.08051848411560059,4.410743713378906e-05,4.172325134277344e-05
92,3,5,3,2,2,9,18,8,0.08254384994506836,2.9802322387695312e-05,0.00012230873107910156
93,3,5,4,2,2,8,10,8,0.05903768539428711,5.459785461425781e-05,4.7206878662109375e-05
93,3,5,3,2,2,9,18,8,0.09604501724243164,5.14984130859375e-05,0.0001876354217529297
94,3,5,4,2,2,5,1,0,0.07293224334716797,4.0531158447265625e-05,2.09808349609375e-05
94,3,5,3,2,2,6,3,0,0.1056206226348877,3.266334533691406e-05,1.8358230590820312e-05
95,3,5,4,2,2,14,9,4,0.0954742431640625,4.458427429199219e-05,5.6743621826171875e-05
95,3,5,3,2,2,15,15,1,0.13157033920288086,3.24249267578125e-05,6.0558319091796875e-05
96,3,5,4,2,2,16,16,12,0.10413074493408203,6.127357482910156e-05,6.389617919921875e-05
96,3,5,3,2,2,18,30,8,0.13233041763305664,5.7220458984375e-05,0.0003197193145751953
97,3,5,4,2,2,7,8,4,0.0759892463684082,6.985664367675781e-05,4.410743713378906e-05
97,3,5,3,2,2,9,18,8,0.0963437557220459,3.361701965332031e-05,0.00011205673217773438
98,3,5,4,2,2,5,3,1,0.05053901672363281,4.220008850097656e-05,2.765655517578125e-05
98,3,5,3,2,2,6,6,1,0.07517147064208984,4.7206878662109375e-05,3.933906555175781e-05
99,3,5,4,2,2,5,3,1,0.06733012199401855,2.8848648071289062e-05,2.002716064453125e-05
99,3,5,3,2,2,6,6,1,0.07123970985412598,4.935264587402344e-05,4.410743713378906e-05
100,3,5,4,2,2,11,21,27,0.09316563606262207,4.1484832763671875e-05,0.00017380714416503906
100,3,5,3,2,2,12,36,27,0.08385753631591797,4.696846008300781e-05,0.0005581378936767578
101,3,5,4,2,2,7,8,4,0.08301854133605957,4.100799560546875e-05,4.38690185546875e-05
101,3,5,3,2,2,9,18,8,0.09163331985473633,3.266334533691406e-05,0.00011968612670898438
102,3,5,4,2,2,5,3,1,0.04736757278442383,4.267692565917969e-05,2.9325485229492188e-05
102,3,5,3,2,2,6,6,1,0.073638916015625,4.982948303222656e-05,4.410743713378906e-05
