i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,10,5,4,2,2,28,25,1,0.9410028457641602,0.0003800392150878906,0.0002944469451904297
1,10,5,3,2,2,30,30,1,1.0273282527923584,0.0003952980041503906,0.0005595684051513672
2,10,5,4,2,2,20,18,3,0.8305268287658691,0.00038051605224609375,0.0004341602325439453
2,10,5,3,2,2,20,20,1,0.8522121906280518,0.0003681182861328125,0.0003135204315185547
3,10,5,4,2,2,38,68,1536,1.1052021980285645,0.000362396240234375,0.07421660423278809
3,10,5,3,2,2,40,80,1024,1.1643297672271729,0.00044226646423339844,0.20882964134216309
4,10,5,4,2,2,39,35,5,1.1822509765625,0.000396728515625,0.0009272098541259766
4,10,5,3,2,2,40,40,1,1.1094536781311035,0.0005900859832763672,0.0013396739959716797
5,10,5,4,2,2,19,17,1,0.7690281867980957,0.00040340423583984375,0.00022029876708984375
5,10,5,3,2,2,20,20,1,0.7552332878112793,0.00044989585876464844,0.00039196014404296875
6,10,5,4,2,2,29,52,1536,0.9550783634185791,0.0005855560302734375,0.06172466278076172
6,10,5,3,2,2,30,60,1024,1.0026755332946777,0.0004458427429199219,0.12207198143005371
7,10,5,4,2,2,29,26,3,0.830582857131958,0.0004563331604003906,0.0005595684051513672
7,10,5,3,2,2,30,30,1,0.8615286350250244,0.00040602684020996094,0.0005340576171875
8,10,5,4,2,2,19,17,1,0.8610279560089111,0.0006077289581298828,0.0003833770751953125
8,10,5,3,2,2,20,20,1,0.8839671611785889,0.0003807544708251953,0.0003190040588378906
9,10,5,4,2,2,19,17,1,0.8045487403869629,0.00041413307189941406,0.0002651214599609375
9,10,5,3,2,2,20,20,1,0.8543057441711426,0.0004730224609375,0.00041675567626953125
10,10,5,4,2,2,39,105,91854,1.1323399543762207,0.00038051605224609375,3.401484966278076
10,10,5,3,2,2,40,120,59049,0.9980549812316895,0.00041604042053222656,8.260517358779907
11,10,5,4,2,2,19,17,1,0.8270425796508789,0.0004134178161621094,0.0002486705780029297
11,10,5,3,2,2,20,20,1,0.878612756729126,0.0006699562072753906,0.0005540847778320312
12,10,5,4,2,2,28,25,1,1.112593412399292,0.00043010711669921875,0.0002918243408203125
12,10,5,3,2,2,30,30,1,1.0416595935821533,0.0006017684936523438,0.0008018016815185547
13,10,5,4,2,2,19,17,1,0.830451250076294,0.00044536590576171875,0.0002963542938232422
13,10,5,3,2,2,20,20,1,0.8688704967498779,0.0003948211669921875,0.0003161430358886719
14,10,5,4,2,2,19,17,1,0.814042329788208,0.0005118846893310547,0.0003108978271484375
14,10,5,3,2,2,20,20,1,0.8880977630615234,0.0005025863647460938,0.0003921985626220703
15,10,5,4,2,2,29,52,1536,1.0282518863677979,0.0006055831909179688,0.06136441230773926
15,10,5,3,2,2,30,60,1024,0.8048388957977295,0.0004296302795410156,0.12548041343688965
16,10,5,4,2,2,19,17,1,0.830374002456665,0.00037980079650878906,0.00021886825561523438
16,10,5,3,2,2,20,20,1,0.9569578170776367,0.0006582736968994141,0.0005502700805664062
17,10,5,4,2,2,37,99,19683,1.1350228786468506,0.00044918060302734375,1.029618263244629
17,10,5,3,2,2,40,120,59049,0.9264857769012451,0.0004172325134277344,8.060075759887695
18,10,5,4,2,2,19,17,1,1.0941846370697021,0.0004980564117431641,0.0002796649932861328
18,10,5,3,2,2,20,20,1,1.053046464920044,0.0004055500030517578,0.00031876564025878906
19,10,5,4,2,2,28,25,1,0.9515426158905029,0.0004932880401611328,0.00031948089599609375
19,10,5,3,2,2,30,30,1,1.0005793571472168,0.0006456375122070312,0.0008788108825683594
20,10,5,4,2,2,19,17,1,0.8437240123748779,0.0004687309265136719,0.0002846717834472656
20,10,5,3,2,2,20,20,1,0.86283278465271,0.0005965232849121094,0.0005135536193847656
21,10,5,4,2,2,19,17,1,1.036449670791626,0.00041174888610839844,0.00022363662719726562
21,10,5,3,2,2,20,20,1,1.0948023796081543,0.000476837158203125,0.00038886070251464844
22,10,5,4,2,2,19,17,1,0.8558988571166992,0.0005362033843994141,0.0003383159637451172
22,10,5,3,2,2,20,20,1,0.8628568649291992,0.000560760498046875,0.0004718303680419922
23,10,5,4,2,2,39,70,2560,1.1323330402374268,0.0005197525024414062,0.12478876113891602
23,10,5,3,2,2,40,80,1024,1.157088279724121,0.0005495548248291016,0.2700216770172119
24,10,5,4,2,2,48,86,2560,1.2560882568359375,0.00043582916259765625,0.14966535568237305
24,10,5,3,2,2,50,100,1024,1.2933111190795898,0.000751495361328125,0.3251302242279053
25,10,5,4,2,2,38,68,1536,1.3506674766540527,0.0005075931549072266,0.07744455337524414
25,10,5,3,2,2,40,80,1024,1.0245089530944824,0.0007390975952148438,0.2127525806427002
26,10,5,4,2,2,49,44,7,1.3019883632659912,0.00040841102600097656,0.0013227462768554688
26,10,5,3,2,2,50,50,1,1.3707938194274902,0.00042438507080078125,0.0011973381042480469
27,10,5,4,2,2,19,17,1,0.9231555461883545,0.00043320655822753906,0.0002655982971191406
27,10,5,3,2,2,20,20,1,0.8450324535369873,0.0005373954772949219,0.0004451274871826172
28,10,5,4,2,2,19,17,1,0.8216514587402344,0.0005598068237304688,0.0003559589385986328
28,10,5,3,2,2,20,20,1,0.8804171085357666,0.0003898143768310547,0.000324249267578125
29,10,5,4,2,2,19,17,1,0.823868989944458,0.0004839897155761719,0.0002872943878173828
29,10,5,3,2,2,20,20,1,0.946951150894165,0.0006463527679443359,0.00040149688720703125
30,10,5,4,2,2,28,50,512,0.9841594696044922,0.00048661231994628906,0.02165079116821289
30,10,5,3,2,2,30,60,1024,1.0052180290222168,0.000621795654296875,0.12460780143737793
31,10,5,4,2,2,38,68,1536,1.1439845561981201,0.0004417896270751953,0.07688426971435547
31,10,5,3,2,2,40,80,1024,1.2008378505706787,0.0004954338073730469,0.21764516830444336
32,10,5,4,2,2,57,153,98415,1.2540960311889648,0.0008044242858886719,4.902156114578247
32,10,5,3,2,2,60,180,59049,1.2951209545135498,0.000583648681640625,17.398099899291992
33,10,5,4,2,2,29,26,3,1.0176315307617188,0.00044918060302734375,0.0005645751953125
