i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,10,5,4,2,2,28,25,1,0.9563260078430176,0.0003693103790283203,0.00028014183044433594
1,10,5,3,2,2,30,30,1,1.0202491283416748,0.0005173683166503906,0.0006825923919677734
2,10,5,4,2,2,19,17,1,0.8261361122131348,0.0006072521209716797,0.000274658203125
2,10,5,3,2,2,20,20,1,0.9293506145477295,0.0003781318664550781,0.0003037452697753906
3,10,5,4,2,2,29,26,2,0.9968152046203613,0.00038123130798339844,0.0003650188446044922
3,10,5,3,2,2,30,30,1,1.1412925720214844,0.0004508495330810547,0.0006074905395507812
4,10,5,4,2,2,19,17,1,0.8236124515533447,0.00048065185546875,0.0002319812774658203
4,10,5,3,2,2,20,20,1,0.8194565773010254,0.0004057884216308594,0.0003676414489746094
5,10,5,4,2,2,28,50,512,1.2617411613464355,0.0005071163177490234,0.020751237869262695
5,10,5,3,2,2,30,60,1024,1.2227282524108887,0.0004246234893798828,0.1170191764831543
6,10,5,4,2,2,28,25,1,0.8465890884399414,0.0009453296661376953,0.0005350112915039062
6,10,5,3,2,2,30,30,1,0.9840555191040039,0.00040912628173828125,0.0005626678466796875
7,10,5,4,2,2,19,17,1,0.7666897773742676,0.0003643035888671875,0.00020647048950195312
7,10,5,3,2,2,20,20,1,0.8751220703125,0.00039124488830566406,0.0003097057342529297
8,10,5,4,2,2,38,68,1024,1.1323857307434082,0.0005013942718505859,0.05353140830993652
8,10,5,3,2,2,40,80,1024,1.1818506717681885,0.0005083084106445312,0.21022915840148926
9,10,5,4,2,2,39,35,3,1.198058843612671,0.0004761219024658203,0.0005891323089599609
9,10,5,3,2,2,40,40,1,1.1374449729919434,0.0005342960357666016,0.001047372817993164
10,10,5,4,2,2,19,17,1,0.9033353328704834,0.00035309791564941406,0.00020265579223632812
10,10,5,3,2,2,20,20,1,0.8929710388183594,0.0004839897155761719,0.00039839744567871094
11,10,5,4,2,2,38,68,1024,1.0777487754821777,0.0004150867462158203,0.04825925827026367
11,10,5,3,2,2,40,80,1024,1.1912262439727783,0.0004987716674804688,0.20576024055480957
12,10,5,4,2,2,29,52,1024,0.9948492050170898,0.0004239082336425781,0.03795433044433594
12,10,5,3,2,2,30,60,1024,1.047227382659912,0.00043487548828125,0.11939644813537598
13,10,5,4,2,2,19,17,1,1.1865487098693848,0.000377655029296875,0.0002193450927734375
13,10,5,3,2,2,20,20,1,0.8305149078369141,0.0004906654357910156,0.0003838539123535156
14,10,5,4,2,2,19,17,1,0.843268632888794,0.0005021095275878906,0.00029277801513671875
14,10,5,3,2,2,20,20,1,0.8611373901367188,0.00045180320739746094,0.0003600120544433594
15,10,5,4,2,2,19,17,1,0.8516192436218262,0.0003635883331298828,0.0002143383026123047
15,10,5,3,2,2,20,20,1,0.8782987594604492,0.0005743503570556641,0.0004596710205078125
16,10,5,4,2,2,19,17,1,0.8561768531799316,0.00043511390686035156,0.00026297569274902344
16,10,5,3,2,2,20,20,1,1.1079349517822266,0.0005125999450683594,0.0004181861877441406
17,10,5,4,2,2,28,50,512,1.062262773513794,0.0007150173187255859,0.03831791877746582
17,10,5,3,2,2,30,60,1024,0.8472332954406738,0.00041413307189941406,0.15471935272216797
18,10,5,4,2,2,29,26,2,1.1954612731933594,0.00042319297790527344,0.0003914833068847656
18,10,5,3,2,2,30,30,1,1.2160406112670898,0.0004303455352783203,0.0005633831024169922
19,10,5,4,2,2,19,17,1,0.8347620964050293,0.0004923343658447266,0.00031948089599609375
19,10,5,3,2,2,20,20,1,0.8960928916931152,0.00038695335388183594,0.00031304359436035156
20,10,5,4,2,2,29,52,1024,1.0087428092956543,0.00037217140197753906,0.04012703895568848
20,10,5,3,2,2,30,60,1024,1.052567720413208,0.0006425380706787109,0.12067842483520508
21,10,5,4,2,2,19,17,1,0.9002923965454102,0.00048613548278808594,0.0002751350402832031
21,10,5,3,2,2,20,20,1,0.9249169826507568,0.0004191398620605469,0.0003211498260498047
22,10,5,4,2,2,19,17,1,0.9994561672210693,0.0004189014434814453,0.00025725364685058594
22,10,5,3,2,2,20,20,2,1.050710678100586,0.0005500316619873047,0.0004794597625732422
23,10,5,4,2,2,29,52,1024,0.9927711486816406,0.00042629241943359375,0.03790998458862305
23,10,5,3,2,2,30,60,1024,1.0953736305236816,0.0005054473876953125,0.12227249145507812
24,10,5,4,2,2,19,17,1,0.8057644367218018,0.0005118846893310547,0.00029850006103515625
24,10,5,3,2,2,20,20,1,0.9263954162597656,0.0006780624389648438,0.0005190372467041016
25,10,5,4,2,2,19,17,1,0.8189253807067871,0.0004456043243408203,0.00028705596923828125
25,10,5,3,2,2,20,20,1,0.8651378154754639,0.0005452632904052734,0.00045871734619140625
26,10,5,4,2,2,19,17,1,1.0329899787902832,0.00046253204345703125,0.0002543926239013672
26,10,5,3,2,2,20,20,1,1.0575294494628906,0.0004448890686035156,0.0003426074981689453
27,10,5,4,2,2,48,129,59049,1.2647414207458496,0.00047326087951660156,2.706449508666992
27,10,5,3,2,2,50,150,59049,1.3148527145385742,0.0004661083221435547,12.177971363067627
28,10,5,4,2,2,19,17,1,0.7751517295837402,0.0004279613494873047,0.0002434253692626953
28,10,5,3,2,2,20,20,1,0.8573477268218994,0.0005815029144287109,0.00046324729919433594
29,10,5,4,2,2,19,17,1,0.825230598449707,0.00036263465881347656,0.00021457672119140625
29,10,5,3,2,2,20,20,1,0.885624885559082,0.0006892681121826172,0.0005350112915039062
30,10,5,4,2,2,48,86,1536,1.3586053848266602,0.0006866455078125,0.09482860565185547
30,10,5,3,2,2,50,100,1024,1.4584250450134277,0.0005488395690917969,0.3214683532714844
31,10,5,4,2,2,38,68,1024,1.1343719959259033,0.00047087669372558594,0.0521848201751709
31,10,5,3,2,2,40,80,1024,1.207338571548462,0.0007398128509521484,0.20690107345581055
32,10,5,4,2,2,19,17,1,0.8357763290405273,0.00046133995056152344,0.00026869773864746094
32,10,5,3,2,2,20,20,1,0.900909423828125,0.0004756450653076172,0.0003662109375
33,10,5,4,2,2,38,68,1024,1.1115217208862305,0.0006182193756103516,0.053730010986328125
33,10,5,3,2,2,40,80,1024,1.1812348365783691,0.0004673004150390625,0.20378398895263672
34,10,5,4,2,2,19,8,0,1.0466609001159668,0.0005333423614501953,0.00014448165893554688
34,10,5,3,2,2,20,10,0,0.9835176467895508,0.00038623809814453125,0.00011324882507324219
35,10,5,4,2,2,19,17,1,0.8125295639038086,0.00046253204345703125,0.0002536773681640625
35,10,5,3,2,2,20,20,1,0.9272334575653076,0.0006809234619140625,0.0005347728729248047
36,10,5,4,2,2,48,129,59049,1.318040370941162,0.0004184246063232422,2.5108017921447754
36,10,5,3,2,2,50,150,59049,1.3422210216522217,0.0006055831909179688,11.957614421844482
37,10,5,4,2,2,19,17,1,0.8099682331085205,0.0004658699035644531,0.0002601146697998047
37,10,5,3,2,2,20,20,1,0.8839311599731445,0.0004699230194091797,0.00036215782165527344
